canInvest-bool,extraDropPool-int,id-int,isRanking-bool,level-int[],loadingBg-string,refreshRatio-int[],reputationRequaireScore-int,respawnTimes-int,rewardFrequency-int,sceneName-string,sceneSubtype-int,sceneType-int,talentType-int,worldDropProbability-int,functionModule-int[],baseScore-int[],bossCovers-int[],challengeMode-int[],chapterBaseReward-int[],chapterEvents-int[][],chapterLuckyReward-int[],chapterProgress-int[],chapterPunish-int[][],chapterTimeLimit-int[],chapters-string[],desc-string,dropRewardShow-int[],name-string,punishDesc-string,randomSeeds-string[][],releaseTime-int[][],tickets-int[][],campLimit-int[],seedMaxLimit-int[],uniqueSeed-int[]
1,0,22002,0,"4,6",PVPDungeonSceneLoading_4_6.jpg,,0,0,5,PVPDungeonSceneSoloLv4-6,2,3,2,10000,"1,2","0,10000","37,39,38",1,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging","奖励机制
- 击杀怪物或采集：玩家将获得图腾投资的Token奖励。
- 击杀其他玩家：玩家可以收获其他玩家未结算的LUASUD奖励。
- 击杀Boss：有机会获得神秘特殊材料。
规则说明
- 关卡设置：副本内共有3层关卡，每一层都是充满挑战的混乱区域。
- 安全区：关卡内设有安全区。随着时间推移，安全区会逐渐缩小。
- 三种门：
 - 挑战门：勇敢的玩家可以选择进入下一层关卡，继续冒险。
 - 逃生门：选择退出副本，但需放弃所有未结算的Token奖励。
 - 结算门：玩家可以选择结算并领取按照一定比例计算的Token奖励。",,中级角斗场,死亡时有几率掉落背包中的道具，并随机拆解一件穿戴中的非武器装备。被击杀的玩家将获得80%的碎片，击杀者将获得20%的装备碎片。,0;0,"0,0","660,1","3,24",,
1,0,22003,0,"7,9",PVPDungeonSceneLoading_4_6.jpg,,0,0,5,PVPDungeonSceneSoloLv7-9,2,3,2,10000,"1,2","0,10000","61,71,66",1,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging","奖励机制
- 击杀怪物或采集：玩家将获得图腾投资的Token奖励。
- 击杀其他玩家：玩家可以收获其他玩家未结算的LUASUD奖励。
- 击杀Boss：有机会获得神秘特殊材料。
规则说明
- 关卡设置：副本内共有3层关卡，每一层都是充满挑战的混乱区域。
- 安全区：关卡内设有安全区。随着时间推移，安全区会逐渐缩小。
- 三种门：
 - 挑战门：勇敢的玩家可以选择进入下一层关卡，继续冒险。
 - 逃生门：选择退出副本，但需放弃所有未结算的Token奖励。
 - 结算门：玩家可以选择结算并领取按照一定比例计算的Token奖励。",,高级角斗场,死亡时有几率掉落背包中的道具，并随机拆解一件穿戴中的非武器装备。被击杀的玩家将获得80%的碎片，击杀者将获得20%的装备碎片。,0;0,"0,0","661,1","3,24",,
0,0,23001,0,"1,3",DungeonSceneLoading_7_9.jpg,,0,0,0,PVPDungeonSceneLv1-3,2,3,2,10000,"1,2","0,10000","55,0,54",2,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging",,,Junior Arena - Mini,死亡时有几率掉落背包中的道具，并随机拆解一件穿戴中的非武器装备。被击杀的玩家将获得80%的碎片，击杀者将获得20%的装备碎片。,0;0,"0,0","934,1","8,24",,
0,0,23002,0,"4,6",PVPDungeonSceneLoading_4_6.jpg,,0,0,0,PVPDungeonSceneLv4-6,2,3,2,10000,"1,2","0,10000","37,39,38",2,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging",,, Intermediate Arena - Mini,死亡时有几率掉落背包中的道具，并随机拆解一件穿戴中的非武器装备。被击杀的玩家将获得80%的碎片，击杀者将获得20%的装备碎片。,0;0,"0,0","935,1","8,24",,
0,0,23003,0,"7,9",PVPDungeonSceneLoading_4_6.jpg,,0,0,0,PVPDungeonSceneLv7-9,2,3,2,10000,"1,2","0,10000","61,71,66",2,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging",,, Advanced Arena - Mini,死亡时有几率掉落背包中的道具，并随机拆解一件穿戴中的非武器装备。被击杀的玩家将获得80%的碎片，击杀者将获得20%的装备碎片。,0;0,"0,0","936,1","8,24",,
0,0,30001,0,"1,9",DungeonSceneLoading_1_3.jpg,,100000,0,1,DailyDungeon,1,3,2,10000,1,"10000,20000,30000,40000,50000,60000,70000,80000,90000","6,7,8",1,"102,103,104,105,106,107,108,109,110",;;;;;;;;,"120,121,122,123,124,125,126,127,128","6,12,24,48,96,192,384,768,1536","0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0","120,90,90,90,90,90,90,90,90","Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8,Level 9",每日挑战-每日挑战副本分为九层，每层分别对应每个等级的怪物，完成挑战后将获得关卡奖励，死亡不会有任何掉落，副本门票来源于每日任务,,每日挑战,无失败惩罚,0;0;0;0;0;0;0;0;0,"0,1440","733,1",,,
0,0,30002,0,"1,9",PVPDungeonSceneLoading_4_6.jpg,,0,0,1,PVPTrainingDungeon,2,3,2,2500,"1,2","0,10000","55,0,54",1,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging",PVEP 训练场-支持12-24人对战，死亡不会有任何掉落，门票来源于每日任务,,训练场,无死亡惩罚,0;0,"0,1440","733,1","8,24",,
0,160,40001,1,"0,3",HomeSceneLoading.jpg,,100,0,3,GatherDungeon1-3,1,3,3,10000,1,"10000,20000,30000","123,122,121",2,"159,160,161","22,18,19;18,19;18,19","178,179,180","28,56,112","0,0;0,0;0,0","120,190,400","Gather Challenge Chapter 1/3,Gather Challenge Chapter 2/3,Gather Challenge Chapter 3/3","完成挑战的挑战者将有机会获得奖牌奖励。
在采集挑战中，资源的防御将会增加。相应地，玩家将获得一个增益效果，将采集熟练度转化为采集攻击力。
",188,初级采集挑战,无死亡惩罚,0;0;0,"0,1440","775,1",,,
0,40,40002,1,"4,6",HomeSceneLoading.jpg,,160,0,3,GatherDungeon4-6,1,3,3,10000,1,"10000,20000,30000","123,122,121",2,"162,163,164","22,18,19;18,19;18,19","181,182,183","224,448,896","0,0;0,0;0,0","470,500,770","Gather Challenge Chapter 1/3,Gather Challenge Chapter 2/3,Gather Challenge Chapter 3/3","完成挑战的挑战者将有机会获得奖牌奖励。
在采集挑战中，资源的防御将会增加。相应地，玩家将获得一个增益效果，将采集熟练度转化为采集攻击力。
",189,中级采集挑战,无死亡惩罚,0;0;0,"0,1440","776,1",,,
0,10,40003,1,"7,9",HomeSceneLoading.jpg,,640,0,3,GatherDungeon7-9,1,3,3,10000,1,"10000,20000,30000","123,122,121",2,"165,166,167","22,18,19;18,19;18,19","184,185,186","1792,3584,7168","0,0;0,0;0,0","470,500,760","Gather Challenge Chapter 1/3,Gather Challenge Chapter 2/3,Gather Challenge Chapter 3/3","完成挑战的挑战者将有机会获得奖牌奖励。
在采集挑战中，资源的防御将会增加。相应地，玩家将获得一个增益效果，将采集熟练度转化为采集攻击力。
",190,高级采集挑战,无死亡惩罚,0;0;0,"0,1440","777,1",,,
0,160,50001,1,"0,3",HomeSceneLoading.jpg,,24,0,3,FarmingDungeon1-3,1,3,1,10000,"1,3","10000,20000,30000","123,122,121",1,"168,169,170",21;21;21,"187,188,189","8,16,32","0,0;0,0;0,0","120,200,630","Farm Challenge Chapter 1/3,Farm Challenge Chapter 2/3,Farm Challenge Chapter 3/3","完成挑战的挑战者将有机会获得奖牌奖励。
",191,初级农牧挑战,无死亡惩罚,"146#1000,147#1000,148#1000;149#1000,150#1000,151#1000;152#1000,153#1000,154#1000","0,1440","778,1",,"4,4,4","824,825,826"
0,40,50002,1,"4,6",HomeSceneLoading.jpg,,64,0,3,FarmingDungeon4-6,1,3,1,10000,"1,3","10000,20000,30000","123,122,121",1,"171,172,173",21;21;21,"190,191,192","64,128,256","0,0;0,0;0,0","510,550,1330","Farm Challenge Chapter 1/3,Farm Challenge Chapter 2/3,Farm Challenge Chapter 3/3","完成挑战的挑战者将有机会获得奖牌奖励。
",192,中级农牧挑战,无死亡惩罚,"413#1000,414#1000,415#1000;416#1000,417#1000,418#1000;419#1000,420#1000,421#1000","0,1440","779,1",,"4,4,4","827,828,829"
0,10,50003,1,"7,9",HomeSceneLoading.jpg,,512,0,3,FarmingDungeon7-9,1,3,1,10000,"1,3","10000,20000,30000","123,122,121",1,"174,175,176",21;21;21,"193,194,195","512,1024,2048","0,0;0,0;0,0","750,980,1990","Farm Challenge Chapter 1/3,Farm Challenge Chapter 2/3,Farm Challenge Chapter 3/3",完成挑战的挑战者将有机会获得奖牌奖励。,193,高级农牧挑战,无死亡惩罚,"614#1000,615#1000,616#1000;617#1000,618#1000,619#1000;620#1000,621#1000,622#1000","0,1440","780,1",,"4,4,4","830,831,832"
