classifyLevel-int,desc-string,displayType-int,icon-string,id-int,level-int,matItemId-int[][],name-string,productId-int[][],proficiency-int,recipesSort-int,sourceText-int,timeCost-int,type-int,unlockCondition-int,unlockType-int,useDitamin-int,useToken-int
0,制作 Lv 1 铁质斧头,2,recipe-icon-74,74,1,"216,2",Lv 1 铁质斧头配方,"92,1,1,10000",0,99074,1,10,3,0,4,0,0
0,制作 Lv 1 铁质水壶,2,recipe-icon-66,66,1,"207,2",Lv 1 铁质水壶配方,"84,1,1,10000",0,99066,1,10,1,0,4,0,0
0,制作 Lv 0 加速肥料,2,recipe-icon-92,92,1,"65,1",Lv 0 加速肥料,"128,1,1,10000",0,99092,1,10,1,0,4,0,0
0,制作 Lv 2 诅咒斧头,2,recipe-icon-75,75,2,"210,1;213,1;217,2",Lv 2 诅咒斧头配方,"93,1,1,6000;93,2,1,4000",0,98075,1,10,3,0,4,0,0
0,制作 Lv 0 高级湿润肥料,2,recipe-icon-101,101,2,"69,2;35,2",Lv 0 高级湿润肥料,"133,1,1,10000",0,98101,1,10,1,0,4,0,0
0,制作 Lv 0 高级增产肥料,2,recipe-icon-102,102,2,"61,2;35,2",Lv 0 高级增产肥料,"132,1,1,10000",0,98102,1,10,1,0,4,0,0
0,制作 Lv 0 高级加速肥料,2,recipe-icon-103,103,2,"65,2;35,2",Lv 0 高级加速肥料,"131,1,1,10000",0,98103,1,10,1,0,4,0,0
0,制作 Lv 0 护身符,2,recipe-icon-104,104,1,"32,20;71,40;58,40;62,40;66,40",Lv 0 护身符,",1,1,4736;,2,1,3157;,3,1,2105",0,99104,1,10,0,0,4,0,100
0,制作 Lv 0 护身符,2,recipe-icon-106,106,1,"38,20;77,40;60,40;64,40;68,40",Lv 0 护身符,",2,1,4426;,3,1,2950;,4,1,1967;,5,1,655",0,99106,1,10,0,0,4,0,200
0,制作 Lv 1 农业帽子,2,recipe-icon-108,108,1,"207,2",Lv 1 幸运三叶草帽子,"98,1,1,9310;241,5,1,344;262,5,1,344",0,99108,1,10,1,0,4,0,0
0,制作 Lv 2 农业帽子,2,recipe-icon-109,109,2,"216,2;208,2",Lv 2 幸运棉花帽子,"99,1,1,5744;99,2,1,3829;267,5,1,212;272,5,1,212",0,98109,1,10,1,0,4,0,0
0,制作 Lv 3 农业帽子,2,recipe-icon-110,110,3,"217,2;209,2",Lv 3 幸运祝福帽子,"100,1,1,4576;100,2,1,3050;100,3,1,2033;246,5,1,169;251,5,1,169",0,97110,1,10,1,0,4,0,0
0,制作 Lv 1 采集帽子,2,recipe-icon-111,111,1,"216,2",Lv 1 采集帽子,"116,1,1,9310;241,5,1,344;262,5,1,344",0,99111,1,10,3,0,4,0,0
0,制作 Lv 2 采集帽子,2,recipe-icon-112,112,2,"210,1;213,1;217,2",Lv 2 采集帽子,"117,1,1,5744;117,2,1,3829;267,5,1,212;272,5,1,212",0,98112,1,10,3,0,4,0,0
0,制作 Lv 3 采集帽子,2,recipe-icon-113,113,3,"211,1;214,1;218,2",Lv 3 采集帽子,"118,1,1,4576;118,3,1,2033;118,2,1,3050;246,5,1,169;251,5,1,169",0,97113,1,10,3,0,4,0,0
0,制作 Lv 1 竹子种子,2,recipe-icon-123,123,1,"70,1",Lv 1 竹子种子配方,"146,1,2,5000;150,1,1,5000",0,99123,1,10,1,0,4,0,0
0,制作 Lv 1 三叶草种子,2,recipe-icon-124,124,1,"71,1",Lv 1 三叶草种子配方,"147,1,2,5000;149,1,1,5000",0,99124,1,10,1,0,4,0,0
0,制作 Lv 1 胡萝卜种子,2,recipe-icon-125,125,1,"72,1",Lv 1 胡萝卜种子配方,"148,1,2,5000;151,1,1,5000",0,99125,1,10,1,0,4,0,0
0,制作 Lv 2 猪笼草种子,2,recipe-icon-126,126,2,"73,1",Lv 2 猪笼草种子配方,"149,1,2,5000;154,1,1,5000",0,98126,1,10,1,0,4,0,0
0,制作 Lv 2 棉花种子,2,recipe-icon-127,127,2,"74,1",Lv 2 棉花种子配方,"150,1,2,5000;152,1,1,5000",0,98127,1,10,1,0,4,0,0
0,制作 Lv 2 仙人掌种子,2,recipe-icon-128,128,2,"75,1",Lv 2 仙人掌种子配方,"151,1,2,5000;153,1,1,5000",0,98128,1,10,1,0,4,0,0
0,制作 Lv 3 火爆辣椒种子,2,recipe-icon-129,129,3,"76,1",Lv 3 火爆辣椒种子配方,"152,1,2,5000;413,1,1,5000",0,97129,1,10,1,0,4,0,0
0,制作 Lv 3 坚硬果实种子,2,recipe-icon-130,130,3,"77,1",Lv 3 坚硬果实种子配方,"153,1,2,5000;414,1,1,5000",0,97130,1,10,1,0,4,0,0
0,制作 Lv 3 蓝幻菇种子,2,recipe-icon-131,131,3,"78,1",Lv 3 蓝幻菇种子配方,"154,1,2,5000;415,1,1,5000",0,97131,1,10,1,0,4,0,0
0,制作 Lv 2 晶化治疗药水,2,recipe-icon-132,132,3,"68,2;78,2;38,2",Lv 3 药水配方,"191,1,1,5031;192,1,1,993;194,1,1,993;195,1,1,993;196,1,1,993;197,1,1,993",0,97132,1,10,3,0,4,0,0
0,制作 Lv 1 碎晶头环,2,recipe-icon-133,133,1,"210,1;213,1",Lv 1 碎晶头环配方,"43,1,1,9310;241,5,1,344;262,5,1,344",0,99133,1,10,2,0,4,0,0
0,制作 Lv 2 晶皮软帽,2,recipe-icon-134,134,2,"207,2;211,1;214,1",Lv 2 晶皮软帽配方,"44,1,1,5744;44,2,1,3829;267,5,1,212;272,5,1,212",0,98134,1,10,2,0,4,0,0
0,制作 Lv 3 晶石头盔,2,recipe-icon-135,135,3,"208,2;212,1;215,1",Lv 3 晶石头盔配方,"45,1,1,4576;45,2,1,3050;45,3,1,2033;246,5,1,169;251,5,1,169",0,97135,1,10,2,0,4,0,0
0,制作 Lv 2 晶皮上衣,2,recipe-icon-137,137,2,"207,2;211,1;214,1",Lv 2 晶皮上衣配方,"47,1,1,5744;47,2,1,3829;268,5,1,212;273,5,1,212",0,98137,1,10,2,0,4,0,0
0,制作 Lv 1 碎晶藤甲,2,recipe-icon-136,136,1,"210,1;213,1",Lv 1 碎晶藤甲配方,"46,1,1,9310;242,5,1,344;263,5,1,344",0,99136,1,10,2,0,4,0,0
0,制作 Lv 3 晶石甲胄,2,recipe-icon-138,138,3,"208,2;212,1;215,1",Lv 3 晶石甲胄配方,"48,1,1,4576;48,2,1,3050;48,3,1,2033;247,5,1,169;252,5,1,169",0,97138,1,10,2,0,4,0,0
0,制作 Lv 1 碎晶草裙,2,recipe-icon-139,139,1,"210,1;213,1",Lv 1 碎晶草裙配方,"49,1,1,9310;265,5,1,344;244,5,1,344",0,99139,1,10,2,0,4,0,0
0,制作 Lv 2 晶皮长裤,2,recipe-icon-140,140,2,"207,2;211,1;214,1",Lv 2 晶皮长裤配方,"50,1,1,5744;50,2,1,3829;270,5,1,212;275,5,1,212",0,98140,1,10,2,0,4,0,0
0,制作 Lv 3 晶石腿甲,2,recipe-icon-141,141,3,"208,2;212,1;215,1",Lv 3 晶石腿甲配方,"51,1,1,4576;51,2,1,3050;51,3,1,2033;249,5,1,169;254,5,1,169",0,97141,1,10,2,0,4,0,0
0,制作 Lv 1 碎晶草鞋,2,recipe-icon-142,142,1,"210,1;213,1",Lv 1 碎晶草鞋配方,"55,1,1,9310;245,5,1,344;266,5,1,344",0,99142,1,10,2,0,4,0,0
0,制作 Lv 2 晶皮长靴,2,recipe-icon-143,143,2,"207,2;211,1;214,1",Lv 2 晶皮长靴配方,"56,1,1,5744;56,2,1,3829;271,5,1,212;276,5,1,212",0,98143,1,10,2,0,4,0,0
0,制作 Lv 3 晶石鞋,2,recipe-icon-144,144,3,"208,2;212,1;215,1",Lv 3 晶石鞋配方,"57,1,1,4576;57,2,1,3050;57,3,1,2033;250,5,1,169;255,5,1,169",0,97144,1,10,2,0,4,0,0
0,制作 Lv 1 碎晶手环,2,recipe-icon-145,145,1,"210,1;213,1",Lv 1 碎晶手环配方,"52,1,1,9310;243,5,1,344;264,5,1,344",0,99145,1,10,2,0,4,0,0
0,制作 Lv 2 晶皮手套,2,recipe-icon-146,146,2,"207,2;211,1;214,1",Lv 2 晶皮手套配方,"53,1,1,5744;53,2,1,3829;274,5,1,212;269,5,1,212",0,98146,1,10,2,0,4,0,0
0,制作 Lv 3 晶石护手,2,recipe-icon-147,147,3,"208,2;212,1;215,1",Lv 3 晶石护手配方,"54,1,1,4655;54,2,1,3103;54,3,1,2068;253,5,1,172",0,97147,1,10,2,0,4,0,0
0,制作 Lv 1 战斗精华,2,recipe-icon-149,149,1,"30,5;31,5;32,5",Lv1 战斗精华配方,"216,1,1,10000",0,99149,1,10,2,0,4,0,0
0,制作 Lv 2 战斗精华,2,recipe-icon-150,150,2,"33,5;35,5;34,5;216,2",Lv2 战斗精华配方,"217,1,1,10000",0,98150,1,10,2,0,4,0,0
0,制作 Lv 3 战斗精华,2,recipe-icon-151,151,3,"36,5;37,5;38,5;217,2",Lv3 战斗精华配方,"218,1,1,10000",0,97151,1,10,2,0,4,0,0
0,制作 Lv 1 农业种植精华,2,recipe-icon-152,152,1,"70,5;71,5;72,5",Lv1 农业种植精华配方,"210,1,1,10000",0,99152,1,10,1,0,4,0,0
0,制作 Lv 2 农业种植精华,2,recipe-icon-153,153,2,"74,5;73,5;75,5;210,2",Lv2 农业种植精华配方,"211,1,1,10000",0,98153,1,10,1,0,4,0,0
0,制作 Lv 3 农业种植精华,2,recipe-icon-154,154,3,"76,5;77,5;78,5;211,2",Lv3 农业种植精华配方,"212,1,1,10000",0,97154,1,10,1,0,4,0,0
0,制作 Lv 1 农业畜牧精华,2,recipe-icon-155,155,1,"178,5;179,5;177,5",Lv1 农业畜牧精华配方,"213,1,1,10000",0,99155,1,10,1,0,4,0,0
0,制作 Lv 2 农业畜牧精华,2,recipe-icon-156,156,2,"182,5;180,5;181,5;213,2",Lv2 农业畜牧精华配方,"214,1,1,10000",0,98156,1,10,1,0,4,0,0
0,制作 Lv 3 农业畜牧精华,2,recipe-icon-157,157,3,"184,5;185,5;183,5;214,2",Lv3 农业畜牧精华配方,"215,1,1,10000",0,97157,1,10,1,0,4,0,0
0,制作 Lv 1 采集精华,2,recipe-icon-158,158,1,"62,5;58,5;66,5",Lv1 采集精华配方,"207,1,1,10000",0,99158,1,10,3,0,4,0,0
0,制作 Lv 2 采集精华,2,recipe-icon-159,159,2,"63,5;67,5;59,5;207,2",Lv2 采集精华配方,"208,1,1,10000",0,98159,1,10,3,0,4,0,0
0,制作 Lv 3 采集精华,2,recipe-icon-160,160,3,"64,5;60,5;68,5;208,2",Lv3 采集精华配方,"209,1,1,10000",0,97160,1,10,3,0,4,0,0
0,制作 Lv 1 农业上衣,2,recipe-icon-165,165,1,"207,2",Lv 1 农业上衣,"101,1,1,9310;242,5,1,344;263,5,1,344",0,99165,1,10,1,0,4,0,0
0,制作 Lv 1 农业裤子,2,recipe-icon-166,166,1,"207,2",Lv 1 农业裤子,"104,1,1,9310;265,5,1,344;244,5,1,344",0,99166,1,10,1,0,4,0,0
0,制作 Lv 1 农业手套,2,recipe-icon-167,167,1,"207,2",Lv 1 农业手套,"107,1,1,9310;243,5,1,344;264,5,1,344",0,99167,1,10,1,0,4,0,0
0,制作 Lv 1 农业鞋子,2,recipe-icon-168,168,1,"207,2",Lv 1 农业鞋子,"110,1,1,9310;245,5,1,344;266,5,1,344",0,99168,1,10,1,0,4,0,0
0,制作 Lv 2 农业上衣,2,recipe-icon-169,169,2,"216,2;208,2",Lv 2 农业上衣,"102,1,1,5744;102,2,1,3829;268,5,1,212;273,5,1,212",0,98169,1,10,1,0,4,0,0
0,制作 Lv 2 农业裤子,2,recipe-icon-170,170,2,"216,2;208,2",Lv 2 农业裤子,"105,1,1,5744;105,2,1,3829;270,5,1,212;275,5,1,212",0,98170,1,10,1,0,4,0,0
0,制作 Lv 2 农业手套,2,recipe-icon-171,171,2,"216,2;208,2",Lv 2 农业手套,"108,1,1,5744;108,2,1,3829;274,5,1,212;269,5,1,212",0,98171,1,10,1,0,4,0,0
0,制作 Lv 2 农业鞋子,2,recipe-icon-172,172,2,"216,2;208,2",Lv 2 农业鞋子,"111,1,1,5744;111,2,1,3829;271,5,1,212;276,5,1,212",0,98172,1,10,1,0,4,0,0
0,制作 Lv 3 农业上衣,2,recipe-icon-173,173,3,"217,2;209,2",Lv 3 农业上衣,"103,1,1,4576;103,2,1,3050;103,3,1,2033;247,5,1,169;252,5,1,169",0,97173,1,10,1,0,4,0,0
0,制作 Lv 3 农业裤子,2,recipe-icon-174,174,3,"217,2;209,2",Lv 3 农业裤子,"106,1,1,4576;106,3,1,2033;106,2,1,3050;249,5,1,169;254,5,1,169",0,97174,1,10,1,0,4,0,0
0,制作 Lv 3 农业手套,2,recipe-icon-175,175,3,"217,2;209,2",Lv 3 农业手套,"109,2,1,3103;109,1,1,4655;109,3,1,2068;253,5,1,172",0,97175,1,10,1,0,4,0,0
0,制作 Lv 3 农业鞋子,2,recipe-icon-176,176,3,"217,2;209,2",Lv 3 农业鞋子,"112,1,1,4576;112,3,1,2033;112,2,1,3050;250,5,1,169;255,5,1,169",0,97176,1,10,1,0,4,0,0
0,制作 Lv 1 采集鞋子,2,recipe-icon-177,177,1,"216,2",Lv 1 采集鞋子,"113,1,1,9310;245,5,1,344;266,5,1,344",0,99177,1,10,3,0,4,0,0
0,制作 Lv 1 采集上衣,2,recipe-icon-178,178,1,"216,2",Lv 1 采集上衣,"119,1,1,9310;242,5,1,344;263,5,1,344",0,99178,1,10,3,0,4,0,0
0,制作 Lv 1 采集裤子,2,recipe-icon-179,179,1,"216,2",Lv 1 采集裤子,"122,1,1,9310;265,5,1,344;244,5,1,344",0,99179,1,10,3,0,4,0,0
0,制作 Lv 1 采集手套,2,recipe-icon-180,180,1,"216,2",Lv 1 采集手套,"125,1,1,9310;243,5,1,344;264,5,1,344",0,99180,1,10,3,0,4,0,0
0,制作 Lv 2 采集鞋子,2,recipe-icon-181,181,2,"210,1;213,1;217,2",Lv 2 采集鞋子,"114,1,1,5744;114,2,1,3829;271,5,1,212;276,5,1,212",0,98181,1,10,3,0,4,0,0
0,制作 Lv 2 采集上衣,2,recipe-icon-182,182,2,"210,1;213,1;217,2",Lv 2 采集上衣,"120,1,1,5744;120,2,1,3829;268,5,1,212;273,5,1,212",0,98182,1,10,3,0,4,0,0
0,制作 Lv 2 采集裤子,2,recipe-icon-183,183,2,"210,1;213,1;217,2",Lv 2 采集裤子,"123,1,1,5744;123,2,1,3829;270,5,1,212;275,5,1,212",0,98183,1,10,3,0,4,0,0
0,制作 Lv 2 采集手套,2,recipe-icon-184,184,2,"210,1;213,1;217,2",Lv 2 采集手套,"126,1,1,5744;126,2,1,3829;274,5,1,212;269,5,1,212",0,98184,1,10,3,0,4,0,0
0,制作 Lv 3 采集鞋子,2,recipe-icon-185,185,3,"211,1;214,1;218,2",Lv 3 采集鞋子,"115,1,1,4576;115,3,1,2033;115,2,1,3050;250,5,1,169;255,5,1,169",0,97185,1,10,3,0,4,0,0
0,制作 Lv 3 采集上衣,2,recipe-icon-186,186,3,"211,1;214,1;218,2",Lv 3 采集上衣,"121,1,1,4576;121,3,1,2033;121,2,1,3050;247,5,1,169;252,5,1,169",0,97186,1,10,3,0,4,0,0
0,制作 Lv 3 采集裤子,2,recipe-icon-187,187,3,"211,1;214,1;218,2",Lv 3 采集裤子,"124,1,1,4576;124,3,1,2033;124,2,1,3050;249,5,1,169;254,5,1,169",0,97187,1,10,3,0,4,0,0
0,制作 Lv 3 采集手套,2,recipe-icon-188,188,3,"211,1;214,1;218,2",Lv 3 采集手套,"127,1,1,4655;127,2,1,3103;127,3,1,2068;253,5,1,172",0,97188,1,10,3,0,4,0,0
0,制作 Lv 0 木剑,2,recipe-icon-189,189,0,"62,10;32,5",Lv 0 木剑配方,"39,1,1,10000",0,100189,1,3,2,1,1,0,0
0,制作 Lv 0 木质锄头,2,recipe-icon-190,190,0,"62,10;66,10",Lv 0 木质锄头配方,"79,1,1,10000",0,100190,1,3,1,1,1,0,0
0,制作 Lv 0 刷子,2,recipe-icon-191,191,0,"62,10;66,10",Lv 0 刷子配方,"95,1,1,10000",0,100191,1,3,1,1,1,0,0
0,制作 Lv 0 剪毛器,2,recipe-icon-192,192,0,"62,10;66,10",Lv 0 剪毛器配方,"96,1,1,10000",0,100192,1,3,1,1,1,0,0
0,制作 Lv 0 挤奶器,2,recipe-icon-193,193,0,"62,10;66,10",Lv 0 挤奶器配方,"97,1,1,10000",0,100193,1,3,1,1,1,0,0
0,制作 Lv 0 木质水壶,2,recipe-icon-194,194,0,"62,10;66,10",Lv 0 木质水壶配方,"83,1,1,10000",0,100194,1,3,1,1,1,0,0
0,制作 Lv 0 木质斧头,2,recipe-icon-195,195,0,"62,10;66,10",Lv 0 木质斧头配方,"91,1,1,10000",0,100195,1,3,3,1,1,0,0
0,制作 Lv 0 木质镐子,2,recipe-icon-196,196,0,"62,10;66,10",Lv 0 木质镐子配方,"87,1,1,10000",0,100196,1,10,3,1,1,0,0
0,制作 Lv 0 中级加速肥料,2,recipe-icon-197,197,2,"69,2;35,2",Lv 0 中级加速肥料,"219,1,1,10000",0,98197,1,10,1,0,4,0,0
0,制作 Lv 0 中级增产肥料,2,recipe-icon-198,198,2,"61,2;35,2",Lv 0 中级增产肥料,"220,1,1,10000",0,98198,1,10,1,0,4,0,0
0,制作 Lv 0 中级湿润肥料,2,recipe-icon-199,199,2,"65,2;35,2",Lv 0 中级湿润肥料,"221,1,1,10000",0,98199,1,10,1,0,4,0,0
0,制作 Lv 1 石头镰刀,2,recipe-icon-201,201,1,"62,10;58,10",Lv 1 铜质镰刀配方,"226,1,1,10000",0,99201,1,10,3,0,4,0,0
0,制作 Lv 2 铜质镰刀,2,recipe-icon-203,203,2,"216,2",Lv 2 铁质镰刀配方,"227,1,1,10000",0,98203,1,10,3,0,4,0,0
0,制作 Lv 3 铁质镰刀,2,recipe-icon-204,204,3,"217,2;210,1;213,1",Lv 3 祝福镰刀配方,"228,1,1,10000",0,97204,1,10,3,0,4,0,0
0,制作 Lv 0 小饲料,2,recipe-icon-205,205,0,"66,5;62,5",Lv 0 小饲料,"28,1,1,10000",0,100205,1,10,1,1,1,0,0
0,制作 Lv 0 大饲料,2,recipe-icon-206,206,1,"63,5;67,5",Lv 0 大饲料,"29,1,1,10000",0,99206,1,10,1,0,4,0,0
0,制作 Lv 0 木质弓箭,2,recipe-icon-207,207,0,"62,20;66,10",Lv 0 木质弓箭,"223,1,1,10000",0,100207,1,10,2,1,1,0,0
0,制作 Lv 0 石锤,2,recipe-icon-208,208,0,"62,20;58,20",Lv 0 石锤,"222,1,1,10000",0,100208,1,10,2,1,1,0,0
0,制作爆炸药水,2,recipe-icon-212,212,0,"62,3",爆炸药水配方,"232,1,1,10000",0,100212,1,10,3,0,4,0,0
0,制作眩晕药水,2,recipe-icon-213,213,0,"58,3",眩晕药水配方,"233,1,1,10000",0,100213,1,10,3,0,4,0,0
0,制作减速药水,2,recipe-icon-214,214,0,"66,3",减速药水配方,"234,1,1,10000",0,100214,1,10,3,0,4,0,0
0,制作燃烧药水,2,recipe-icon-215,215,0,"65,1;61,1;69,1",燃烧药水配方,"235,1,3,10000",0,100215,1,10,3,1,1,0,0
0,飞雷神药水配方,2,recipe-icon-216,216,0,"32,3;70,3",飞雷神药水配方,"236,1,1,10000",0,100216,1,10,3,1,1,0,0
0,闪避药水配方,2,recipe-icon-217,217,0,"31,3;71,3",闪避药水配方,"237,1,1,10000",0,100217,1,10,3,1,1,0,0
0,净化药水配方,2,recipe-icon-218,218,0,"30,3;72,3",净化药水配方,"238,1,1,10000",0,100218,1,10,3,1,1,0,0
0,精力恢复药水 - 小 配方,2,recipe-icon-267,267,0,"66,20;62,5",精力恢复药水 - 小 配方,"295,1,1,10000",0,100267,1,10,3,0,4,0,0
0,精力恢复药水 - 中 配方,2,recipe-icon-268,268,1,"63,5;59,5;67,5",精力恢复药水 - 中 配方,"296,1,1,10000",0,99268,1,10,3,0,4,0,0
0,精力恢复药水 - 大 配方,2,recipe-icon-269,269,2,"64,5;60,5;68,5",精力恢复药水 - 大 配方,"297,1,1,10000",0,98269,1,10,3,0,4,0,0
0,黄金剑配方,2,recipe-icon-270,270,4,"209,2;407,1;410,1",黄金剑配方,"317,1,1,4153;317,2,1,2769;317,3,1,1846;317,4,1,1230",0,96270,1,30,2,0,4,0,10
0,黄金战士头发配方,2,recipe-icon-271,271,4,"209,2;407,1;410,1",黄金战士头发配方,"335,1,1,4090;335,2,1,2727;335,3,1,1818;335,4,1,1212;471,5,1,151",0,96271,1,30,2,0,4,0,10
0,黄金战士上衣配方,2,recipe-icon-272,272,4,"209,2;407,1;410,1",黄金战士上衣配方,"336,1,1,4090;336,2,1,2727;336,3,1,1818;336,4,1,1212;472,5,1,151",0,96272,1,30,2,0,4,0,10
0,黄金战士手套配方,2,recipe-icon-273,273,4,"209,2;407,1;410,1",黄金战士手套配方,"337,1,1,4090;337,2,1,2727;337,3,1,1818;337,4,1,1212;248,5,1,151",0,96273,1,30,2,0,4,0,10
0,黄金战士裤子配方,2,recipe-icon-274,274,4,"209,2;407,1;410,1",黄金战士裤子配方,"338,1,1,4090;338,2,1,2727;338,3,1,1818;338,4,1,1212;474,5,1,151",0,96274,1,30,2,0,4,0,10
0,黄金战士鞋子配方,2,recipe-icon-275,275,4,"209,2;407,1;410,1",黄金战士鞋子配方,"339,1,1,4090;339,2,1,2727;339,3,1,1818;339,4,1,1212;475,5,1,151",0,96275,1,30,2,0,4,0,10
0,黄金镰刀配方,2,recipe-icon-276,276,4,"212,1;215,1;401,2",黄金镰刀配方,"303,1,1,4153;303,2,1,2769;303,3,1,1846;303,4,1,1230",0,96276,1,30,3,0,4,0,10
0,黄金斧头配方,2,recipe-icon-277,277,4,"212,1;215,1;401,2",黄金斧头配方,"300,1,1,4153;300,2,1,2769;300,3,1,1846;300,4,1,1230",0,96277,1,30,3,0,4,0,10
0,黄金采集头发配方,2,recipe-icon-279,279,4,"212,1;215,1;401,2",黄金采集头发配方,"320,1,1,4090;320,2,1,2727;320,3,1,1818;320,4,1,1212;471,5,1,151",0,96279,1,30,3,0,4,0,10
0,黄金镐子配方,2,recipe-icon-278,278,4,"212,1;215,1;401,2",黄金镐子配方,"301,1,1,4153;301,2,1,2769;301,3,1,1846;301,4,1,1230",0,96278,1,30,3,0,4,0,10
0,黄金采集上衣配方,2,recipe-icon-280,280,4,"212,1;215,1;401,2",黄金采集上衣配方,"321,1,1,4090;321,2,1,2727;321,3,1,1818;321,4,1,1212;472,5,1,151",0,96280,1,30,3,0,4,0,10
0,黄金采集手套配方,2,recipe-icon-281,281,4,"212,1;215,1;401,2",黄金采集手套配方,"322,1,1,4090;322,2,1,2727;322,3,1,1818;322,4,1,1212;248,5,1,151",0,96281,1,30,3,0,4,0,10
0,黄金锄头配方,2,recipe-icon-282,282,4,"218,2;404,2",黄金锄头配方,"299,1,1,4153;299,2,1,2769;299,3,1,1846;299,4,1,1230",0,96282,1,30,1,0,4,0,10
0,黄金农场主头发配方,2,recipe-icon-284,284,4,"218,2;404,2",黄金农场主头发配方,"350,1,1,4090;350,2,1,2727;350,3,1,1818;350,4,1,1212;471,5,1,151",0,96284,1,30,1,0,4,0,10
0,黄金农场主上衣配方,2,recipe-icon-285,285,4,"218,2;404,2",黄金农场主上衣配方,"351,1,1,4090;351,2,1,2727;351,3,1,1818;351,4,1,1212;472,5,1,151",0,96285,1,30,1,0,4,0,10
0,黄金农场主手套配方,2,recipe-icon-286,286,4,"218,2;404,2",黄金农场主手套配方,"352,1,1,4090;352,2,1,2727;352,3,1,1818;352,4,1,1212;248,5,1,151",0,96286,1,30,1,0,4,0,10
0,黄金农场主裤子配方,2,recipe-icon-287,287,4,"218,2;404,2",黄金农场主裤子配方,"353,1,1,4090;353,2,1,2727;353,3,1,1818;353,4,1,1212;474,5,1,151",0,96287,1,30,1,0,4,0,10
0,黄金采集裤子配方,2,recipe-icon-288,288,4,"212,1;215,1;401,2",黄金采集裤子配方,"323,1,1,4090;323,2,1,2727;323,3,1,1818;323,4,1,1212;474,5,1,151",0,96288,1,30,3,0,4,0,10
0,黄金采集鞋子配方,2,recipe-icon-289,289,4,"212,1;215,1;401,2",黄金采集鞋子配方,"324,1,1,4090;324,2,1,2727;324,3,1,1818;324,4,1,1212;475,5,1,151",0,96289,1,30,3,0,4,0,10
