classifyLevel-int,desc-string,displayType-int,icon-string,id-int,level-int,matItemId-int[][],name-string,productId-int[][],productTypes-int[],proficiency-int,recipesSort-int,sourceText-int,timeCost-int,timesLimit-int,type-int,unlockCondition-int,unlockType-int,useDitamin-int,useToken-int
0,制作 Lv 2 诅咒镐子,2,recipe-icon-71,71,2,"210,1;213,1;217,2",Lv 2 诅咒镐子配方,"89,1,1,6000;89,2,1,4000",1,0,50800071,1,5,-,3,0,4,0,0
0,制作 Lv 3 祝福稿子,2,recipe-icon-72,72,3,"211,1;214,1;218,2",Lv 3 祝福稿子配方,"90,1,1,10000",1,0,10700072,1,5,-,3,0,4,0,0
0,制作 Lv 1 铁质斧头,2,recipe-icon-74,74,1,"216,2",Lv 1 铁质斧头配方,"92,1,1,10000",1,0,10900074,1,5,-,3,0,4,0,0
0,制作 Lv 2 诅咒斧头,2,recipe-icon-75,75,2,"210,1;213,1;217,2",Lv 2 诅咒斧头配方,"93,1,1,6000;93,2,1,4000",1,0,50800075,1,5,-,3,0,4,0,0
0,制作 Lv 3 祝福斧头,2,recipe-icon-76,76,3,"211,1;214,1;218,2",Lv 3 祝福斧头配方,"94,1,1,10000",1,0,10700076,1,5,-,3,0,4,0,0
0,制作 Lv 0 加速肥料,2,recipe-icon-92,92,1,"65,1",Lv 0 加速肥料,"128,1,1,10000",3,0,40900092,1,5,-,1,0,4,0,0
0,制作 Lv 0 增产肥料,2,recipe-icon-93,93,1,"61,1",Lv 0 增产肥料,"129,1,1,10000",3,0,40900093,1,5,-,1,0,4,0,0
0,制作 Lv 0 湿润肥料,2,recipe-icon-94,94,1,"69,1",Lv 0 湿润肥料,"130,1,1,10000",3,0,40900094,1,5,-,1,0,4,0,0
0,制作 Lv 0 次级治疗药水,2,recipe-icon-95,95,1,"66,5;32,5",Lv 1 药水配方,"134,1,1,5031;135,1,1,993;136,1,1,993;137,1,1,993;139,1,1,993;138,1,1,993",3,0,50900095,1,5,-,3,0,4,0,0
0,制作 Lv 1 治疗药水,2,recipe-icon-96,96,2,"67,2;75,2;35,2",Lv 2 药水配方,"140,1,1,5031;142,1,1,993;141,1,1,993;143,1,1,993;145,1,1,993;144,1,1,993",3,0,50800096,1,5,-,3,0,4,0,0
0,制作 Lv 0 高级湿润肥料,2,recipe-icon-101,101,2,"69,2;35,2",Lv 0 高级湿润肥料,"133,1,1,10000",3,0,40800101,1,5,-,1,0,4,0,0
0,制作 Lv 0 高级增产肥料,2,recipe-icon-102,102,2,"61,2;35,2",Lv 0 高级增产肥料,"132,1,1,10000",3,0,40800102,1,5,-,1,0,4,0,0
0,制作 Lv 0 高级加速肥料,2,recipe-icon-103,103,2,"65,2;35,2",Lv 0 高级加速肥料,"131,1,1,10000",3,0,40800103,1,5,-,1,0,4,0,0
0,制作 Lv 0 护身符,2,recipe-icon-104,104,1,"32,20;71,40;58,40;62,40;66,40",Lv 0 护身符,",1,1,4736;,2,1,3157;,3,1,2105",,0,50900104,1,5,-,0,0,4,0,50000
0,制作 Lv 0 护身符,2,recipe-icon-106,106,1,"38,20;77,40;60,40;64,40;68,40",Lv 0 护身符,",2,1,4426;,3,1,2950;,4,1,1967;,5,1,655",,0,50900106,1,5,-,0,0,4,0,100000
0,制作 Lv 1 农业帽子,2,recipe-icon-108,108,1,"207,2",Lv 1 幸运三叶草帽子配方,"98,1,1,9310;241,5,1,344;262,5,1,344",1,0,50900108,1,5,-,1,0,4,0,0
0,制作 Lv 2 农业帽子,2,recipe-icon-109,109,2,"216,2;208,2",Lv 2 幸运棉花帽子配方,"99,1,1,5744;99,2,1,3829;267,5,1,212;272,5,1,212",1,0,50800109,1,5,-,1,0,4,0,0
0,制作 Lv 3 农业帽子,2,recipe-icon-110,110,3,"217,2;209,2",Lv 3 幸运祝福帽子配方,"100,1,1,4576;100,2,1,3050;100,3,1,2033;246,5,1,169;251,5,1,169",1,0,50700110,1,5,-,1,0,4,0,0
0,制作 Lv 1 采集帽子,2,recipe-icon-111,111,1,"216,2",Lv 1 采集帽子配方,"116,1,1,9310;241,5,1,344;262,5,1,344",1,0,50900111,1,5,-,3,0,4,0,0
0,制作 Lv 2 采集帽子,2,recipe-icon-112,112,2,"210,1;213,1;217,2",Lv 2 采集帽子配方,"117,1,1,5744;117,2,1,3829;267,5,1,212;272,5,1,212",1,0,50800112,1,5,-,3,0,4,0,0
0,制作 Lv 3 采集帽子,2,recipe-icon-113,113,3,"211,1;214,1;218,2",Lv 3 采集帽子配方,"118,1,1,4576;118,3,1,2033;118,2,1,3050;246,5,1,169;251,5,1,169",1,0,50700113,1,5,-,3,0,4,0,0
0,制作 Lv 1 竹子种子,2,recipe-icon-123,123,1,"70,1",Lv 1 竹子种子配方,"146,1,1,8350;150,1,1,1649",3,0,50900123,1,5,-,1,0,4,0,0
0,制作 Lv 1 三叶草种子,2,recipe-icon-124,124,1,"71,1",Lv 1 三叶草种子配方,"147,1,1,8350;149,1,1,1649",3,0,50900124,1,5,-,1,0,4,0,0
0,制作 Lv 1 胡萝卜种子,2,recipe-icon-125,125,1,"72,1",Lv 1 胡萝卜种子配方,"148,1,1,8350;151,1,1,1649",3,0,50900125,1,5,-,1,0,4,0,0
0,制作 Lv 2 猪笼草种子,2,recipe-icon-126,126,2,"73,1",Lv 2 猪笼草种子配方,"149,1,1,8350;154,1,1,1649",3,0,50800126,1,5,-,1,0,4,0,0
0,制作 Lv 2 棉花种子,2,recipe-icon-127,127,2,"74,1",Lv 2 棉花种子配方,"150,1,1,8350;152,1,1,1649",3,0,50800127,1,5,-,1,0,4,0,0
0,制作 Lv 2 仙人掌种子,2,recipe-icon-128,128,2,"75,1",Lv 2 仙人掌种子配方,"151,1,1,8350;153,1,1,1649",3,0,50800128,1,5,-,1,0,4,0,0
0,制作 Lv 3 火爆辣椒种子,2,recipe-icon-129,129,3,"76,1",Lv 3 火爆辣椒种子配方,"152,1,1,8350;413,1,1,1649",3,0,50700129,1,5,-,1,0,4,0,0
0,制作 Lv 3 坚硬果实种子,2,recipe-icon-130,130,3,"77,1",Lv 3 坚硬果实种子配方,"153,1,1,8350;414,1,1,1649",3,0,50700130,1,5,-,1,0,4,0,0
0,制作 Lv 3 蓝幻菇种子,2,recipe-icon-131,131,3,"78,1",Lv 3 蓝幻菇种子配方,"154,1,1,8350;415,1,1,1649",3,0,50700131,1,5,-,1,0,4,0,0
0,制作 Lv 2 晶化治疗药水,2,recipe-icon-132,132,3,"68,2;78,2;38,2",Lv 3 药水配方,"191,1,1,5031;192,1,1,993;194,1,1,993;195,1,1,993;196,1,1,993;197,1,1,993",3,0,50700132,1,5,-,3,0,4,0,0
0,制作 Lv 1 碎晶头环,2,recipe-icon-133,133,1,"210,1;213,1",Lv 1 碎晶头环配方,"43,1,1,9310;241,5,1,344;262,5,1,344",1,0,50900133,1,5,-,2,0,4,0,0
0,制作 Lv 2 晶皮软帽,2,recipe-icon-134,134,2,"207,2;211,1;214,1",Lv 2 晶皮软帽配方,"44,1,1,5744;44,2,1,3829;267,5,1,212;272,5,1,212",1,0,50800134,1,5,-,2,0,4,0,0
0,制作 Lv 3 晶石头盔,2,recipe-icon-135,135,3,"208,2;212,1;215,1",Lv 3 晶石头盔配方,"45,1,1,4576;45,2,1,3050;45,3,1,2033;246,5,1,169;251,5,1,169",1,0,50700135,1,5,-,2,0,4,0,0
0,制作 Lv 1 碎晶藤甲,2,recipe-icon-136,136,1,"210,1;213,1",Lv 1 碎晶藤甲配方,"46,1,1,9310;242,5,1,344;263,5,1,344",1,0,50900136,1,5,-,2,0,4,0,0
0,制作 Lv 2 晶皮上衣,2,recipe-icon-137,137,2,"207,2;211,1;214,1",Lv 2 晶皮上衣配方,"47,1,1,5744;47,2,1,3829;268,5,1,212;273,5,1,212",1,0,50800137,1,5,-,2,0,4,0,0
0,制作 Lv 3 晶石甲胄,2,recipe-icon-138,138,3,"208,2;212,1;215,1",Lv 3 晶石甲胄配方,"48,1,1,4576;48,2,1,3050;48,3,1,2033;247,5,1,169;252,5,1,169",1,0,50700138,1,5,-,2,0,4,0,0
0,制作 Lv 1 碎晶草裙,2,recipe-icon-139,139,1,"210,1;213,1",Lv 1 碎晶草裙配方,"49,1,1,9310;265,5,1,344;244,5,1,344",1,0,50900139,1,5,-,2,0,4,0,0
0,制作 Lv 2 晶皮长裤,2,recipe-icon-140,140,2,"207,2;211,1;214,1",Lv 2 晶皮长裤配方,"50,1,1,5744;50,2,1,3829;270,5,1,212;275,5,1,212",1,0,50800140,1,5,-,2,0,4,0,0
0,制作 Lv 3 晶石腿甲,2,recipe-icon-141,141,3,"208,2;212,1;215,1",Lv 3 晶石腿甲配方,"51,1,1,4576;51,2,1,3050;51,3,1,2033;249,5,1,169;254,5,1,169",1,0,50700141,1,5,-,2,0,4,0,0
0,制作 Lv 1 碎晶草鞋,2,recipe-icon-142,142,1,"210,1;213,1",Lv 1 碎晶草鞋配方,"55,1,1,9310;245,5,1,344;266,5,1,344",1,0,50900142,1,5,-,2,0,4,0,0
0,制作 Lv 2 晶皮长靴,2,recipe-icon-143,143,2,"207,2;211,1;214,1",Lv 2 晶皮长靴配方,"56,1,1,5744;56,2,1,3829;271,5,1,212;276,5,1,212",1,0,50800143,1,5,-,2,0,4,0,0
0,制作 Lv 3 晶石鞋,2,recipe-icon-144,144,3,"208,2;212,1;215,1",Lv 3 晶石鞋配方,"57,1,1,4576;57,2,1,3050;57,3,1,2033;250,5,1,169;255,5,1,169",1,0,50700144,1,5,-,2,0,4,0,0
0,制作 Lv 1 碎晶手环,2,recipe-icon-145,145,1,"210,1;213,1",Lv 1 碎晶手环配方,"52,1,1,9310;243,5,1,344;264,5,1,344",1,0,50900145,1,5,-,2,0,4,0,0
0,制作 Lv 2 晶皮手套,2,recipe-icon-146,146,2,"207,2;211,1;214,1",Lv 2 晶皮手套配方,"53,1,1,5744;53,2,1,3829;274,5,1,212;269,5,1,212",1,0,50800146,1,5,-,2,0,4,0,0
0,制作 Lv 3 晶石护手,2,recipe-icon-147,147,3,"208,2;212,1;215,1",Lv 3 晶石护手配方,"54,1,1,4655;54,2,1,3103;54,3,1,2068;253,5,1,172",1,0,50700147,1,5,-,2,0,4,0,0
0,制作 Lv 1 战斗精华,2,recipe-icon-149,149,1,"30,5;31,5;32,5",Lv1 战斗精华配方,"216,1,1,10000",4,0,20900149,1,5,-,2,0,4,0,0
0,制作 Lv 2 战斗精华,2,recipe-icon-150,150,2,"33,5;35,5;34,5;216,2",Lv2 战斗精华配方,"217,1,1,10000",4,0,20800150,1,5,-,2,0,4,0,0
0,制作 Lv 3 战斗精华,2,recipe-icon-151,151,3,"36,5;37,5;38,5;217,2",Lv3 战斗精华配方,"218,1,1,10000",4,0,20700151,1,5,-,2,0,4,0,100
0,制作 Lv 1 农业种植精华,2,recipe-icon-152,152,1,"70,5;71,5;72,5",Lv1 农业种植精华配方,"210,1,1,10000",4,0,20900152,1,5,-,1,0,4,0,0
0,制作 Lv 2 农业种植精华,2,recipe-icon-153,153,2,"74,5;73,5;75,5;210,2",Lv2 农业种植精华配方,"211,1,1,10000",4,0,20800153,1,5,-,1,0,4,0,0
0,制作 Lv 3 农业种植精华,2,recipe-icon-154,154,3,"76,5;77,5;78,5;211,2",Lv3 农业种植精华配方,"212,1,1,10000",4,0,20700154,1,5,-,1,0,4,0,100
0,制作 Lv 1 农业畜牧精华,2,recipe-icon-155,155,1,"178,5;179,5;177,5",Lv1 农业畜牧精华配方,"213,1,1,10000",4,0,20900155,1,5,-,1,0,4,0,0
0,制作 Lv 2 农业畜牧精华,2,recipe-icon-156,156,2,"182,5;180,5;181,5;213,2",Lv2 农业畜牧精华配方,"214,1,1,10000",4,0,20800156,1,5,-,1,0,4,0,0
0,制作 Lv 3 农业畜牧精华,2,recipe-icon-157,157,3,"184,5;185,5;183,5;214,2",Lv3 农业畜牧精华配方,"215,1,1,10000",4,0,20700157,1,5,-,1,0,4,0,100
0,制作 Lv 1 采集精华,2,recipe-icon-158,158,1,"62,5;58,5;66,5",Lv1 采集精华配方,"207,1,1,10000",4,0,20900158,1,5,-,3,0,4,0,0
0,制作 Lv 2 采集精华,2,recipe-icon-159,159,2,"63,5;67,5;59,5;207,2",Lv2 采集精华配方,"208,1,1,10000",4,0,20800159,1,5,-,3,0,4,0,0
0,制作 Lv 3 采集精华,2,recipe-icon-160,160,3,"64,5;60,5;68,5;208,2",Lv3 采集精华配方,"209,1,1,10000",4,0,20700160,1,5,-,3,0,4,0,100
0,制作 Lv 1 农业上衣,2,recipe-icon-165,165,1,"207,2",Lv 1 农业上衣配方,"101,1,1,9310;242,5,1,344;263,5,1,344",1,0,50900165,1,5,-,1,0,4,0,0
0,制作 Lv 1 农业裤子,2,recipe-icon-166,166,1,"207,2",Lv 1 农业裤子配方,"104,1,1,9310;265,5,1,344;244,5,1,344",1,0,50900166,1,5,-,1,0,4,0,0
0,制作 Lv 1 农业手套,2,recipe-icon-167,167,1,"207,2",Lv 1 农业手套配方,"107,1,1,9310;243,5,1,344;264,5,1,344",1,0,50900167,1,5,-,1,0,4,0,0
0,制作 Lv 1 农业鞋子,2,recipe-icon-168,168,1,"207,2",Lv 1 农业鞋子配方,"110,1,1,9310;245,5,1,344;266,5,1,344",1,0,50900168,1,5,-,1,0,4,0,0
0,制作 Lv 2 农业上衣,2,recipe-icon-169,169,2,"216,2;208,2",Lv 2 农业上衣配方,"102,1,1,5744;102,2,1,3829;268,5,1,212;273,5,1,212",1,0,50800169,1,5,-,1,0,4,0,0
0,制作 Lv 2 农业裤子,2,recipe-icon-170,170,2,"216,2;208,2",Lv 2 农业裤子配方,"105,1,1,5744;105,2,1,3829;270,5,1,212;275,5,1,212",1,0,50800170,1,5,-,1,0,4,0,0
0,制作 Lv 2 农业手套,2,recipe-icon-171,171,2,"216,2;208,2",Lv 2 农业手套配方,"108,1,1,5744;108,2,1,3829;274,5,1,212;269,5,1,212",1,0,50800171,1,5,-,1,0,4,0,0
0,制作 Lv 2 农业鞋子,2,recipe-icon-172,172,2,"216,2;208,2",Lv 2 农业鞋子配方,"111,1,1,5744;111,2,1,3829;271,5,1,212;276,5,1,212",1,0,50800172,1,5,-,1,0,4,0,0
0,制作 Lv 3 农业上衣,2,recipe-icon-173,173,3,"217,2;209,2",Lv 3 农业上衣配方,"103,1,1,4576;103,2,1,3050;103,3,1,2033;247,5,1,169;252,5,1,169",1,0,50700173,1,5,-,1,0,4,0,0
0,制作 Lv 3 农业裤子,2,recipe-icon-174,174,3,"217,2;209,2",Lv 3 农业裤子配方,"106,1,1,4576;106,3,1,2033;106,2,1,3050;249,5,1,169;254,5,1,169",1,0,50700174,1,5,-,1,0,4,0,0
0,制作 Lv 3 农业手套,2,recipe-icon-175,175,3,"217,2;209,2",Lv 3 农业手套配方,"109,2,1,3103;109,1,1,4655;109,3,1,2068;253,5,1,172",1,0,50700175,1,5,-,1,0,4,0,0
0,制作 Lv 3 农业鞋子,2,recipe-icon-176,176,3,"217,2;209,2",Lv 3 农业鞋子配方,"112,1,1,4576;112,3,1,2033;112,2,1,3050;250,5,1,169;255,5,1,169",1,0,50700176,1,5,-,1,0,4,0,0
0,制作 Lv 1 采集鞋子,2,recipe-icon-177,177,1,"216,2",Lv 1 采集鞋子配方,"113,1,1,9310;245,5,1,344;266,5,1,344",1,0,50900177,1,5,-,3,0,4,0,0
0,制作 Lv 1 采集上衣,2,recipe-icon-178,178,1,"216,2",Lv 1 采集上衣配方,"119,1,1,9310;242,5,1,344;263,5,1,344",1,0,50900178,1,5,-,3,0,4,0,0
0,制作 Lv 1 采集裤子,2,recipe-icon-179,179,1,"216,2",Lv 1 采集裤子配方,"122,1,1,9310;265,5,1,344;244,5,1,344",1,0,50900179,1,5,-,3,0,4,0,0
0,制作 Lv 1 采集手套,2,recipe-icon-180,180,1,"216,2",Lv 1 采集手套配方,"125,1,1,9310;243,5,1,344;264,5,1,344",1,0,50900180,1,5,-,3,0,4,0,0
0,制作 Lv 2 采集鞋子,2,recipe-icon-181,181,2,"210,1;213,1;217,2",Lv 2 采集鞋子配方,"114,1,1,5744;114,2,1,3829;271,5,1,212;276,5,1,212",1,0,50800181,1,5,-,3,0,4,0,0
0,制作 Lv 2 采集上衣,2,recipe-icon-182,182,2,"210,1;213,1;217,2",Lv 2 采集上衣配方,"120,1,1,5744;120,2,1,3829;268,5,1,212;273,5,1,212",1,0,50800182,1,5,-,3,0,4,0,0
0,制作 Lv 2 采集裤子,2,recipe-icon-183,183,2,"210,1;213,1;217,2",Lv 2 采集裤子配方,"123,1,1,5744;123,2,1,3829;270,5,1,212;275,5,1,212",1,0,50800183,1,5,-,3,0,4,0,0
0,制作 Lv 2 采集手套,2,recipe-icon-184,184,2,"210,1;213,1;217,2",Lv 2 采集手套配方,"126,1,1,5744;126,2,1,3829;274,5,1,212;269,5,1,212",1,0,50800184,1,5,-,3,0,4,0,0
0,制作 Lv 3 采集鞋子,2,recipe-icon-185,185,3,"211,1;214,1;218,2",Lv 3 采集鞋子配方,"115,1,1,4576;115,3,1,2033;115,2,1,3050;250,5,1,169;255,5,1,169",1,0,50700185,1,5,-,3,0,4,0,0
0,制作 Lv 3 采集上衣,2,recipe-icon-186,186,3,"211,1;214,1;218,2",Lv 3 采集上衣配方,"121,1,1,4576;121,3,1,2033;121,2,1,3050;247,5,1,169;252,5,1,169",1,0,50700186,1,5,-,3,0,4,0,0
0,制作 Lv 3 采集裤子,2,recipe-icon-187,187,3,"211,1;214,1;218,2",Lv 3 采集裤子配方,"124,1,1,4576;124,3,1,2033;124,2,1,3050;249,5,1,169;254,5,1,169",1,0,50700187,1,5,-,3,0,4,0,0
0,制作 Lv 3 采集手套,2,recipe-icon-188,188,3,"211,1;214,1;218,2",Lv 3 采集手套配方,"127,1,1,4655;127,2,1,3103;127,3,1,2068;253,5,1,172",1,0,50700188,1,5,-,3,0,4,0,0
0,制作 Lv 0 木剑,2,recipe-icon-189,189,0,"62,10;32,5",Lv 0 木剑配方,"39,1,1,10000",1,0,11000189,1,3,-,2,1,1,0,0
0,制作 Lv 0 木质锄头,2,recipe-icon-190,190,0,"62,10;66,10",Lv 0 木质锄头配方,"79,1,1,10000",1,0,11000190,1,3,-,1,1,1,0,0
0,制作 Lv 0 刷子,2,recipe-icon-191,191,0,"62,10;66,10",Lv 0 刷子配方,"95,1,1,10000",1,0,11000191,1,3,-,1,1,1,0,0
0,制作 Lv 0 剪毛器,2,recipe-icon-192,192,0,"62,10;66,10",Lv 0 剪毛器配方,"96,1,1,10000",1,0,11000192,1,3,-,1,1,1,0,0
0,制作 Lv 0 挤奶器,2,recipe-icon-193,193,0,"62,10;66,10",Lv 0 挤奶器配方,"97,1,1,10000",1,0,11000193,1,3,-,1,1,1,0,0
0,制作 Lv 0 木质水壶,2,recipe-icon-194,194,0,"62,10;66,10",Lv 0 木质水壶配方,"83,1,1,10000",1,0,11000194,1,3,-,1,1,1,0,0
0,制作 Lv 0 木质斧头,2,recipe-icon-195,195,0,"62,10;66,10",Lv 0 木质斧头配方,"91,1,1,10000",1,0,11000195,1,3,-,3,1,1,0,0
0,制作 Lv 0 木质镐子,2,recipe-icon-196,196,0,"62,10;66,10",Lv 0 木质镐子配方,"87,1,1,10000",1,0,11000196,1,3,-,3,1,1,0,0
0,制作 Lv 0 中级加速肥料,2,recipe-icon-197,197,2,"69,2;35,2",Lv 0 中级加速肥料,"219,1,1,10000",3,0,40800197,1,5,-,1,0,4,0,0
0,制作 Lv 0 中级增产肥料,2,recipe-icon-198,198,2,"61,2;35,2",Lv 0 中级增产肥料,"220,1,1,10000",3,0,40800198,1,5,-,1,0,4,0,0
0,制作 Lv 0 中级湿润肥料,2,recipe-icon-199,199,2,"65,2;35,2",Lv 0 中级湿润肥料,"221,1,1,10000",3,0,40800199,1,5,-,1,0,4,0,0
0,制作 Lv 1 石头镰刀,2,recipe-icon-201,201,1,"216,2",Lv 1 铜质镰刀配方,"226,1,1,10000",1,0,10900201,1,5,-,3,0,4,0,0
0,制作 Lv 2 铜质镰刀,2,recipe-icon-203,203,2,"217,2;210,1;213,1",Lv 2 铁质镰刀配方,"227,1,1,10000",1,0,10800203,1,5,-,3,0,4,0,0
0,制作 Lv 3 铁质镰刀,2,recipe-icon-204,204,3,"211,1;214,1;218,2",Lv 3 祝福镰刀配方,"228,1,1,10000",1,0,10700204,1,5,-,3,0,4,0,0
0,制作 Lv 0 小饲料,2,recipe-icon-205,205,1,"482,1",Lv 1 小饲料,"28,1,1,10000",3,0,40900205,1,5,-,1,0,4,0,0
0,制作 Lv 0 大饲料,2,recipe-icon-206,206,2,"483,1",Lv 2 大饲料,"29,1,1,10000",3,0,40800206,1,5,-,1,0,4,0,0
0,制作 Lv 0 木质弓箭,2,recipe-icon-207,207,0,"62,20;66,10",Lv 0 木质弓箭,"223,1,1,10000",1,0,11000207,1,3,-,2,1,1,0,0
0,制作 Lv 0 石锤,2,recipe-icon-208,208,0,"62,20;58,20",Lv 0 石锤,"222,1,1,10000",1,0,11000208,1,3,-,2,1,1,0,0
0,制作爆炸药水,2,recipe-icon-212,212,0,"62,3",爆炸药水配方,"232,1,1,10000",3,0,41000212,1,5,-,3,0,4,0,0
0,制作眩晕药水,2,recipe-icon-213,213,0,"58,3",眩晕药水配方,"233,1,1,10000",3,0,41000213,1,5,-,3,0,4,0,0
0,制作减速药水,2,recipe-icon-214,214,0,"66,3",减速药水配方,"234,1,1,10000",3,0,41000214,1,5,-,3,0,4,0,0
0,制作燃烧药水,2,recipe-icon-215,215,0,"65,1;61,1;69,1",燃烧药水配方,"235,1,3,10000",3,0,41000215,1,5,-,3,1,1,0,0
0,飞雷神药水配方,2,recipe-icon-216,216,0,"32,3;70,3",飞雷神药水配方,"236,1,1,10000",3,0,41000216,1,5,-,3,1,1,0,0
0,闪避药水配方,2,recipe-icon-217,217,0,"31,3;71,3",闪避药水配方,"237,1,1,10000",3,0,41000217,1,5,-,3,1,1,0,0
0,净化药水配方,2,recipe-icon-218,218,0,"30,3;72,3",净化药水配方,"238,1,1,10000",3,0,41000218,1,5,-,3,1,1,0,0
0,精力溶液Lv 1 配方,2,recipe-icon-267,267,1,"58,4;62,4;66,4",采集精力溶液Lv 1 配方,"482,1,1,10000",4,0,20900267,1,3,-,3,0,4,0,0
0,精力溶液Lv 2 配方,2,recipe-icon-268,268,2,"482,1;63,4;59,4;67,4",采集精力溶液Lv 2 配方,"483,1,1,10000",4,0,20800268,1,3,-,3,0,4,0,0
0,精力溶液Lv 3 配方,2,recipe-icon-269,269,3,"483,1;60,4;68,4;64,4",采集精力溶液Lv 3 配方,"484,1,1,10000",4,0,20700269,1,3,-,3,0,4,0,0
0,黄金剑配方,2,recipe-icon-270,270,4,"209,2;407,1;410,1",Lv 4 黄金剑配方,"317,1,1,4153;317,2,1,2769;317,3,1,1846;317,4,1,1230",1,0,50600270,1,30,-,2,0,4,0,5000
0,黄金战士头发配方,2,recipe-icon-271,271,4,"209,2;407,1;410,1",Lv 4 黄金战士头发配方,"335,1,1,4090;335,2,1,2727;335,3,1,1818;335,4,1,1212;471,5,1,151",1,0,50600271,1,30,-,2,0,4,0,5000
0,黄金战士上衣配方,2,recipe-icon-272,272,4,"209,2;407,1;410,1",Lv 4 黄金战士上衣配方,"336,1,1,4090;336,2,1,2727;336,3,1,1818;336,4,1,1212;472,5,1,151",1,0,50600272,1,30,-,2,0,4,0,5000
0,黄金战士手套配方,2,recipe-icon-273,273,4,"209,2;407,1;410,1",Lv 4 黄金战士手套配方,"337,1,1,4090;337,2,1,2727;337,3,1,1818;337,4,1,1212;248,5,1,151",1,0,50600273,1,30,-,2,0,4,0,5000
0,黄金战士裤子配方,2,recipe-icon-274,274,4,"209,2;407,1;410,1",Lv 4 黄金战士裤子配方,"338,1,1,4090;338,2,1,2727;338,3,1,1818;338,4,1,1212;474,5,1,151",1,0,50600274,1,30,-,2,0,4,0,5000
0,黄金战士鞋子配方,2,recipe-icon-275,275,4,"209,2;407,1;410,1",Lv 4 黄金战士鞋子配方,"339,1,1,4090;339,2,1,2727;339,3,1,1818;339,4,1,1212;475,5,1,151",1,0,50600275,1,30,-,2,0,4,0,5000
0,黄金镰刀配方,2,recipe-icon-276,276,4,"401,2;212,1;215,1",Lv 4 黄金镰刀配方,"303,1,1,4153;303,2,1,2769;303,3,1,1846;303,4,1,1230",1,0,50600276,1,30,-,3,0,4,0,5000
0,黄金斧头配方,2,recipe-icon-277,277,4,"212,1;215,1;401,2",Lv 4 黄金斧头配方,"300,1,1,4153;300,2,1,2769;300,3,1,1846;300,4,1,1230",1,0,50600277,1,30,-,3,0,4,0,5000
0,黄金镐子配方,2,recipe-icon-278,278,4,"212,1;215,1;401,2",Lv 4 黄金镐子配方,"301,1,1,4153;301,2,1,2769;301,3,1,1846;301,4,1,1230",1,0,50600278,1,30,-,3,0,4,0,5000
0,黄金采集头发配方,2,recipe-icon-279,279,4,"212,1;215,1;401,2",Lv 4 黄金采集头发配方,"320,1,1,4090;320,2,1,2727;320,3,1,1818;320,4,1,1212;471,5,1,151",1,0,50600279,1,30,-,3,0,4,0,5000
0,黄金采集上衣配方,2,recipe-icon-280,280,4,"212,1;215,1;401,2",Lv 4 黄金采集上衣配方,"321,1,1,4090;321,2,1,2727;321,3,1,1818;321,4,1,1212;472,5,1,151",1,0,50600280,1,30,-,3,0,4,0,5000
0,黄金采集手套配方,2,recipe-icon-281,281,4,"212,1;215,1;401,2",Lv 4 黄金采集手套配方,"322,1,1,4090;322,2,1,2727;322,3,1,1818;322,4,1,1212;248,5,1,151",1,0,50600281,1,30,-,3,0,4,0,5000
