assetRes-string,dropId-int,exp-int,grassDef-int,homeAction-int,icon-string,id-int,lv-int,maxActionValue-int,name-string,oreDef-int,requiredProficiency-int,treeDef-int
homeresource-27,0,5,100,5,2D_caijiziyuan_zhuangshikucaoye_4,27,1,176,,0,100,0
homeresource-28,0,5,100,5,2D_caijiziyuan_zhuangshikucaoye_3,28,1,176,,0,100,0
homeresource-29,0,20,0,6,2D_caijiziyuan_kushu_1,29,1,176,普通木材,0,100,100
homeresource-30,0,5,100,5,2D_caijiziyuan_kucao1,30,1,176,植物纤维,0,100,0
homeresource-31,0,5,100,5,2D_caijiziyuan_kucao2,31,1,176,植物纤维,0,100,0
homeresource-32,0,5,100,5,2D_caijiziyuan_kucao3,32,1,176,植物纤维,0,100,0
homeresource-33,0,5,100,5,2D_caijiziyuan_kucao4,33,1,176,植物纤维,0,100,0
2D_caijiziyuan_shikuai_4,26,20,0,7,2D_caijiziyuan_shikuai_4,34,1,176,石头,100,100,0
homeresource-35,27,20,0,6,2d_shu_06,35,1,176,普通木材,0,100,100
homeresource-36,28,40.33081697,0,6,2d_shu_07,36,2,376,沙漠树木材,0,200,175
homeresource-37,29,59.72663478,0,6,2d_shu_08,37,3,578,暗黑木材,0,300,250
homeresource-38,31,59.72663478,0,7,2d_shitou_06,38,3,578,红色水晶矿,250,300,0
homeresource-41,30,40.33081697,0,7,2d_shitou_05,41,2,376,黑铁矿,175,200,0
homeresource-42,26,20,0,7,2d_shitou_04,42,1,176,石头,100,100,0
homeresource-43,33,10,175,5,2d_cao_10,43,2,376,冰原菇,0,200,0
homeresource-44,34,15,250,5,2d_cao_11,44,3,578,龙舌兰,0,300,0
homeresource-45,0,5,100,5,2d_cao_09,45,1,176,植物纤维,0,100,0
homeresource-47,9,0,0,16,2D_zhandouziyuan_xianrenzhangnianye_icon,47,1,0,绿色粘液,0,99999,0
homeresource-48,8,0,0,16,2D_zhandouziyuan_nanguatengman_icon,48,1,0,南瓜藤蔓,0,99999,0
homeresource-49,7,0,0,16,2D_zhandouziyuan_tiesiwang_icon,49,1,0,铁丝网,0,99999,0
homeresource-50,26,0,0,16,2D_caijiziyuan_tukuangshi_icon,50,1,0,石头,0,99999,0
homeresource-51,32,0,0,16,lv2_herb,51,1,0,植物纤维,0,99999,0
homeresource-52,27,0,0,16,2D_caijiziyuan_xianrenzhang_icon,52,1,0,普通木材,0,99999,0
homeresource-53,30,0,0,16,2D_caijiziyuan_tiekuangshi_icon,53,2,0,黑铁矿,0,99999,0
homeresource-54,28,0,0,16,2D_caijiziyuan_shumu_shamoshu_icon,54,2,0,沙漠树木材,0,99999,0
homeresource-55,33,0,0,16,2D_caijiziyuan_bingyuangu_icon,55,2,0,冰原菇,0,99999,0
homeresource-56,10,0,0,16,2D_zhandouziyuan_kuangshangmaojianya_icon,56,2,0,矿矿猫尖牙,0,99999,0
homeresource-57,12,0,0,16,2D_zhandouziyuan_qingzhibomo_icon,57,2,0,轻质薄膜,0,99999,0
homeresource-58,11,0,0,16,2D_zhandouziyuan_caoyaotouguan_icon,58,2,0,草妖头冠,0,99999,0
homeresource-59,13,0,0,16,2D_zhandouziyuan_xichanggouzhua_icon,59,3,0,细长钩爪,0,99999,0
homeresource-60,14,0,0,16,2D_zhandouziyuan_chihongpimao_icon,60,3,0,赤红皮毛,0,99999,0
homeresource-61,15,0,0,16,2D_zhandouziyuan_binxuerongmaok=_icon,61,3,0,冰雪茸毛,0,99999,0
homeresource-62,31,0,0,16,2D_caijiziyuan_hongbaoshi_icon,62,3,0,红色水晶矿,0,99999,0
homeresource-63,34,0,0,16,2D_caijiziyuan_hongcaoguo_icon,63,3,0,龙舌兰,0,99999,0
homeresource-64,29,0,0,16,2D_caijiziyuan_anheimucai_icon,64,3,0,暗黑木材,0,99999,0
homeresource-65,56,20,325,5,黄金蒲公英修改,65,4,779,金色蒲公英,0,400,0
homeresource-66,57,80,0,6,黄金吉他树,66,4,779,仙人掌花,0,400,325
homeresource-67,58,80,0,7,小金人矿石,67,4,779,卡斯奥小金人,325,400,0
homeresource-68,59,25,400,5,水晶草变异种,68,5,980,钻石纤维,0,500,0
homeresource-69,60,100,0,6,音符树变异,69,5,980,钻石音符,0,500,400
homeresource-70,61,100,0,7,熊猫矿石,70,5,980,熊状钻石矿,400,500,0
homeresource-71,62,30,475,5,仙女草,71,6,1182,仙人花,0,600,0
homeresource-72,63,120,0,6,星瓶树变异,72,6,1182,罐装星星,0,600,475
homeresource-73,64,120,0,7,星星矿石变异,73,6,1182,陨落晶石,475,600,0
homeresource-74,56,20,325,5,变异修改,74,4,779,金色蒲公英,0,400,0
homeresource-75,57,80,0,6,仙人掌吉他变异,75,4,779,仙人掌花,0,400,325
homeresource-76,58,80,0,7,小金人矿石变异,76,4,779,卡斯奥小金人,325,400,0
homeresource-77,59,25,400,5,水晶草,77,5,980,钻石纤维,0,500,0
homeresource-78,60,100,0,6,音符树,78,5,980,钻石音符,0,500,400
homeresource-79,61,100,0,7,熊猫矿石变异,79,5,980,熊状钻石矿,400,500,0
homeresource-80,62,30,475,5,仙女草变异,80,6,1182,仙人花,0,600,0
homeresource-81,63,120,0,6,星瓶树,81,6,1182,罐装星星,0,600,475
homeresource-82,64,120,0,7,星星矿石,82,6,1182,陨落晶石,475,600,0
