classifyLevel-int,desc-string,displayType-int,icon-string,id-int,level-int,matItemId-int[][],name-string,productId-int[][],productTypes-int[],proficiency-int,recipesSort-int,sourceText-int,timeCost-int,timesLimit-int,type-int,unlockCondition-int,unlockType-int,useDitamin-int,useToken-int
2,製作 Lv 2 詛咒鎬子,2,recipe-icon-71,71,2,"210,1;213,1;217,2",Lv 2 詛咒鎬子配方,"89,1,1,6000;89,2,1,4000",1,0,50800071,1,10,-,3,0,4,0,0
3,製作 Lv 3 祝福稿子,2,recipe-icon-72,72,3,"211,1;214,1;218,2",Lv 3 祝福稿子配方,"90,1,1,10000",1,0,10700072,1,10,-,3,0,4,0,0
1,製作 Lv 1 鐵質斧頭,2,recipe-icon-74,74,1,"216,2",Lv 1 鐵質斧頭配方,"92,1,1,10000",1,0,10900074,1,10,-,3,0,4,0,0
2,製作 Lv 2 詛咒斧頭,2,recipe-icon-75,75,2,"210,1;213,1;217,2",Lv 2 詛咒斧頭配方,"93,1,1,6000;93,2,1,4000",1,0,50800075,1,10,-,3,0,4,0,0
3,製作 Lv 3 祝福斧頭,2,recipe-icon-76,76,3,"211,1;214,1;218,2",Lv 3 祝福斧頭配方,"94,1,1,10000",1,0,10700076,1,10,-,3,0,4,0,0
1,製作 Lv 0 加速肥料,2,recipe-icon-92,92,1,"65,1",Lv 0 加速肥料,"128,1,1,10000",3,0,40900092,1,10,-,1,0,4,0,0
1,製作 Lv 0 增產肥料,2,recipe-icon-93,93,1,"61,1",Lv 0 增產肥料,"129,1,1,10000",3,0,40900093,1,10,-,1,0,4,0,0
1,製作 Lv 0 濕潤肥料,2,recipe-icon-94,94,1,"69,1",Lv 0 濕潤肥料,"130,1,1,10000",3,0,40900094,1,10,-,1,0,4,0,0
1,製作 Lv 0 次級治療藥水,2,recipe-icon-95,95,1,"66,5;32,5",Lv 0 次級治療藥水,"134,1,1,5031;135,1,1,993;136,1,1,993;137,1,1,993;139,1,1,993;138,1,1,993",3,0,50900095,1,10,-,3,0,4,0,0
2,製作 Lv 1 治療藥水,2,recipe-icon-96,96,2,"67,2;75,2;35,2",Lv 1 治療藥水,"140,1,1,5031;142,1,1,993;141,1,1,993;143,1,1,993;145,1,1,993;144,1,1,993",3,0,50800096,1,10,-,3,0,4,0,0
2,製作 Lv 0 高級濕潤肥料,2,recipe-icon-101,101,2,"69,2;35,2",Lv 0 高級濕潤肥料,"133,1,1,10000",3,0,40800101,1,10,-,1,0,4,0,0
2,製作 Lv 0 高級增產肥料,2,recipe-icon-102,102,2,"61,2;35,2",Lv 0 高級增產肥料,"132,1,1,10000",3,0,40800102,1,10,-,1,0,4,0,0
2,製作 Lv 0 高級加速肥料,2,recipe-icon-103,103,2,"65,2;35,2",Lv 0 高級加速肥料,"131,1,1,10000",3,0,40800103,1,10,-,1,0,4,0,0
1,製作 Lv 0 護身符,2,recipe-icon-104,104,1,"32,20;71,40;58,40;62,40;66,40",Lv 0 護身符,",1,1,4736;,2,1,3157;,3,1,2105",,0,50900104,1,10,-,0,0,4,0,50000
1,製作 Lv 0 護身符,2,recipe-icon-106,106,1,"38,20;77,40;60,40;64,40;68,40",Lv 0 護身符,",2,1,4426;,3,1,2950;,4,1,1967;,5,1,655",,0,50900106,1,10,-,0,0,4,0,100000
1,製作 Lv 1 農業帽子,2,recipe-icon-108,108,1,"207,2",Lv 1 幸運三葉草帽子,"98,1,1,9310;241,5,1,344;262,5,1,344",1,0,50900108,1,10,-,1,0,4,0,0
2,製作 Lv 2 農業帽子,2,recipe-icon-109,109,2,"216,2;208,2",Lv 2 幸運棉花帽子,"99,1,1,5744;99,2,1,3829;267,5,1,212;272,5,1,212",1,0,50800109,1,10,-,1,0,4,0,0
3,製作 Lv 3 農業帽子,2,recipe-icon-110,110,3,"217,2;209,2",Lv 3 農,"100,1,1,5744;100,2,1,3829;246,5,1,212;251,5,1,212",1,0,50700110,1,10,-,1,0,4,0,0
1,製作 Lv 1 採集帽子,2,recipe-icon-111,111,1,"216,2",Lv 1 採集帽子,"116,1,1,9310;241,5,1,344;262,5,1,344",1,0,50900111,1,10,-,3,0,4,0,0
2,製作 Lv 2 採集帽子,2,recipe-icon-112,112,2,"210,1;213,1;217,2",Lv 2 採集帽子,"117,1,1,5744;117,2,1,3829;267,5,1,212;272,5,1,212",1,0,50800112,1,10,-,3,0,4,0,0
3,製作 Lv 3 採集帽子,2,recipe-icon-113,113,3,"211,1;214,1;218,2",Lv 3 採集帽子,"118,1,1,5744;118,2,1,3829;246,5,1,212;251,5,1,212",1,0,50700113,1,10,-,3,0,4,0,0
1,製作 Lv 1 竹子種子,2,recipe-icon-123,123,1,"70,1",Lv 1 竹子種子,"146,1,1,8350;150,1,1,1649",3,0,50900123,1,10,-,1,0,4,0,0
1,製作 Lv 1 三葉草種子,2,recipe-icon-124,124,1,"71,1",Lv 1 三葉草種子,"147,1,1,8350;149,1,1,1649",3,0,50900124,1,10,-,1,0,4,0,0
1,製作 Lv 1 胡蘿蔔種子,2,recipe-icon-125,125,1,"72,1",Lv 1 胡蘿蔔種子,"148,1,1,8350;151,1,1,1649",3,0,50900125,1,10,-,1,0,4,0,0
2,製作 Lv 2 豬籠草種子,2,recipe-icon-126,126,2,"73,1",Lv 2 豬籠草種子,"149,1,1,8350;154,1,1,1649",3,0,50800126,1,10,-,1,0,4,0,0
2,製作 Lv 2 棉花種子,2,recipe-icon-127,127,2,"74,1",Lv 2 棉花種子,"150,1,1,8350;152,1,1,1649",3,0,50800127,1,10,-,1,0,4,0,0
2,製作 Lv 2 仙人掌種子,2,recipe-icon-128,128,2,"75,1",Lv 2 仙人掌種子,"151,1,1,8350;153,1,1,1649",3,0,50800128,1,10,-,1,0,4,0,0
3,製作 Lv 3 火爆辣椒種子,2,recipe-icon-129,129,3,"76,1",Lv 3 火爆辣椒種子,"152,1,1,8350;413,1,1,1649",3,0,50700129,1,10,-,1,0,4,0,0
3,製作 Lv 3 堅硬果實種子,2,recipe-icon-130,130,3,"77,1",Lv 3 堅硬果實種子,"153,1,1,8350;414,1,1,1649",3,0,50700130,1,10,-,1,0,4,0,0
3,製作 Lv 3 藍幻菇種子,2,recipe-icon-131,131,3,"78,1",Lv 3 藍幻菇種子,"154,1,1,8350;415,1,1,1649",3,0,50700131,1,10,-,1,0,4,0,0
3,製作 Lv 2 晶化治療藥水,2,recipe-icon-132,132,3,"68,2;78,2;38,2",Lv 2 晶化治療藥水,"191,1,1,5031;192,1,1,993;194,1,1,993;195,1,1,993;196,1,1,993;197,1,1,993",3,0,50700132,1,10,-,3,0,4,0,0
1,製作 Lv 1 碎晶頭環,2,recipe-icon-133,133,1,"210,1;213,1",Lv 1 碎晶頭環配方,"43,1,1,9310;241,5,1,344;262,5,1,344",1,0,50900133,1,10,-,2,0,4,0,0
2,製作 Lv 2 晶皮軟帽,2,recipe-icon-134,134,2,"207,2;211,1;214,1",Lv 2 晶皮軟帽配方,"44,1,1,5744;44,2,1,3829;267,5,1,212;272,5,1,212",1,0,50800134,1,10,-,2,0,4,0,0
3,製作 Lv 3 晶石頭盔,2,recipe-icon-135,135,3,"208,2;212,1;215,1",Lv 3 晶石頭盔配方,"45,1,1,5744;45,2,1,3829;246,5,1,212;251,5,1,212",1,0,50700135,1,10,-,2,0,4,0,0
1,製作 Lv 1 碎晶藤甲,2,recipe-icon-136,136,1,"210,1;213,1",Lv 1 碎晶藤甲配方,"46,1,1,9310;242,5,1,344;263,5,1,344",1,0,50900136,1,10,-,2,0,4,0,0
2,製作 Lv 2 晶皮上衣,2,recipe-icon-137,137,2,"207,2;211,1;214,1",Lv 2 晶皮上衣配方,"47,1,1,5744;47,2,1,3829;268,5,1,212;273,5,1,212",1,0,50800137,1,10,-,2,0,4,0,0
3,製作 Lv 3 晶石甲胄,2,recipe-icon-138,138,3,"208,2;212,1;215,1",Lv 3 晶石甲胄配方,"48,1,1,5744;48,2,1,3829;247,5,1,212;252,5,1,212",1,0,50700138,1,10,-,2,0,4,0,0
1,製作 Lv 1 碎晶草裙,2,recipe-icon-139,139,1,"210,1;213,1",Lv 1 碎晶草裙配方,"49,1,1,9310;265,5,1,344;244,5,1,344",1,0,50900139,1,10,-,2,0,4,0,0
2,製作 Lv 2 晶皮長褲,2,recipe-icon-140,140,2,"207,2;211,1;214,1",Lv 2 晶皮長褲配方,"50,1,1,5744;50,2,1,3829;270,5,1,212;275,5,1,212",1,0,50800140,1,10,-,2,0,4,0,0
3,製作 Lv 3 晶石腿甲,2,recipe-icon-141,141,3,"208,2;212,1;215,1",Lv 3 晶石腿甲配方,"51,1,1,5744;51,2,1,3829;249,5,1,212;254,5,1,212",1,0,50700141,1,10,-,2,0,4,0,0
1,製作 Lv 1 碎晶草鞋,2,recipe-icon-142,142,1,"210,1;213,1",Lv 1 碎晶草鞋配方,"55,1,1,9310;245,5,1,344;266,5,1,344",1,0,50900142,1,10,-,2,0,4,0,0
2,製作 Lv 2 晶皮長靴,2,recipe-icon-143,143,2,"207,2;211,1;214,1",Lv 2 晶皮長靴配方,"56,1,1,5744;56,2,1,3829;271,5,1,212;276,5,1,212",1,0,50800143,1,10,-,2,0,4,0,0
3,製作 Lv 3 晶石鞋,2,recipe-icon-144,144,3,"208,2;212,1;215,1",Lv 3 晶石鞋配方,"57,1,1,5744;57,2,1,3829;250,5,1,212;255,5,1,212",1,0,50700144,1,10,-,2,0,4,0,0
1,製作 Lv 1 碎晶手環,2,recipe-icon-145,145,1,"210,1;213,1",Lv 1 碎晶手環配方,"52,1,1,9310;243,5,1,344;264,5,1,344",1,0,50900145,1,10,-,2,0,4,0,0
2,製作 Lv 2 晶皮手套,2,recipe-icon-146,146,2,"207,2;211,1;214,1",Lv 2 晶皮手套配方,"53,1,1,5744;53,2,1,3829;274,5,1,212;269,5,1,212",1,0,50800146,1,10,-,2,0,4,0,0
3,製作 Lv 3 晶石護手,2,recipe-icon-147,147,3,"208,2;212,1;215,1",Lv 3 晶石護手配方,"54,1,1,5869;54,2,1,3913;253,5,1,217",1,0,50700147,1,10,-,2,0,4,0,0
1,製作 Lv 1 戰鬥精華,2,recipe-icon-149,149,1,"30,5;31,5;32,5",Lv1 戰鬥精華配方,"216,1,1,10000",4,0,20900149,1,10,-,2,0,4,0,0
2,製作 Lv 2 戰鬥精華,2,recipe-icon-150,150,2,"33,5;35,5;34,5;216,2",Lv2 戰鬥精華配方,"217,1,1,10000",4,0,20800150,1,10,-,2,0,4,0,0
3,製作 Lv 3 戰鬥精華,2,recipe-icon-151,151,3,"36,5;37,5;38,5;217,2",Lv3 戰鬥精華配方,"218,1,1,10000",4,0,20700151,1,10,-,2,0,4,0,100
1,製作 Lv 1 農業種植精華,2,recipe-icon-152,152,1,"70,5;71,5;72,5",Lv1 農業種植精華配方,"210,1,1,10000",4,0,20900152,1,10,-,1,0,4,0,0
2,製作 Lv 2 農業種植精華,2,recipe-icon-153,153,2,"74,5;73,5;75,5;210,2",Lv2 農業種植精華配方,"211,1,1,10000",4,0,20800153,1,10,-,1,0,4,0,0
3,製作 Lv 3 農業種植精華,2,recipe-icon-154,154,3,"76,5;77,5;78,5;211,2",Lv3 農業種植精華配方,"212,1,1,10000",4,0,20700154,1,10,-,1,0,4,0,100
1,製作 Lv 1 農業畜牧精華,2,recipe-icon-155,155,1,"178,5;179,5;177,5",Lv1 農業畜牧精華配方,"213,1,1,10000",4,0,20900155,1,10,-,1,0,4,0,0
2,製作 Lv 2 農業畜牧精華,2,recipe-icon-156,156,2,"182,5;180,5;181,5;213,2",Lv2 農業畜牧精華配方,"214,1,1,10000",4,0,20800156,1,10,-,1,0,4,0,0
3,製作 Lv 3 農業畜牧精華,2,recipe-icon-157,157,3,"184,5;185,5;183,5;214,2",Lv3 農業畜牧精華配方,"215,1,1,10000",4,0,20700157,1,10,-,1,0,4,0,100
1,製作 Lv 1 採集精華,2,recipe-icon-158,158,1,"62,5;58,5;66,5",Lv1 採集精華配方,"207,1,1,10000",4,0,20900158,1,10,-,3,0,4,0,0
2,製作 Lv 2 採集精華,2,recipe-icon-159,159,2,"63,5;67,5;59,5;207,2",Lv2 採集精華配方,"208,1,1,10000",4,0,20800159,1,10,-,3,0,4,0,0
3,製作 Lv 3 採集精華,2,recipe-icon-160,160,3,"64,5;60,5;68,5;208,2",Lv3 採集精華配方,"209,1,1,10000",4,0,20700160,1,10,-,3,0,4,0,100
1,製作 Lv 1 農業上衣,2,recipe-icon-165,165,1,"207,2",Lv 1 農業上衣,"101,1,1,9310;242,5,1,344;263,5,1,344",1,0,50900165,1,10,-,1,0,4,0,0
1,製作 Lv 1 農業褲子,2,recipe-icon-166,166,1,"207,2",Lv 1 農業褲子,"104,1,1,9310;265,5,1,344;244,5,1,344",1,0,50900166,1,10,-,1,0,4,0,0
1,製作 Lv 1 農業手套,2,recipe-icon-167,167,1,"207,2",Lv 1 農業手套,"107,1,1,9310;243,5,1,344;264,5,1,344",1,0,50900167,1,10,-,1,0,4,0,0
1,製作 Lv 1 農業鞋子,2,recipe-icon-168,168,1,"207,2",Lv 1 農業鞋子,"110,1,1,9310;245,5,1,344;266,5,1,344",1,0,50900168,1,10,-,1,0,4,0,0
2,製作 Lv 2 農業上衣,2,recipe-icon-169,169,2,"216,2;208,2",Lv 2 農業上衣,"102,1,1,5744;102,2,1,3829;268,5,1,212;273,5,1,212",1,0,50800169,1,10,-,1,0,4,0,0
2,製作 Lv 2 農業褲子,2,recipe-icon-170,170,2,"216,2;208,2",Lv 2 農業褲子,"105,1,1,5744;105,2,1,3829;270,5,1,212;275,5,1,212",1,0,50800170,1,10,-,1,0,4,0,0
2,製作 Lv 2 農業手套,2,recipe-icon-171,171,2,"216,2;208,2",Lv 2 農業手套,"108,1,1,5744;108,2,1,3829;274,5,1,212;269,5,1,212",1,0,50800171,1,10,-,1,0,4,0,0
2,製作 Lv 2 農業鞋子,2,recipe-icon-172,172,2,"216,2;208,2",Lv 2 農業鞋子,"111,1,1,5744;111,2,1,3829;271,5,1,212;276,5,1,212",1,0,50800172,1,10,-,1,0,4,0,0
3,製作 Lv 3 農業上衣,2,recipe-icon-173,173,3,"217,2;209,2",Lv 3 農業上衣,"103,1,1,5744;103,2,1,3829;247,5,1,212;252,5,1,212",1,0,50700173,1,10,-,1,0,4,0,0
3,製作 Lv 3 農業褲子,2,recipe-icon-174,174,3,"217,2;209,2",Lv 3 農業褲子,"106,1,1,5744;106,2,1,3829;249,5,1,212;254,5,1,212",1,0,50700174,1,10,-,1,0,4,0,0
3,製作 Lv 3 農業手套,2,recipe-icon-175,175,3,"217,2;209,2",Lv 3 農業手套,"109,2,1,3913;109,1,1,5869;253,5,1,217",1,0,50700175,1,10,-,1,0,4,0,0
3,製作 Lv 3 農業鞋子,2,recipe-icon-176,176,3,"217,2;209,2",Lv 3 農業鞋子,"112,1,1,5744;112,2,1,3829;250,5,1,212;255,5,1,212",1,0,50700176,1,10,-,1,0,4,0,0
1,製作 Lv 1 採集鞋子,2,recipe-icon-177,177,1,"216,2",Lv 1 採集鞋子,"113,1,1,9310;245,5,1,344;266,5,1,344",1,0,50900177,1,10,-,3,0,4,0,0
1,製作 Lv 1 採集上衣,2,recipe-icon-178,178,1,"216,2",Lv 1 採集上衣,"119,1,1,9310;242,5,1,344;263,5,1,344",1,0,50900178,1,10,-,3,0,4,0,0
1,製作 Lv 1 採集褲子,2,recipe-icon-179,179,1,"216,2",Lv 1 採集褲子,"122,1,1,9310;265,5,1,344;244,5,1,344",1,0,50900179,1,10,-,3,0,4,0,0
1,製作 Lv 1 採集手套,2,recipe-icon-180,180,1,"216,2",Lv 1 採集手套,"125,1,1,9310;243,5,1,344;264,5,1,344",1,0,50900180,1,10,-,3,0,4,0,0
2,製作 Lv 2 採集鞋子,2,recipe-icon-181,181,2,"210,1;213,1;217,2",Lv 2 採集鞋子,"114,1,1,5744;114,2,1,3829;271,5,1,212;276,5,1,212",1,0,50800181,1,10,-,3,0,4,0,0
2,製作 Lv 2 採集上衣,2,recipe-icon-182,182,2,"210,1;213,1;217,2",Lv 2 採集上衣,"120,1,1,5744;120,2,1,3829;268,5,1,212;273,5,1,212",1,0,50800182,1,10,-,3,0,4,0,0
2,製作 Lv 2 採集褲子,2,recipe-icon-183,183,2,"210,1;213,1;217,2",Lv 2 採集褲子,"123,1,1,5744;123,2,1,3829;270,5,1,212;275,5,1,212",1,0,50800183,1,10,-,3,0,4,0,0
2,製作 Lv 2 採集手套,2,recipe-icon-184,184,2,"210,1;213,1;217,2",Lv 2 採集手套,"126,1,1,5744;126,2,1,3829;274,5,1,212;269,5,1,212",1,0,50800184,1,10,-,3,0,4,0,0
3,製作 Lv 3 採集鞋子,2,recipe-icon-185,185,3,"211,1;214,1;218,2",Lv 3 採集鞋子,"115,1,1,5744;115,2,1,3829;250,5,1,212;255,5,1,212",1,0,50700185,1,10,-,3,0,4,0,0
3,製作 Lv 3 採集上衣,2,recipe-icon-186,186,3,"211,1;214,1;218,2",Lv 3 採集上衣,"121,1,1,5744;121,2,1,3829;247,5,1,212;252,5,1,212",1,0,50700186,1,10,-,3,0,4,0,0
3,製作 Lv 3 採集褲子,2,recipe-icon-187,187,3,"211,1;214,1;218,2",Lv 3 採集褲子,"124,1,1,5744;124,2,1,3829;249,5,1,212;254,5,1,212",1,0,50700187,1,10,-,3,0,4,0,0
3,製作 Lv 3 採集手套,2,recipe-icon-188,188,3,"211,1;214,1;218,2",Lv 3 採集手套,"127,1,1,5869;127,2,1,3913;253,5,1,217",1,0,50700188,1,10,-,3,0,4,0,0
0,製作 Lv 0 木劍,2,recipe-icon-189,189,0,"842,2",Lv 0 木劍配方,"39,1,1,10000",1,0,11000189,1,6,-,2,1,1,0,0
0,製作 Lv 0 木質鋤頭,2,recipe-icon-190,190,0,"844,1;845,1",Lv 0 木質鋤頭配方,"79,1,1,10000",1,0,11000190,1,6,-,1,1,1,0,0
0,製作 Lv 0 刷子,2,recipe-icon-191,191,0,"844,1;845,1",Lv 0 刷子配方,"95,1,1,10000",1,0,11000191,1,6,-,1,1,1,0,0
0,製作 Lv 0 剪毛器,2,recipe-icon-192,192,0,"844,1;845,1",Lv 0 剪毛器配方,"96,1,1,10000",1,0,11000192,1,6,-,1,1,1,0,0
0,製作 Lv 0 擠奶器,2,recipe-icon-193,193,0,"844,1;845,1",Lv 0 擠奶器配方,"97,1,1,10000",1,0,11000193,1,6,-,1,1,1,0,0
0,製作 Lv 0 木質水壺,2,recipe-icon-194,194,0,"844,1;845,1",Lv 0 木質水壺配方,"83,1,1,10000",1,0,11000194,1,6,-,1,1,1,0,0
0,製作 Lv 0 木質斧頭,2,recipe-icon-195,195,0,"843,2",Lv 0 木質斧頭配方,"91,1,1,10000",1,0,11000195,1,6,-,3,1,1,0,0
0,製作 Lv 0 木質鎬子,2,recipe-icon-196,196,0,"843,2",Lv 0 木質鎬子配方,"87,1,1,10000",1,0,11000196,1,6,-,3,1,1,0,0
2,製作 Lv 0 中級加速肥料,2,recipe-icon-197,197,2,"69,2;35,2",Lv 0 中級加速肥料,"219,1,1,10000",3,0,40800197,1,10,-,1,0,4,0,0
2,製作 Lv 0 中級增產肥料,2,recipe-icon-198,198,2,"61,2;35,2",Lv 0 中級增產肥料,"220,1,1,10000",3,0,40800198,1,10,-,1,0,4,0,0
2,製作 Lv 0 中級濕潤肥料,2,recipe-icon-199,199,2,"65,2;35,2",Lv 0 中級濕潤肥料,"221,1,1,10000",3,0,40800199,1,10,-,1,0,4,0,0
1,製作 Lv 1 石頭鐮刀,2,recipe-icon-201,201,1,"216,2",Lv 1 石頭鐮刀配方,"226,1,1,10000",1,0,10900201,1,10,-,3,0,4,0,0
2,製作 Lv 2 銅質鐮刀,2,recipe-icon-203,203,2,"217,2;210,1;213,1",Lv 2 銅質鐮刀配方,"227,1,1,10000",1,0,10800203,1,10,-,3,0,4,0,0
3,製作 Lv 3 鐵質鐮刀,2,recipe-icon-204,204,3,"211,1;214,1;218,2",Lv 3 鐵質鐮刀配方,"228,1,1,10000",1,0,10700204,1,10,-,3,0,4,0,0
1,製作 Lv 0 小飼料,2,recipe-icon-205,205,1,"482,1",Lv 0 小飼料,"28,1,1,10000",3,0,40900205,1,10,-,1,0,4,0,0
2,製作 Lv 0 大飼料,2,recipe-icon-206,206,2,"483,1",Lv 0 大飼料,"29,1,1,10000",3,0,40800206,1,10,-,1,0,4,0,0
0,製作 Lv 0 木質弓箭,2,recipe-icon-207,207,0,"842,2",Lv 0 木質弓箭,"223,1,1,10000",1,0,11000207,1,6,-,2,1,1,0,0
0,製作 Lv 0 石錘,2,recipe-icon-208,208,0,"842,2",Lv 0 石錘,"222,1,1,10000",1,0,11000208,1,6,-,2,1,1,0,0
0,製作爆炸藥水,2,recipe-icon-212,212,0,"62,3",爆炸藥水配方,"232,1,1,10000",3,0,41000212,1,10,-,3,0,4,0,0
0,製作眩暈藥水,2,recipe-icon-213,213,0,"58,3",眩暈藥水配方,"233,1,1,10000",3,0,41000213,1,10,-,3,0,4,0,0
0,製作減速藥水,2,recipe-icon-214,214,0,"66,3",減速藥水配方,"234,1,1,10000",3,0,41000214,1,10,-,3,0,4,0,0
0,製作燃燒藥水,2,recipe-icon-215,215,0,"65,1;61,1;69,1",燃燒藥水配方,"235,1,3,10000",3,0,41000215,1,10,-,3,1,1,0,0
0,飛雷神藥水配方,2,recipe-icon-216,216,0,"32,3;70,3",飛雷神藥水配方,"236,1,1,10000",3,0,41000216,1,10,-,3,1,1,0,0
0,閃避藥水配方,2,recipe-icon-217,217,0,"31,3;71,3",閃避藥水配方,"237,1,1,10000",3,0,41000217,1,10,-,3,1,1,0,0
0,淨化藥水配方,2,recipe-icon-218,218,0,"30,3;72,3",淨化藥水配方,"238,1,1,10000",3,0,41000218,1,10,-,3,1,1,0,0
1,精力溶液Lv 1 配方,2,recipe-icon-267,267,1,"58,4;62,4;66,4",等级1采集能量史莱姆配方,"482,1,1,10000",4,0,20900267,1,6,-,3,0,4,0,0
2,精力溶液Lv 2 配方,2,recipe-icon-268,268,2,"482,1;63,4;59,4;67,4",等级2采集能量史莱姆配方,"483,1,1,10000",4,0,20800268,1,6,-,3,0,4,0,0
3,精力溶液Lv 3 配方,2,recipe-icon-269,269,3,"483,1;60,4;68,4;64,4",等级3采集能量史莱姆配方,"484,1,1,10000",4,0,20700269,1,6,-,3,0,4,0,0
4,黃金劍配方,2,recipe-icon-270,270,4,"209,2;407,1;410,1",黃金劍配方,"317,1,1,4736;317,2,1,3157;317,3,1,2105",1,0,50600270,1,60,-,2,0,4,0,5000
4,黃金戰士頭髮配方,2,recipe-icon-271,271,4,"209,2;407,1;410,1",黃金戰士頭髮配方,"335,1,1,4655;335,2,1,3103;335,3,1,2068;471,5,1,172",1,0,50600271,1,60,-,2,0,4,0,5000
4,黃金戰士上衣配方,2,recipe-icon-272,272,4,"209,2;407,1;410,1",黃金戰士上衣配方,"336,1,1,4655;336,2,1,3103;336,3,1,2068;472,5,1,172",1,0,50600272,1,60,-,2,0,4,0,5000
4,黃金戰士手套配方,2,recipe-icon-273,273,4,"209,2;407,1;410,1",黃金戰士手套配方,"337,1,1,4655;337,2,1,3103;337,3,1,2068;248,5,1,172",1,0,50600273,1,60,-,2,0,4,0,5000
4,黃金戰士褲子配方,2,recipe-icon-274,274,4,"209,2;407,1;410,1",黃金戰士褲子配方,"338,1,1,4655;338,2,1,3103;338,3,1,2068;474,5,1,172",1,0,50600274,1,60,-,2,0,4,0,5000
4,黃金戰士鞋子配方,2,recipe-icon-275,275,4,"209,2;407,1;410,1",黃金戰士鞋子配方,"339,1,1,4655;339,2,1,3103;339,3,1,2068;475,5,1,172",1,0,50600275,1,60,-,2,0,4,0,5000
4,黃金鐮刀配方,2,recipe-icon-276,276,4,"401,2;212,1;215,1",黃金鐮刀配方,"303,1,1,4736;303,2,1,3157;303,3,1,2105",1,0,50600276,1,60,-,3,0,4,0,5000
4,黃金斧頭配方,2,recipe-icon-277,277,4,"212,1;215,1;401,2",黃金斧頭配方,"300,1,1,4736;300,2,1,3157;300,3,1,2105",1,0,50600277,1,60,-,3,0,4,0,5000
4,黃金鎬子配方,2,recipe-icon-278,278,4,"212,1;215,1;401,2",黃金鎬子配方,"301,1,1,4736;301,2,1,3157;301,3,1,2105",1,0,50600278,1,60,-,3,0,4,0,5000
4,黃金採集頭髮配方,2,recipe-icon-279,279,4,"212,1;215,1;401,2",黃金採集頭髮配方,"320,1,1,4655;320,2,1,3103;320,3,1,2068;471,5,1,172",1,0,50600279,1,60,-,3,0,4,0,5000
4,黃金採集上衣配方,2,recipe-icon-280,280,4,"212,1;215,1;401,2",黃金採集上衣配方,"321,1,1,4655;321,2,1,3103;321,3,1,2068;472,5,1,172",1,0,50600280,1,60,-,3,0,4,0,5000
4,黃金採集手套配方,2,recipe-icon-281,281,4,"212,1;215,1;401,2",黃金採集手套配方,"322,1,1,4655;322,2,1,3103;322,3,1,2068;248,5,1,172",1,0,50600281,1,60,-,3,0,4,0,5000
4,黃金鋤頭配方,2,recipe-icon-282,282,4,"218,2;404,2",黃金鋤頭配方,"299,1,1,4736;299,2,1,3157;299,3,1,2105",1,0,50600282,1,60,-,1,0,4,0,5000
4,黃金農場主頭髮配方,2,recipe-icon-284,284,4,"218,2;404,2",黃金農場主頭髮配方,"350,1,1,4655;350,2,1,3103;350,3,1,2068;471,5,1,172",1,0,50600284,1,60,-,1,0,4,0,5000
4,黃金農場主上衣配方,2,recipe-icon-285,285,4,"218,2;404,2",黃金農場主上衣配方,"351,1,1,4655;351,2,1,3103;351,3,1,2068;472,5,1,172",1,0,50600285,1,60,-,1,0,4,0,5000
