canInvest-bool,extraDropPool-int,id-int,isRanking-bool,level-int[],loadingBg-string,refreshRatio-int[],respawnTimes-int,rewardFrequency-int,sceneName-string,sceneSubtype-int,sceneType-int,talentType-int,worldDropProbability-int,functionModule-int[],baseScore-int[],bossCovers-int[],challengeMode-int[],chapterBaseReward-int[],chapterEvents-int[][],chapterLuckyReward-int[],chapterProgress-int[],chapterPunish-int[][],chapterTimeLimit-int[],chapters-string[],desc-string,dropRewardShow-int[],name-string,punishDesc-string,randomSeeds-string[][],releaseTime-int[][],tickets-int[][],campLimit-int[],seedMaxLimit-int[]
1,0,22002,0,"5,7",PVPDungeonSceneLoading_4_6.jpg,,1,5,PVPDungeonSceneSoloLv4-6,2,3,2,10000,"1,2","0,10000","37,39,38",1,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging","## Ganjaran
- **Mengalahkan Raksasa atau Mengumpul**: Pemain akan menerima ganjaran **Token** yang dilaburkan oleh totem.
- **Menghapuskan Pemain Lain**: Pemain boleh menuntut ganjaran **LUASUD** yang belum diselesaikan daripada musuh yang dikalahkan.
- **Mengalahkan Bos**: Pemain boleh mendapatkan **bahan-bahan istimewa yang misteri** yang penting untuk kemajuan permainan.
## Gambaran Peraturan
- **Struktur Tahap**: Dungeon terdiri daripada **3 tahap yang kacau**, setiap satu menawarkan cabaran tersendiri.
- **Kawasan Selamat**: Terdapat **kawasan selamat** dalam tahap-tahap tersebut, yang akan **mengecil dari masa ke semasa**, memaksa pemain berhadapan.
- **Tiga Jenis Pintu**:
  - **Pintu Cabaran**: Untuk yang berani, pintu ini membawa ke tahap petualangan seterusnya.
  - **Pintu Larian**: Keluar dari dungeon dan menyerah apa-apa ganjaran **Token** yang belum diselesaikan.
  - **Pintu Penyelesaian**: Menyelesaikan dan mengumpul ganjaran **Token** pada nisbah tertentu.
",173,Arena Solo Pertengahan," Apabila anda mati, terdapat peluang untuk menjatuhkan item dalam beg anda.
",0;0,"0,0","660,1","3,24",
1,0,22003,0,"8,9",PVPDungeonSceneLoading_4_6.jpg,,1,5,PVPDungeonSceneSoloLv7-9,2,3,2,10000,"1,2","0,10000","61,71,66",1,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging","## Ganjaran
- **Mengalahkan Raksasa atau Mengumpul**: Pemain akan menerima ganjaran **Token** yang dilaburkan oleh totem.
- **Menghapuskan Pemain Lain**: Pemain boleh menuntut ganjaran **LUASUD** yang belum diselesaikan daripada musuh yang dikalahkan.
- **Mengalahkan Bos**: Pemain boleh mendapatkan **bahan-bahan istimewa yang misteri** yang penting untuk kemajuan permainan.
## Gambaran Peraturan
- **Struktur Tahap**: Dungeon terdiri daripada **3 tahap yang kacau**, setiap satu menawarkan cabaran tersendiri.
- **Kawasan Selamat**: Terdapat **kawasan selamat** dalam tahap-tahap tersebut, yang akan **mengecil dari masa ke semasa**, memaksa pemain berhadapan.
- **Tiga Jenis Pintu**:
  - **Pintu Cabaran**: Untuk yang berani, pintu ini membawa ke tahap petualangan seterusnya.
  - **Pintu Larian**: Keluar dari dungeon dan menyerah apa-apa ganjaran **Token** yang belum diselesaikan.
  - **Pintu Penyelesaian**: Menyelesaikan dan mengumpul ganjaran **Token** pada nisbah tertentu.",174,Arena Solo Lanjutan," Apabila anda mati, terdapat peluang untuk menjatuhkan item dalam beg anda.",0;0,"0,0","661,1","3,24",
0,0,30001,0,"1,9",DungeonSceneLoading_1_3.jpg,,0,1,DailyDungeon,1,3,2,10000,1,"10000,20000,30000,40000,50000,60000,70000,80000,90000","6,7,8",1,"102,103,104,105,106,107,108,109,110",;;;;;;;;,"120,121,122,123,124,125,126,127,128","6,12,24,48,96,192,384,768,1536","0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0","75,60,60,60,60,60,60,60,60","Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8,Level 9", Cabaran Harian,, Cabaran Harian,"Tiada Hukuman Mati
",0;0;0;0;0;0;0;0;0,"0,1440","733,1",,
0,0,30002,0,"1,9",PVPDungeonSceneLoading_4_6.jpg,,1,1,PVPTrainingDungeon,2,3,2,10000,"1,2","0,10000","55,0,54",1,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging","Tapak Latihan PVEP - Sokongan untuk pertempuran 12-24 pemain, kematian tidak akan memberikan sebarang rampasan, tiket dari misi harian.",,Tapak Latihan,"Tiada Hukuman Mati
",0;0,"0,0","733,1","12,24",
0,160,40001,1,"1,4",HomeSceneLoading.jpg,,0,5,GatherDungeon1-3,1,3,3,10000,1,"10000,20000,30000","123,122,121",2,"159,160,161","22,18,19;18,19;18,19","178,179,180","28,56,112","0,0;0,0;0,0","300,300,300","Gather Challenge Chapter 1/3,Gather Challenge Chapter 2/3,Gather Challenge Chapter 3/3"," Peserta yang berjaya menyelesaikan cabaran akan berpeluang menerima ganjaran medal.
Dalam Cabaran Pengumpulan, pertahanan Sumber akan ditingkatkan. Sebagai balasannya, pemain akan menerima buff yang menukar kemahiran pengumpulan menjadi serangan pengumpulan.
",185, Cabaran Kumpul Junior,"Tiada Hukuman Mati
",0;0;0,"0,1440","775,1",,
0,40,40002,1,"4,7",HomeSceneLoading.jpg,,0,5,GatherDungeon4-6,1,3,3,10000,1,"10000,20000,30000","123,122,121",2,"162,163,164","22,18,19;18,19;18,19","181,182,183","224,448,896","0,0;0,0;0,0","300,300,300","Gather Challenge Chapter 1/3,Gather Challenge Chapter 2/3,Gather Challenge Chapter 3/3"," Peserta yang berjaya menyelesaikan cabaran akan berpeluang menerima ganjaran medal.
Dalam Cabaran Pengumpulan, pertahanan Sumber akan ditingkatkan. Sebagai balasannya, pemain akan menerima buff yang menukar kemahiran pengumpulan menjadi serangan pengumpulan.
",186, Cabaran Kumpul Pertengahan,"Tiada Hukuman Mati
",0;0;0,"0,1440","776,1",,
0,10,40003,1,"7,9",HomeSceneLoading.jpg,,0,5,GatherDungeon7-9,1,3,3,10000,1,"10000,20000,30000","123,122,121",2,"165,166,167","22,18,19;18,19;18,19","184,185,186","1792,3584,7168","0,0;0,0;0,0","300,300,300","Gather Challenge Chapter 1/3,Gather Challenge Chapter 2/3,Gather Challenge Chapter 3/3"," Peserta yang berjaya menyelesaikan cabaran akan berpeluang menerima ganjaran medal.
Dalam Cabaran Pengumpulan, pertahanan Sumber akan ditingkatkan. Sebagai balasannya, pemain akan menerima buff yang menukar kemahiran pengumpulan menjadi serangan pengumpulan.
",187, Cabaran Kumpul Lanjutan,"Tiada Hukuman Mati
",0;0;0,"0,1440","777,1",,
0,160,50001,1,"1,4",HomeSceneLoading.jpg,,0,5,FarmingDungeon1-3,1,3,1,10000,"1,3","10000,20000,30000","123,122,121",1,"168,169,170",21;21;21,"187,188,189","10,20,40","0,0;0,0;0,0","90,180,320","Farm Challenge Chapter 1/3,Farm Challenge Chapter 2/3,Farm Challenge Chapter 3/3"," Peserta yang berjaya menyelesaikan cabaran akan berpeluang menerima ganjaran medal.
",185, Cabaran Pertanian Junior,"Tiada Hukuman Mati
","146#1000,147#1000,148#1000,824#1000;149#1000,150#1000,151#1000,825#1000;152#1000,153#1000,154#1000,826#1000","0,1440","778,1",,"5,5,5"
0,40,50002,1,"4,7",HomeSceneLoading.jpg,,0,5,FarmingDungeon4-6,1,3,1,10000,"1,3","10000,20000,30000","123,122,121",1,"171,172,173",21;21;21,"190,191,192","80,160,320","0,0;0,0;0,0","480,520,680","Farm Challenge Chapter 1/3,Farm Challenge Chapter 2/3,Farm Challenge Chapter 3/3"," Peserta yang berjaya menyelesaikan cabaran akan berpeluang menerima ganjaran medal.
",186, Cabaran Pertanian Pertengahan,"Tiada Hukuman Mati
","413#1000,414#1000,415#1000,827#1000;416#1000,417#1000,418#1000,828#1000;419#1000,420#1000,421#1000,829#1000","0,1440","779,1",,"5,5,5"
0,10,50003,1,"7,9",HomeSceneLoading.jpg,,0,5,FarmingDungeon7-9,1,3,1,10000,"1,3","10000,20000,30000","123,122,121",1,"174,175,176",21;21;21,"193,194,195","640,1280,2560","0,0;0,0;0,0","720,950,1000","Farm Challenge Chapter 1/3,Farm Challenge Chapter 2/3,Farm Challenge Chapter 3/3", Peserta yang berjaya menyelesaikan cabaran akan berpeluang menerima ganjaran medal.,187, Cabaran Pertanian Lanjutan,Tiada Hukuman Mati,"614#1000,615#1000,616#1000,830#1000;617#1000,618#1000,619#1000,831#1000;620#1000,621#1000,622#1000,832#1000","0,1440","780,1",,"5,5,5"
