belongtoLv-int,bodyCapacity-int,captureHp-int,captureSkillCastPool-int[][],combatDist-int,combatPotentiality-int[],desc-string,exp-int,farmPotentiality-int[],favoriteItem-int[],gatherPotentiality-int[],icon-string,id-int,initialAttribute-int[][],lockEnemyRange-int,name-string,pushDist-int,pushDmg-int,roleAssetID-int,skillCastPool-int[][],tokenTaskLevel-int[],totemScore-int,dropId-int
999,150,600010,"169,100",0,"575,587",,848,"575,587",,"575,587",monster-icon-39,39,"13,155,1;15,155,1;11,30960,1;19,5,0;20,50,0;14,1,0;16,125,0;17,125,0;7,500,0;12,10,0",1000, Tuan Jiwa,10,1000,71,"412,100;413,100;414,100;424,100;513,100",999,60,
999,150,400010,"169,100",0,"552,575",,424,"552,575",,"552,575",monster-icon-40,40,"13,151,1;15,151,1;11,30100,1;19,5,0;20,50,0;14,1,0;16,115,0;17,115,0;7,500,0;12,10,0",1000,Jiwa - Tuan Hutan,10,1000,72,"408,100;422,25;513,100",999,40,83
999,150,500010,"169,100",0,"565,582",,600,"565,582",,"565,582",monster-icon-41,41,"13,153,1;15,153,1;11,30680,1;19,5,0;20,50,0;14,1,0;16,120,0;17,120,0;7,500,0;12,10,0",1000,Jiwa - Tuan Arktik,10,1000,73,"410,100;423,25;513,100",999,50,
999,150,70,"169,100",0,"575,587",,15,"575,587",,"575,587",monster-icon-42,42,"13,155,1;15,155,1;11,3096,1;19,5,0;20,50,0;14,1,0;16,125,0;17,125,0;7,500,0;12,10,0",1000,Jiwa Warrior,10,1000,74,"425,100",999,6,
999,150,70,"169,100",0,"575,587",,15,"575,587",,"575,587",monster-icon-43,43,"13,147,1;15,162,1;11,3250,1;19,5,0;20,50,0;14,1,0;16,125,0;17,125,0;7,500,0;12,10,0",1000,Jiwa Tank,10,1000,75,"426,100",999,6,
999,150,70,"169,100",0,"575,587",,15,"575,587",,"575,587",monster-icon-44,44,"13,155,1;15,139,1;11,2786,1;19,5,0;20,50,0;14,1,0;16,125,0;17,125,0;7,500,0;12,10,0",1000,Jiwa Jarak Jauh,10,1000,76,"424,100",999,6,
999,30,20,"169,100",0,"500,537",,14,"500,537",6961,"500,537",monster-icon-45,45,"13,100,1;15,100,1;11,2000,1;19,5,0;20,50,0;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",1000,Anjing Logam,30,20,77,"179,100;359,100;31,100",999,1,146
999,30,20,"169,100",0,"500,537",,15,"500,537",6961,"500,537",monster-icon-46,46,"13,100,1;15,90,1;11,1800,1;19,5,0;20,50,0;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",1000,Syaitan Labu,30,20,78,"32,100;180,100;40,100;361,100",999,1,147
999,30,20,"169,100",0,"500,537",,14,"500,537",6961,"500,537",monster-icon-47,47,"13,95,1;15,105,1;11,2100,1;19,5,0;20,50,0;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",1000,Pahlawan Kaktus,30,30,79,"33,100;181,100;360,100",999,1,145
999,30,30,"169,100",0,"520,552",,20,"520,552",6961,"520,552",monster-icon-48,48,"13,125,1;15,138,1;11,2762,1;19,5,0;20,50,0;14,1,0;16,105,0;17,105,0;7,500,0;12,10,0",1000,Kucing Tambang,30,20,80,"112,100;184,100;363,100",999,2,150
999,30,30,"169,100",0,"520,552",,22,"520,552",6961,"520,552",monster-icon-49,49,"13,132,1;15,132,1;11,2632,1;19,5,0;20,50,0;14,1,0;16,105,0;17,105,0;7,500,0;12,10,0",1000,Pengintip Berdaun,30,20,81,"111,100;183,100;364,100",999,2,149
999,30,30,"169,100",0,"520,552",,21,"520,552",6961,"520,552",monster-icon-50,50,"13,132,1;15,118,1;11,2368,1;19,5,0;20,50,0;14,1,0;16,105,0;17,105,0;7,500,0;12,10,0",1000,Kawan Berdengung,30,20,82,"96,100;182,100;346,100;362,100",999,2,148
999,30,40,"169,100",0,"537,565",,31,"537,565",6961,"537,565",monster-icon-51,51,"13,145,1;15,130,1;11,2602,1;19,5,0;20,50,0;14,1,0;16,110,0;17,110,0;7,500,0;12,10,0",1000,Hantu Kekacauan,20,20,83,"206,100;207,100;366,100",999,3,151
999,30,40,"169,100",0,"537,565",,28,"537,565",6961,"537,565",monster-icon-52,52,"13,145,1;15,145,1;11,2892,1;19,5,0;20,50,0;14,1,0;16,110,0;17,110,0;7,500,0;12,10,0",1000,Pemangsa Merah,20,20,84,"208,100;209,100;365,100",999,3,152
999,30,40,"169,100",0,"537,565",,30,"537,565",6961,"537,565",monster-icon-53,53,"13,137,1;15,152,1;11,3036,1;19,5,0;20,50,0;14,1,0;16,110,0;17,110,0;7,500,0;12,10,0",1000,Tangan Beku,10,20,85,"210,100;211,100;367,100",999,3,153
999,50,200010,"169,100",0,"520,552",,212,"520,552",,"520,552",monster-icon-54,54,"13,132,1;15,132,1;11,26320,1;19,5,0;20,50,0;14,1,0;16,105,0;17,105,0;7,500,0;12,10,0",2000,Cyber Raze,10,200,86,"369,100;370,100;371,100;513,100",999,20,
999,100,300010,"169,100",0,"537,565",,300,"537,565",,"537,565",monster-icon-55,55,"13,145,1;15,145,1;11,28920,1;19,5,0;20,50,0;14,1,0;16,110,0;17,110,0;7,500,0;12,10,0",2000,Tuan Beku,10,500,87,"372,100;373,100;374,100;513,100",999,30,
999,30,1010,"169,100",0,"1,1",,15,"1,1",,"1,1",monster-icon-56,56,"13,100,1;15,1000,1;11,2,1;19,5,0;20,50,0;14,1,0;16,100,0;17,100,0;7,0,0;12,10,0",3000,Perangkap_Buff,0,1,88,"427,100",999,1,
999,30,80,"169,100",0,"582,590",,126,"582,590",,"582,590",monster-icon-57,57,"13,156,1;15,156,1;11,3114,1;19,5,0;20,50,0;14,1,0;16,130,0;17,130,0;7,480,0;12,10,0",2000,Penjaga Batu Api ,10,500,89,"452,100;467,100",999,7,164
999,30,80,"169,100",0,"582,590",,114,"582,590",,"582,590",monster-icon-58,58,"13,156,1;15,140,1;11,2802,1;19,5,0;20,50,0;14,1,0;16,130,0;17,130,0;7,480,0;12,10,0",2000,Penguasa Kecil Yang Menakjubkan ,10,500,90,"446,100;475,100",999,7,163
999,30,80,"169,100",0,"582,590",,120,"582,590",,"582,590",monster-icon-59,59,"13,148,1;15,163,1;11,3268,1;19,5,0;20,50,0;14,1,0;16,130,0;17,130,0;7,480,0;12,10,0",2000,Penjaga Batu Raksasa ,10,500,91,"441,100;468,100",999,7,165
999,50,700010,,0,"582,590",,1200,"582,590",,"582,590",monster-icon-60,60,"13,156,1;15,156,1;11,15570,1;19,5,0;20,50,0;14,1,0;16,130,0;17,130,0;7,480,0;12,10,0",2000,Dewa Perang Api ,10,500,98,"453,100;469,100;513,100",999,35,
999,100,700010,,0,"582,590",,1200,"582,590",,"582,590",monster-icon-61,61,"13,156,1;15,156,1;11,31140,1;19,5,0;20,50,0;14,1,0;16,130,0;17,130,0;7,480,0;12,10,0",2000,Tuhan Iblis Perdition ,10,500,99,"443,100;456,100;444,100;479,100;513,100",999,70,
999,30,90,"169,100",0,"587,590",,178,"587,590",,"587,590",monster-icon-62,62,"13,156,1;15,156,1;11,3130,1;19,5,0;20,50,0;14,1,0;16,135,0;17,135,0;7,150,0;12,10,0",2000,Penjaga Elang yang Bijak,10,500,92,"478,100;462,100",999,8,167
999,30,90,"169,100",0,"587,590",,161,"587,590",,"587,590",monster-icon-63,63,"13,156,1;15,140,1;11,2816,1;19,5,0;20,50,0;14,1,0;16,135,0;17,135,0;7,150,0;12,10,0",2000,Naga Muda Bercahaya,10,500,93,"435,100;474,100",999,8,166
999,30,90,"169,100",0,"587,590",,169,"587,590",,"587,590",monster-icon-64,64,"13,148,1;15,163,1;11,3286,1;19,5,0;20,50,0;14,1,0;16,135,0;17,135,0;7,150,0;12,10,0",2000,Binatang Batu Berjalur Kuning,10,500,94,"466,100;463,100",999,8,168
999,50,800010,,0,"587,590",,1697,"587,590",,"587,590",monster-icon-65,65,"13,156,1;15,156,1;11,15650,1;19,5,0;20,50,0;14,1,0;16,135,0;17,135,0;7,150,0;12,10,0",2000,Ahli Sihir Hutan yang Gelap,10,500,100,"438,100;447,100;477,100;513,100",999,40,
999,100,800010,,0,"587,590",,1697,"587,590",,"587,590",monster-icon-66,66,"13,156,1;15,156,1;11,31300,1;19,5,0;20,50,0;14,1,0;16,135,0;17,135,0;7,150,0;12,10,0",2000,Penguasa yang Melayang,10,500,101,"440,100;439,100;465,100;513,100",999,80,
999,30,100,"169,100",0,"590,590",,252,"590,590",,"590,590",monster-icon-67,67,"13,157,1;15,141,1;11,2830,1;19,5,0;20,50,0;14,1,0;16,140,0;17,140,0;7,250,0;12,10,0",2000,Perisai Duri yang Tersenyum,10,500,95,"473,100;464,100",999,9,171
999,30,100,"169,100",0,"590,590",,228,"590,590",,"590,590",monster-icon-68,68,"13,157,1;15,157,1;11,3146,1;19,5,0;20,50,0;14,1,0;16,140,0;17,140,0;7,250,0;12,10,0",2000,Roh Cahaya yang Misterius,10,500,96,"445,100;472,100",999,9,169
999,30,100,"169,100",0,"590,590",,240,"590,590",,"590,590",monster-icon-69,69,"13,149,1;15,164,1;11,3302,1;19,5,0;20,50,0;14,1,0;16,140,0;17,140,0;7,250,0;12,10,0",2000,Roh yang Dihias dengan Batu Hijau,10,500,97,"437,100;470,100",999,9,170
999,50,900010,,0,"590,590",,2400,"590,590",,"590,590",monster-icon-70,70,"13,157,1;15,157,1;11,15730,1;19,5,0;20,50,0;14,1,0;16,140,0;17,140,0;7,250,0;12,10,0",2000,Penjaga Bercahaya,10,500,102,"458,100;457,100;476,100;513,100",999,45,
999,100,900010,,0,"590,590",,2400,"590,590",,"590,590",monster-icon-71,71,"13,157,1;15,157,1;11,31460,1;19,5,0;20,50,0;14,1,0;16,140,0;17,140,0;7,250,0;12,10,0",2000,Panglima Perang Api Hijau,10,500,103,"455,100;454,100;471,100;534,100;513,100",999,90,
999,150,500010,,0,"520,552",,212,"520,552",,"520,552",monster-icon-81,81,"13,132,1;15,132,1;11,26320,1;19,5,0;20,50,0;14,1,0;16,105,0;17,105,0;7,500,0;12,10,0",2000,Cyber Raze,10,500,114,"369,100;370,100;371,100;513,100",999,20,
999,50,700010,,0,"537,565",,300,"537,565",,"537,565",monster-icon-83,83,"13,145,1;15,145,1;11,28920,1;19,5,0;20,50,0;14,1,0;16,110,0;17,110,0;7,500,0;12,10,0",2000,Tuan Beku,10,500,115,"372,100;373,100;374,100;513,100",999,30,
999,50,800010,,0,"552,575",,424,"552,575",,"552,575",monster-icon-85,85,"13,151,1;15,151,1;11,30100,1;19,5,0;20,50,0;14,1,0;16,115,0;17,115,0;7,500,0;12,10,0",2000,Tuan Hutan,10,500,116,"408,100;409,100;422,25;513,100",999,40,
999,50,900010,,0,"565,582",,600,"565,582",,"565,582",monster-icon-87,87,"13,153,1;15,153,1;11,30680,1;19,5,0;20,50,0;14,1,0;16,120,0;17,120,0;7,500,0;12,10,0",2000,Lv5 Bos Pasukan PvEP ,10,500,117,"410,100;411,100;423,25;513,100",999,50,
999,100,100010,,0,"575,587",,848,"575,587",,"575,587",monster-icon-89,89,"13,155,1;15,155,1;11,30960,1;19,5,0;20,50,0;14,1,0;16,125,0;17,125,0;7,500,0;12,10,0",2000,Bos Lv6 Pasukan PvEP ,10,500,118,"412,100;413,100;414,100;424,100;513,100",999,60,
999,100,200010,,0,"582,590",,1200,"582,590",,"582,590",monster-icon-90,90,"13,156,1;15,156,1;11,15570,1;19,5,0;20,50,0;14,1,0;16,130,0;17,130,0;7,480,0;12,10,0",2000,Dewa Perang Api ,10,500,110,"453,100;469,100;513,100",999,35,
999,100,300010,,0,"582,590",,1200,"582,590",,"582,590",monster-icon-91,91,"13,156,1;15,156,1;11,31140,1;19,5,0;20,50,0;14,1,0;16,130,0;17,130,0;7,480,0;12,10,0",2000,Tuhan Iblis Perdition ,10,500,119,"443,100;456,100;444,100;479,100;513,100",999,70,
999,100,400010,,0,"587,590",,1697,"587,590",,"587,590",monster-icon-92,92,"13,156,1;15,156,1;11,15650,1;19,5,0;20,50,0;14,1,0;16,135,0;17,135,0;7,150,0;12,10,0",2000,Ahli Sihir Hutan yang Gelap,10,500,111,"438,100;447,100;477,100;513,100",999,40,
999,100,500010,,0,"587,590",,1697,"587,590",,"587,590",monster-icon-93,93,"13,156,1;15,156,1;11,31300,1;19,5,0;20,50,0;14,1,0;16,135,0;17,135,0;7,150,0;12,10,0",2000,Penguasa yang Melayang,10,500,120,"440,100;439,100;465,100;513,100",999,80,
999,100,600010,,0,"590,590",,2400,"590,590",,"590,590",monster-icon-94,94,"13,157,1;15,157,1;11,15730,1;19,5,0;20,50,0;14,1,0;16,140,0;17,140,0;7,250,0;12,10,0",2000,Penjaga Bercahaya,10,500,112,"458,100;457,100;476,100",999,45,
999,100,600010,,0,"590,590",,2400,"590,590",,"590,590",monster-icon-95,95,"13,157,1;15,157,1;11,31460,1;19,5,0;20,50,0;14,1,0;16,140,0;17,140,0;7,250,0;12,10,0",2000,Panglima Perang Api Hijau,10,500,121,"455,100;454,100;471,100;534,100;513,100",999,90,
4,30,50,"169,100",0,"552,575",,40,"552,575",374383,"552,575",monster-icon-96,96,"13,151,1;15,151,1;11,1505,1;19,5,0;20,50,0;14,1,0;16,115,0;17,115,0;7,500,0;12,10,0",1000,Askar Tengkorak,20,100,128,"393,100",4,4,47
4,50,50,"169,100",0,"552,575",,42,"552,575",375384,"552,575",monster-icon-97,97,"13,143,1;15,158,1;11,1580,1;19,5,0;20,50,0;14,1,0;16,115,0;17,115,0;7,500,0;12,10,0",1000,Kepala Telur Daun Oren,30,100,129,"394,100",4,4,48
4,30,50,"169,100",0,"552,575",,40,"552,575",376385,"552,575",monster-icon-98,98,"13,143,1;15,158,1;11,1580,1;19,5,0;20,50,0;14,1,0;16,115,0;17,115,0;7,500,0;12,10,0",1000,Tunggul Marah,10,100,130,"395,100",4,4,49
5,30,60,"169,100",0,"565,582",,57,"565,582",377386,"565,582",monster-icon-99,99,"13,153,1;15,153,1;11,1534,1;19,5,0;20,50,0;14,1,0;16,120,0;17,120,0;7,500,0;12,10,0",1000,Kapten Tengkorak,10,150,131,"396,100;417,100",5,5,50
5,50,60,"169,100",0,"565,582",,63,"565,582",378387,"565,582",monster-icon-100,100,"13,145,1;15,160,1;11,1610,1;19,5,0;20,50,0;14,1,0;16,120,0;17,120,0;7,500,0;12,10,0",1000,Behemoth Bayang,20,150,132,"397,100",5,5,51
5,30,60,"169,100",0,"565,582",,60,"565,582",379388,"565,582",monster-icon-101,101,"13,153,1;15,137,1;11,1380,1;19,5,0;20,50,0;14,1,0;16,120,0;17,120,0;7,500,0;12,10,0",1000,Peri Salji Gelap,30,150,133,"398,100;405,100",5,5,52
6,30,70,"169,100",0,"575,587",,89,"575,587",380389,"575,587",monster-icon-102,102,"13,147,1;15,162,1;11,1625,1;19,5,0;20,50,0;14,1,0;16,125,0;17,125,0;7,500,0;12,10,0",1000,Raksasa Kulit Ais ,30,200,134,"399,100",6,6,53
6,30,70,"169,100",0,"575,587",,80,"575,587",381390,"575,587",monster-icon-103,103,"13,155,1;15,139,1;11,1393,1;19,5,0;20,50,0;14,1,0;16,125,0;17,125,0;7,500,0;12,10,0",1000,Pemanah Tengkorak ,20,200,135,"400,100;406,100",6,6,54
6,30,70,"169,100",0,"575,587",,84,"575,587",382391,"575,587",monster-icon-104,104,"13,147,1;15,147,1;11,1548,1;19,5,0;20,50,0;14,1,0;16,125,0;17,125,0;7,500,0;12,10,0",20000,Wizard Arnab ,10,200,136,"401,100;407,100",6,6,55
999,100,900010,,0,"590,590",,2400,"590,590",,"590,590",monster-icon-109,109,"13,157,1;15,157,1;11,39325,1;19,5,0;20,50,0;14,1,0;16,140,0;17,140,0;7,600,0;12,10,0",2000,,10,500,146,"514,100;520,100;522,100;516,100;518,100;519,100;514,100;515,100;521,100;513,100",999,9,144
999,100,900010,,0,"590,590",,2400,"590,590",,"590,590",monster-icon-110,110,"13,157,1;15,157,1;11,39325,1;19,5,0;20,50,0;14,1,0;16,140,0;17,140,0;7,600,0;12,10,0",2000,,10,500,147,"523,100;524,100;526,100;529,100;528,100;513,100",999,9,143
999,100,900010,,0,"575,587",,240,"575,587",,"575,587",monster-icon-111,111,"13,155,1;15,155,1;11,38700,1;19,5,0;20,50,0;14,1,0;16,125,0;17,125,0;7,500,0;12,10,0",2000,,10,500,148,"532,100",999,9,
7,30,80,"169,100",0,"582,590",,114,"582,590",,"582,590",monster-icon-112,112,"13,156,1;15,140,1;11,1401,1;19,5,0;20,50,0;14,1,0;16,130,0;17,130,0;7,480,0;12,10,0",2000,,10,500,90,"446,100;475,100",7,7,176
7,30,80,"169,100",0,"582,590",,126,"582,590",,"582,590",monster-icon-113,113,"13,156,1;15,156,1;11,1557,1;19,5,0;20,50,0;14,1,0;16,130,0;17,130,0;7,480,0;12,10,0",2000,,10,500,89,"452,100;467,100",7,7,177
7,30,80,"169,100",0,"582,590",,120,"582,590",,"582,590",monster-icon-114,114,"13,148,1;15,163,1;11,1634,1;19,5,0;20,50,0;14,1,0;16,130,0;17,130,0;7,480,0;12,10,0",2000,,10,500,91,"441,100;468,100",7,7,178
8,30,90,"169,100",0,"587,590",,169,"587,590",,"587,590",monster-icon-115,115,"13,148,1;15,163,1;11,1643,1;19,5,0;20,50,0;14,1,0;16,135,0;17,135,0;7,150,0;12,10,0",2000,,10,500,94,"466,100;463,100",8,8,181
8,30,90,"169,100",0,"587,590",,178,"587,590",,"587,590",monster-icon-116,116,"13,156,1;15,156,1;11,1565,1;19,5,0;20,50,0;14,1,0;16,135,0;17,135,0;7,150,0;12,10,0",2000,,10,500,92,"478,100;462,100",8,8,180
8,30,90,"169,100",0,"587,590",,161,"587,590",,"587,590",monster-icon-117,117,"13,156,1;15,140,1;11,1408,1;19,5,0;20,50,0;14,1,0;16,135,0;17,135,0;7,150,0;12,10,0",2000,,10,500,93,"435,100;474,100",8,8,179
9,30,100,"169,100",0,"590,590",,228,"590,590",,"590,590",monster-icon-118,118,"13,157,1;15,157,1;11,1573,1;19,5,0;20,50,0;14,1,0;16,140,0;17,140,0;7,250,0;12,10,0",2000,,10,500,96,"445,100;472,100",9,9,182
9,30,100,"169,100",0,"590,590",,240,"590,590",,"590,590",monster-icon-119,119,"13,149,1;15,164,1;11,1651,1;19,5,0;20,50,0;14,1,0;16,140,0;17,140,0;7,250,0;12,10,0",2000,,10,500,97,"437,100;470,100",9,9,183
9,30,100,"169,100",0,"590,590",,252,"590,590",,"590,590",monster-icon-120,120,"13,157,1;15,141,1;11,1415,1;19,5,0;20,50,0;14,1,0;16,140,0;17,140,0;7,250,0;12,10,0",2000,,10,500,95,"473,100;464,100",9,9,184
