canMint-int,desc-string,givenSkillId-int,icon-string,id-int,name-string,quality-int[],type-int,useLv-int,userType-int
1," Seseorang pernah melihat bahan ini di Hutan Merah.
Ia boleh digunakan untuk membuat peralatan atau item.
-------
Bulu merah adalah bulu berkualiti tinggi dengan prestasi pertahanan yang baik, sesuai untuk membuat peralatan pertempuran. Ia adalah bahan mentah yang jarang dengan tahap pengumpulan yang tinggi.
",0,item-icon-37,37,Bulu Merah Jambu Tingkat 3,1,4,3,1
1," Seseorang pernah melihat bahan ini di Gunung Salji.
Ia boleh digunakan untuk membuat peralatan atau item.
-------
Ini adalah bahan mentah yang jarang yang boleh diperoleh dalam pertempuran. Ia mempunyai penampilan seperti ais dan salji, dengan tekstur berbulu yang membuat orang ingin menyentuhnya.
",0,item-icon-38,38,Bulu Salji Ais Tingkat 3,1,4,3,1
1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Tingkatkan kekuatan serangan pertempuran anda.
-------
Sebuah senjata tajam dan kukuh yang ditempa dari batu padat, sempurna untuk pertempuran jarak dekat. Berat dan keseimbangannya membuatnya mudah digunakan, memberikan serangan yang kuat dengan ketepatan. 
",0,item-icon-40,40,Pedang Batu Tingkat 1,1,1,1,1
1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Tingkatkan kekuatan serangan pertempuran anda.
-------
Sebuah senjata tajam dan kukuh yang ditempa dari besi, mampu membelah musuh dengan mudah. Beratnya memberikan kepuasan tersendiri, memungkinkan serangan yang kuat yang membuat lawan terhuyung. 
",0,item-icon-41,41,Pedang Besi Tingkat 2,"1,2",1,2,1
1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Tingkatkan kekuatan serangan pertempuran anda.
-------
Sebuah senjata kuat yang ditempa dari kristal murni, mampu membelah musuh dengan mudah. Bilahnya yang berkilauan memantulkan cahaya, mempesona lawan dan menimbulkan ketakutan dalam hati mereka. Setiap ayunan Pedang Kristal melepaskan kombinasi mematikan dari kecepatan dan ketepatan. 
",0,item-icon-42,42,Pedang Kristal Tingkat 3,"1,2,3",1,3,1
1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Tingkatkan kekuatan serangan pertempuran anda.
-------
Sebuah senjata kayu yang kukuh yang dirancang untuk serangan cepat dan tepat, sempurna untuk pemula yang mengasah keterampilan pertempuran mereka. Desainnya yang ringan memungkinkan gerakan yang lincah, menjadikannya pilihan yang ideal bagi mereka yang mencari senjata yang serbaguna dan dapat diandalkan. 
",0,item-icon-39,39,Pedang Kayu Tingkat 0,1,1,0,1
1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Tingkatkan peluang kelangsungan hidup anda dalam pertempuran.
-------
Aksesori bergaya yang menambah sentuhan elegan pada setiap pakaian. Dibuat dengan detail yang rumit, cincin ini memancarkan kesan keanggunan dan pesona. Desain uniknya pasti akan menarik perhatian para penggemar mode. 
",0,item-icon-43,43,Cincin Kepala Cip Tingkat 1,1,1,1,1
1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Tingkatkan peluang kelangsungan hidup anda dalam pertempuran.
-------
Topi ini terbuat dari bahan unik yang terasa sangat lembut di kulit Anda. Ini memberikan kenyamanan dan kenyamanan yang mewah, menjadikannya sempurna untuk sesi bermain game yang lama. 
",0,item-icon-44,44,Topi Kulit Kristal Lembut Tingkat 2,"1,2",1,2,1
1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Tingkatkan peluang kelangsungan hidup anda dalam pertempuran.
-------
Sebuah helm kukuh yang ditempa dari kristal berkilau, memberikan perlindungan luar biasa tanpa mengorbankan kelenturan. Cahaya mempesona memberikan penglihatan yang lebih baik di dalam gua yang gelap. 
",0,item-icon-45,45,Topi Kepala Batu Kristal Tingkat 3,"1,2,3",1,3,1
1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Tingkatkan peluang kelangsungan hidup anda dalam pertempuran.
-------
Baju zirah ini, dengan desain kristal yang retak, memancarkan aura ketahanan dan kekuatan. Permukaannya yang berkilauan memantulkan cahaya, memikat semua yang melihatnya. Simbol kekuatan dan ketahanan, ini adalah barang wajib bagi prajurit berpengalaman. 
",0,item-icon-46,46,Baju Zirah Kristal Retak Tingkat 1,1,1,1,1
1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Tingkatkan peluang kelangsungan hidup anda dalam pertempuran.
-------
Baju zirah ini dibuat dengan bahan mirip kristal yang unik, memberikan perlindungan luar biasa tanpa mengorbankan mobilitas. Desainnya yang ramping dan permukaannya yang berkilauan membuatnya menjadi karya seni sejati. Dengan Baju Zirah Kulit Kristal, Anda akan merasa tak terkalahkan di medan perang. 
",0,item-icon-47,47,Baju Zirah Kulit Kristal Tingkat 2,"1,2",1,2,1
1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Tingkatkan peluang kelangsungan hidup anda dalam pertempuran.
-------
Baju zirah yang tangguh yang ditempa dari kristal yang terkristalisasi, memberikan perlindungan tak tertandingi terhadap serangan fisik maupun sihir. Permukaannya yang berkilauan memantulkan cahaya, mempesona musuh dan menanamkan ketakutan dalam hati mereka. Mengenakan baju zirah ini memberikan aura ketaklukan pada pemakainya, menjadikannya kekuatan yang tak terhentikan di medan perang. 
",0,item-icon-48,48,Baju Zirah Batu Kristal Tingkat 3,"1,2,3",1,3,1
1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Tingkatkan peluang kelangsungan hidup anda dalam pertempuran.
-------
Sebuah pakaian unik yang terbuat dari kristal yang lembut, rok rumput ini menambah sentuhan elegan pada setiap pakaian. Teksturnya yang retak memberikan daya tarik misterius dan memikat, menjadikannya barang yang wajib dimiliki bagi petualang yang mengikuti mode terkini. 
",0,item-icon-49,49,Seluar Rumput Kristal Retak Tingkat 1,1,1,1,1
1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Tingkatkan peluang kelangsungan hidup anda dalam pertempuran.
-------
Celana ini memiliki tekstur kristal yang unik, memberikan tampilan yang ramping dan futuristik. Kain yang halus terasa sejuk di kulit, memberikan kenyamanan maksimal selama pertempuran intens. Dengan desain yang mencolok, celana ini pasti membuat Anda menonjol di medan perang. 
",0,item-icon-50,50,Seluar Kulit Kristal Tingkat 2,"1,2",1,2,1
1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Tingkatkan peluang kelangsungan hidup anda dalam pertempuran.
-------
Legging ini dibuat dari batu kristal langka, memberikan perlindungan dan daya tahan yang tak tertandingi. Permukaannya yang berkilauan memantulkan cahaya, membuat pemakainya terlihat gaib dan misterius. 
",0,item-icon-51,51,Seluar Kaki Batu Kristal Tingkat 3,"1,2,3",1,3,1
1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Tingkatkan peluang kelangsungan hidup anda dalam pertempuran.
-------
Sebuah aksesori berkilau dengan retakan halus, memancarkan aura misteri dan ketahanan. Permukaannya yang retak memantulkan kekuatan dan tekad pemakainya, menjadikannya simbol ketahanan dan ketekunan. 
",0,item-icon-52,52,Gelang Kristal Retak Tingkat 1,1,1,1,1
1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Tingkatkan peluang kelangsungan hidup anda dalam pertempuran.
-------
Sarung tangan ini dibuat dengan bahan mirip kristal yang unik, memberikan tekstur yang ramping dan halus yang meningkatkan cengkeraman dan kelincahan. Desainnya yang ringan memungkinkan gerakan yang mudah, menjadikannya favorit di kalangan pemain yang mencari ketepatan dan kenyamanan. 
",0,item-icon-53,53,Sarung Tangan Kulit Kristal Tingkat 2,"1,2",1,2,1
1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Tingkatkan peluang kelangsungan hidup anda dalam pertempuran.
-------
Sebuah sarung tangan yang kuat yang dicampuri dengan energi kristal, memberikan pemakainya kekuatan yang ditingkatkan dan kemampuan untuk memanipulasi kekuatan elemen. Manfaatkan kekuatan alam yang murni dan lepaskan serangan mematikan kepada musuh-musuh Anda. Kuasai medan perang dengan Sarung Tangan Batu Kristal! 
",0,item-icon-54,54,Sarung Tangan Tangan Batu Kristal Tingkat 3,"1,2,3",1,3,1
1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Tingkatkan peluang kelangsungan hidup anda dalam pertempuran.
-------
Sepatu ini terbuat dari bahan unik yang memberikan cengkeraman dan traksi yang sangat baik, membuatnya sempurna untuk melintasi permukaan yang licin. Desain kristal yang retak menambah sentuhan elegan dan misterius pada pakaian Anda. Kenakan dan rasakan kepercayaan diri saat Anda melangkah di segala medan. 
",0,item-icon-55,55,Kasut Rumput Kristal Retak Tingkat 1,1,1,1,1
1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Tingkatkan peluang kelangsungan hidup anda dalam pertempuran.
-------
Sepatu ini dibuat dengan bahan yang unik dengan desain batu kristal, menambah sentuhan elegan pada setiap langkah Anda. Batu-batu yang berkilauan yang tertanam di sepatu menciptakan efek yang mempesona, membuat Anda menjadi pusat perhatian di mana pun Anda pergi. Kenakan sepatu yang indah ini dan rasakan pesona yang mereka bawa pada pakaian Anda. 
",0,item-icon-56,56,Kasut Kulit Kristal Tingkat 2,"1,2",1,2,1
1," Seseorang pernah melihat bahan ini di tepi pantai.
Ia boleh digunakan untuk membuat peralatan atau barang.
-------
Batu ini adalah kelas pertama dan dapat digunakan untuk mengumpulkan bahan mentah seperti pohon. 
",0,item-icon-57,57,Kasut Batu Kristal Tingkat 3,"1,2,3",1,3,1
1," Seseorang pernah melihat bahan ini di tepi pantai.
Ia boleh digunakan untuk membuat peralatan atau barang.

-------
Batu ini adalah darjah pertama dan boleh digunakan untuk mengumpul bahan mentah seperti pokok.
",0,item-icon-58,58,Mineral Tingkat 1,1,4,1,1
1," Seseorang pernah melihat bahan ini di ngarai.
Ia boleh digunakan untuk membuat peralatan atau barang.

-------
Bijih besi hitam adalah bahan mentah sekunder yang boleh diperoleh melalui perlombongan. Ia mempunyai warna hitam, tekstur keras, dan mengandungi unsur besi yang banyak.
",0,item-icon-59,59,Besi Gelap Tingkat 2,1,4,2,1
1," Seseorang pernah melihat bahan ini di Gunung Salji.
Ia boleh digunakan untuk membuat peralatan atau barang.

-------
Ini adalah bijih kristal merah peringkat tiga yang boleh dikumpul di hutan. Ia adalah bahan mentah penting yang boleh digunakan untuk membuat pelbagai peralatan dan barang.
",0,item-icon-60,60,Batu Kristal Merah Tingkat 3,1,4,3,1
1," Seseorang pernah melihat bahan ini di tepi pantai.
Ia boleh digunakan untuk membuat peralatan atau barang.

-------
Jenis kayu ini biasanya digunakan untuk membuat perabot atau bahan binaan yang mudah. Teksturnya agak lembut, menjadikannya mudah untuk diproses dan diukir.",0,item-icon-62,62,Kayu Biasa Tingkat 1,1,4,1,1
1," Seseorang pernah melihat bahan ini di padang pasir. Ia boleh digunakan untuk membuat peralatan atau barang.
-------
Pokok padang pasir adalah jenis pokok yang tumbuh di padang pasir. Biasanya mereka rendah, dengan batang yang tebal dan daun hijau terang. Mereka boleh digunakan untuk mengumpul bahan mentah dan sesuai untuk membuat beberapa barang istimewa.
",0,item-icon-63,63,Kayu Pokok Gurun Tingkat 2,1,4,2,1
1," Seseorang pernah melihat bahan ini di Hutan Merah. Ia boleh digunakan untuk membuat peralatan atau barang.
-------
Kayu gelap adalah jenis kayu premium dengan tekstur hitam dan tekstur yang keras, sesuai untuk membuat perabot dan kraf berkualiti tinggi. Ia hanya boleh dipanen di tempat pengumpulan tertentu, yang sukar tetapi juga sangat menguntungkan.
",0,item-icon-64,64,Kayu Gelap Tingkat 3,1,4,3,1
1," Anda boleh mendapatkan jenis bahan ini melalui penanaman. Ia boleh digunakan untuk membuat peralatan atau barang.
-------
Jenis buluh ini adalah hasil pertanian dan tumbuhan yang digunakan untuk membuat pelbagai bahan mentah pertanian. Ia sangat biasa dalam pertanian dan boleh tumbuh dengan sangat cepat.
",0,item-icon-70,70,Buluh Tingkat 1,1,4,1,1
1," Anda boleh mendapatkan jenis bahan ini melalui penanaman. Ia boleh digunakan untuk membuat peralatan atau barang.
-------
Item ini adalah bahan mentah yang dihasilkan dalam pertanian, biasanya boleh dituai pada Lv 1. Bentuknya menyerupai tiga daun, oleh itu ia dipanggil semanggi. Ia boleh digunakan untuk membuat pelbagai barang dan merupakan sumber yang sangat berguna.
",0,item-icon-71,71,Trifolium Tingkat 1,1,4,1,1
1," Anda boleh mendapatkan jenis bahan ini melalui penanaman. Ia boleh digunakan untuk membuat peralatan atau barang.
-------
Lobak merah ini adalah hasil pertanian peringkat 1 yang boleh diperoleh di ladang pertanian. Ia adalah bahan mentah penting.
",0,item-icon-72,72,Lobak Tingkat 1,1,4,1,1
1," Anda boleh mendapatkan jenis bahan ini melalui penanaman. Ia boleh digunakan untuk membuat peralatan atau barang.
-------
Pokok bekas air adalah jenis tumbuhan yang unik yang boleh menarik dan menangkap serangga sebagai sumber makanan. Ia dianggap sebagai salah satu hasil pertanian dan boleh digunakan sebagai bahan mentah dalam bidang pertanian.
",0,item-icon-73,73,Pokok Pembekam Tingkat 2,1,4,2,1
1," Anda boleh mendapatkan jenis bahan ini melalui penanaman. Ia boleh digunakan untuk membuat peralatan atau barang.
-------
Kapas ini adalah kualiti kedua yang sesuai untuk pembuatan tekstil.
",0,item-icon-74,74,Kapas Tingkat 2,1,4,2,1
1," Anda boleh mendapatkan jenis bahan ini melalui penanaman. Ia boleh digunakan untuk membuat peralatan atau barang.
-------
Buah kesabaran ini adalah bahan mentah yang dihasilkan dalam pertanian, yang boleh ditanam di ladang peringkat 2 dan menghasilkan 2-3 buah setiap kali. Ia mempunyai ciri-ciri daya tahan yang kuat dan jangka hayat yang panjang, dan merupakan bahan penting untuk membuat pelbagai makanan dan ubat-ubatan.
",0,item-icon-75,75,Buah Tahan Lama Tingkat 2,1,4,2,1
1," Anda boleh mendapatkan jenis bahan ini melalui penanaman. Ia boleh digunakan untuk membuat peralatan atau barang.
-------
Cili pedas ini adalah tahap 3 dan sangat pedas, sesuai untuk mereka yang suka makan pedas. Ia dihasilkan oleh pertanian dan boleh ditanam di ladang. Sebagai bahan mentah pertanian, ia boleh digunakan untuk membuat pelbagai produk cili, seperti sos cili dan minyak cili.
",0,item-icon-76,76,Cili Pedas Tingkat 3,1,4,3,1
1," Anda boleh mendapatkan jenis bahan ini melalui penanaman. Ia boleh digunakan untuk membuat peralatan atau barang.
-------
Buah keras ini adalah bahan mentah pertanian yang menghasilkan hasil yang tinggi dan boleh digunakan untuk membuat pelbagai makanan dan ubat-ubatan. Ia mempunyai tekstur yang keras dan komponen nutrisi yang kaya, menjadikannya sebahagian penting dalam pengeluaran pertanian.
",0,item-icon-77,77,Buah Keras Tingkat 3,1,4,3,1
1," Anda boleh mendapatkan jenis bahan ini melalui penanaman. Ia boleh digunakan untuk membuat peralatan atau barang.
-------
Cendawan biru ini adalah spesies cendawan premium yang biasanya dihasilkan dalam sektor pertanian. Ia adalah bahan mentah yang sangat berharga yang boleh digunakan untuk membuat ubat-ubatan dan makanan gourmet.
",0,item-icon-78,78,Cendawan Biru Tingkat 3,1,4,3,1
1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Buka produk pertanian tingkat lebih tinggi
-------
Cangkul ini dapat membantu petani mengolah tanah dengan lebih mudah, tetapi pada saat yang sama juga membawa beberapa kutukan misterius. 
",0,item-icon-79,79,Cangkul Kayu Tingkat 0,1,1,0,1
1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Buka produk pertanian tingkat lebih tinggi
-------
Cangkul Berkat adalah alat yang kuat yang meningkatkan efisiensi pertanian dan meningkatkan hasil panen. Ia memancarkan aura ilahi, memberikan setiap serangan berkat yang mempromosikan pertumbuhan yang sehat dan panen yang melimpah. Dengan cangkul berkat ini di tangan, pemain dapat mengolah tanah mereka dengan mudah dan merasakan kegembiraan memanen hasil kerja keras mereka. 
",0,item-icon-80,80,Cangkul Besi Tingkat 1,1,1,1,1
1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Buka produk pertanian tingkat lebih tinggi
-------
Pot air kayu ini adalah peralatan yang cocok untuk digunakan dalam pertanian, yang dapat digunakan untuk menyimpan air bersih atau air irigasi. 
",0,item-icon-81,81,Cangkul Terkutuk Tingkat 2,"1,2",1,2,1
1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Buka produk pertanian tingkat lebih tinggi
-------
Alat masak yang kokoh dan dapat diandalkan yang terbuat dari besi tahan lama. Ia cepat dan merata panasnya, memungkinkan memasak yang efisien. Pegangan ergonomisnya memastikan pegangan yang nyaman saat menuangkan. 
",0,item-icon-82,82,Cangkul Berkat Tingkat 3,"1,2,3",1,3,1
1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Buka produk pertanian tingkat lebih tinggi
-------
Cerek misterius ini membawa malapetaka bagi mereka yang memilikinya, menyebabkan kekacauan dan keputusasaan. Aura gelapnya memancarkan kehadiran yang menyeramkan, menggoda takdir dengan setiap seduhan. Berhati-hatilah, karena kekuatan terkutuknya dapat mengubah bahkan yang paling beruntung menjadi korban nasib mereka sendiri. 
",0,item-icon-83,83,Ketuhar Kayu Tingkat 0,1,1,0,1
1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Buka produk pertanian tingkat lebih tinggi
-------
Artifak suci ini membawa berkah dan keberuntungan bagi pemiliknya, meningkatkan keberuntungan mereka dan memberi mereka kesempatan tak terduga. Cerek mistis ini dikatakan memancarkan energi positif, menarik kemakmuran dan kebahagiaan di mana pun ia pergi. Milikilah benda berharga ini bagi mereka yang mencari sentuhan campur tangan ilahi dalam hidup mereka. 
",0,item-icon-84,84,Ketuhar Besi Tingkat 1,1,1,1,1
1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Tingkatkan efisiensi pengumpulan anda
-------
Alat yang kokoh terbuat dari kayu, sempurna untuk menambang dan mengumpulkan sumber daya dengan efisien. Daya tahannya memastikan tidak mudah patah, menjadikannya pilihan yang dapat diandalkan bagi petualang manapun. 
",0,item-icon-85,85,Ketuhar Terkutuk Tingkat 2,"1,2",1,2,1
1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Tingkatkan efisiensi pengumpulan anda
-------
Alat yang kokoh terbuat dari besi, sempurna untuk menambang dan menggali sumber daya berharga. Ujungnya yang tajam dan konstruksi yang tahan lama menjadikannya barang yang penting bagi petualang manapun. Dengan beliung ini di tangan, Anda akan dapat menggali lebih dalam dan menemukan harta tersembunyi. 
",0,item-icon-86,86,Ketuhar Berkat Tingkat 3,"1,2,3",1,3,1
1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Tingkatkan efisiensi pengumpulan anda
-------
Beliung terkutuk ini dapat membantu Anda mengumpulkan pohon dan bijih dengan lebih cepat. Ini adalah peralatan level 2 dengan kemampuan pengumpulan yang kuat. 
",0,item-icon-87,87,Kapak Kayu Tingkat 0,1,1,0,1
1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Tingkatkan efisiensi pengumpulan anda
-------
Beliung Berkat, alat suci yang dianugerahi kekuatan ilahi, dengan mudah membelah batu terkeras, meninggalkan jejak fragmen yang berkilauan. Bilah ajaibnya berkilau dengan cahaya yang memancar, membimbing para penambang menuju harta tersembunyi di dalam bumi. Dengan setiap ayunan, ia memberikan berkah keberuntungan dan kemakmuran, menjadikannya teman yang penting bagi petualang manapun. 
",0,item-icon-88,88,Kapak Besi Tingkat 1,1,1,1,1
1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Tingkatkan kecekapan pengumpulan anda.
-------
Cangkul terkutuk ini dapat membantu anda mengumpulkan pokok dan bijih dengan lebih cepat. Ia adalah peralatan tahap 2 dengan kebolehan pengumpulan yang kuat.
",0,item-icon-89,89,Kapak Terkutuk Tingkat 2,"1,2",1,2,1
1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Tingkatkan kecekapan pengumpulan anda.
-------
Cangkul Berkat, alat suci yang dianugerahkan dengan kuasa ilahi, dengan mudah membelah batu yang paling keras, meninggalkan jejak serpihan berkilauan. Bilah ajaibnya bersinar dengan cahaya yang memancar, membimbing para penambang ke harta karun tersembunyi di dalam bumi. Dengan setiap ayunan, ia memberikan berkat keberuntungan dan kemakmuran, menjadikannya teman penting bagi setiap petualang.
",0,item-icon-90,90,Kapak Diberkati Tingkat 3,"1,2,3",1,3,1
1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Tingkatkan kecekapan pengumpulan anda.
-------
Cangkul ini adalah alat kayu yang sesuai untuk kerja pengumpulan di luar. Ia adalah jenis peralatan yang dapat membantu anda menyelesaikan tugas pengumpulan dengan lebih efisien.
",0,item-icon-91,91,Berus Tingkat 0,1,1,0,1
1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Tingkatkan kecekapan pengumpulan anda.
-------
Cangkul besi ini dapat digunakan untuk menebang pokok dan merupakan alat penting untuk mengumpulkan kayu. Ia juga boleh digunakan sebagai peralatan untuk meningkatkan keberkesanan pertempuran.
",0,item-icon-92,92,Penyepit Rambut Tingkat 0,1,1,1,1
1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Tingkatkan kecekapan pengumpulan anda.
-------
Kelebihan ketajaman cangkul ini telah mencapai tahap 2, menjadikannya mudah untuk mengumpulkan pokok. Namun, ia juga telah terkutuk, jadi berhati-hatilah ketika menggunakannya.
",0,item-icon-93,93,Penyusun Susu Tingkat 0,"1,2",1,2,1
1," Anda boleh mendapatkan item ini melalui sintesis.
Apabila dipasang, ia dapat meningkatkan atribut. Tingkatkan kecekapan pengumpulan anda.
-------
Senjata yang kuat yang dianugerahkan dengan berkat ilahi, mampu membelah apa sahaja rintangan dengan mudah. Bilahnya yang tajam berkilauan dengan cahaya suci, menimbulkan ketakutan dalam hati musuh. Kapak Berkat adalah simbol sejati kekuatan dan kebenaran di medan perang.
",0,item-icon-94,94,Topi Daun Semanggi Bertuah Tingkat 1,"1,2,3",1,3,1
