boothFees-int[][],canDropScene-int[],canMint-int,desc-string,givenSkillId-int,icon-string,id-int,name-string,onChainDelay-int,quality-int[],resourceInstructions-int[],sellable-bool,subType-int,talentId-int[],tokenTaskLevel-int[],tokenTaskRefreshType-int,type-int,useLv-int,userType-int
"792,1",4,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase your survival probability in battles
-------
This armor, with its cracked crystal design, exudes an aura of resilience and power. Its shimmering surface reflects the light, captivating all who lay eyes upon it. A symbol of strength and endurance, it is a must-have for any seasoned warrior.",0,item-icon-46,46, Çatlamış Kristal Zırh,1440,1,259,1,0,2,999,0,1,1,1
"793,1",4,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase your survival probability in battles
-------
This armor is crafted with a unique crystal-like material, providing exceptional protection without sacrificing mobility. Its sleek design and shimmering surface make it a true masterpiece of craftsmanship. With the Crystal Skin Armor, you'll feel invincible on the battlefield.",0,item-icon-47,47, Kristal Deri Zırhı,1440,"1,2",265,1,0,2,999,0,1,2,1
"794,1",4,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase your survival probability in battles
-------
A formidable armor forged from enchanted crystals, providing unparalleled protection against both physical and magical attacks. Its shimmering surface reflects light, dazzling enemies and instilling fear in their hearts. Wearing this armor grants the wearer an aura of invincibility, making them an unstoppable force on the battlefield.",0,item-icon-48,48, Kristal Taş Zırhı,1440,"1,2,3",276,1,0,2,999,0,1,3,1
"792,1",4,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase your survival probability in battles
-------
A unique piece of clothing made from delicate crystals, this grass skirt adds a touch of elegance to any outfit. Its cracked texture gives it a mysterious and enchanting allure, making it a must-have for fashion-forward adventurers.",0,item-icon-49,49, Çatlamış Kristal Çimen Etek,1440,1,262,1,0,2,999,0,1,1,1
"793,1",4,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase your survival probability in battles
-------
These pants have a unique crystal-like texture, giving them a sleek and futuristic appearance. The smooth fabric feels cool against the skin, providing maximum comfort during intense battles. With their eye-catching design, these pants are sure to make you stand out on the battlefield.",0,item-icon-50,50, Kristal Deri Pantolon,1440,"1,2",268,1,0,2,999,0,1,2,1
"794,1",4,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase your survival probability in battles
-------
These leggings are crafted from a rare crystal stone, providing unparalleled protection and durability. The shimmering surface reflects light, making the wearer appear ethereal and mysterious.",0,item-icon-51,51, Kristal Bacak Zırhı,1440,"1,2,3",275,1,0,2,999,0,1,3,1
"792,1",4,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase your survival probability in battles
-------
A shimmering accessory with delicate cracks, exuding an air of mystery and resilience. Its fractured surface reflects the wearer's strength and determination, making it a symbol of resilience and perseverance.",0,item-icon-52,52, Çatlamış Kristal Bilezik,1440,1,260,1,0,2,999,0,1,1,1
"793,1",4,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase your survival probability in battles
-------
This glove is crafted with a unique crystal-like material, providing a sleek and smooth texture that enhances grip and dexterity. Its lightweight design allows for effortless movement, making it a favorite among gamers seeking precision and comfort.",0,item-icon-53,53, Kristal Deri Eldiven,1440,"1,2",267,1,0,2,999,0,1,2,1
"794,1",4,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase your survival probability in battles
-------
A powerful gauntlet infused with the energy of crystals, granting the wearer enhanced strength and the ability to manipulate elemental forces. Harness the raw power of nature and unleash devastating attacks against your enemies. Dominate the battlefield with the Crystal Stone Gauntlet!",0,item-icon-54,54, Kristal Taş Eldiven,1440,"1,2,3",277,1,0,2,999,0,1,3,1
"792,1",4,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase your survival probability in battles
-------
These shoes are made from a unique material that provides excellent grip and traction, making them perfect for traversing slippery surfaces. The cracked crystal design adds a touch of elegance and mystique to your outfit. Slip them on and feel the confidence as you step onto any terrain.",0,item-icon-55,55, Çatlamış Kristal Çimen Ayakkabı,1440,1,261,1,0,2,999,0,1,1,1
"793,1",4,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase your survival probability in battles
-------
These boots are crafted with a unique material that enhances agility and provides excellent protection. Their sleek design allows for swift movement, making them a favorite among adventurers. The Crystal Skin Boots are a must-have for any player seeking both style and functionality.",0,item-icon-56,56, Kristal Deri Botlar,1440,"1,2",266,1,0,2,999,0,1,2,1
"794,1",4,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase your survival probability in battles
-------
These shoes are crafted with a unique crystal stone design, adding a touch of elegance to your every step. The shimmering stones embedded in the shoes create a mesmerizing effect, making you the center of attention wherever you go. Slip into these exquisite shoes and feel the enchantment they bring to your outfit.",0,item-icon-57,57, Kristal Taş Ayakkabılar,1440,"1,2,3",279,1,0,2,999,0,1,3,1
"792,1","1,3,4",1,"Someone once saw this material by the seaside.
It can be used to craft equipment or items.
-------
This stone is of first grade and can be used for collecting raw materials such as trees.",0,item-icon-58,58, Mineral,0,1,69,1,0,3,"1,0",1,4,1,1
"793,1","1,3,4",1,"Someone once saw this material in the canyon.
It can be used to craft equipment or items.
-------
Black iron ore is a secondary raw material that can be obtained through mining. It has a black color, a hard texture, and contains abundant iron elements.",0,item-icon-59,59, Koyu Demir,0,1,71,1,0,3,2,1,4,2,1
"794,1","1,3,4",1,"Someone once saw this material on the Snow Mountain.
It can be used to craft equipment or items.
-------
This is a tier-three red crystal ore that can be collected in the forest. It is an important raw material that can be used to craft various equipment and items.",0,item-icon-60,60, Kırmızı Kristal Cevheri,0,1,73,1,0,3,3,1,4,3,1
"792,1","1,3,4",1,"Someone once saw this material by the seaside.
It can be used to craft equipment or items.
-------
This type of wood is usually used for making simple furniture or building materials. Its texture is relatively soft, making it easy to process and carve.",0,item-icon-62,62, Sıradan Ahşap,0,1,"49,51",1,0,3,"1,0",1,4,1,1
"793,1","1,3,4",1,"Someone once saw this material in the desert.
It can be used to craft equipment or items.
-------
Desert trees are a type of tree that grows in the desert. They are usually of low height, with thick trunks and light green leaves. They can be used to collect raw materials and are suitable for making some special items.",0,item-icon-63,63, Çöl Ağacı Ahşap,0,1,53,1,0,3,2,1,4,2,1
"794,1","1,3,4",1,"Someone once saw this material in the Red Forest.
It can be used to craft equipment or items.
-------
Dark wood is a premium type of wood with black textures and a hard texture, suitable for making high-end furniture and crafts. It can only be harvested at specific collection points, which is difficult but also very profitable.",0,item-icon-64,64, Koyu Ahşap,0,1,55,1,0,3,3,1,4,3,1
"792,1","1,3,4",1,"You can obtain this type of material through planting.
It can be used to craft equipment or items.
-------
This type of bamboo is an agricultural output and a plant used for making various agricultural raw materials. It is very common in agriculture and can grow very quickly.",0,item-icon-70,70, Bambu,0,1,87,1,0,1,"1,0",1,4,1,1
"792,1","1,3,4",1,"You can obtain this type of material through planting.
It can be used to craft equipment or items.
-------
This item is a raw material produced in agriculture, usually harvestable at Lv 1. Its shape resembles three leaves, hence it is called a clover. It can be used to make many different items and is a very useful resource.",0,item-icon-71,71, Trifolium,0,1,88,1,0,1,"1,0",1,4,1,1
"792,1","1,3,4",1,"You can obtain this type of material through planting.
It can be used to craft equipment or items.
-------
This carrot is a level 1 agricultural output that can be obtained in the agricultural field. It is an important raw material.",0,item-icon-72,72, Havuç,0,1,89,1,0,1,"1,0",1,4,1,1
"793,1","1,3,4",1,"You can obtain this type of material through planting.
It can be used to craft equipment or items.
-------
Pitcher plants are a unique type of plant that can attract and capture insects as a source of food. They are considered as one of the agricultural outputs and can be used as raw materials in the agricultural field.",0,item-icon-73,73, Sürahi Bitkisi,0,1,90,1,0,1,2,1,4,2,1
"793,1","1,3,4",1,"You can obtain this type of material through planting.
It can be used to craft equipment or items.
-------
This cotton is of second-grade quality and is suitable for manufacturing textiles.",0,item-icon-74,74, Pamuk,0,1,91,1,0,1,2,1,4,2,1
"793,1","1,3,4",1,"You can obtain this type of material through planting.
It can be used to craft equipment or items.
-------
This patience fruit is a raw material produced in agriculture, which can be planted in a level 2 farm and yields 2-3 fruits each time. It has the characteristics of strong durability and long preservation time, and is an important material for making various foods and medicines.",0,item-icon-75,75, Dayanıklılık Meyvesi,0,1,92,1,0,1,2,1,4,2,1
"794,1","1,3,4",1,"You can obtain this type of material through planting.
It can be used to craft equipment or items.
-------
This fiery chili is level 3 and extremely spicy, suitable for those who love spicy food. It is produced by agriculture and can be grown in fields. As an agricultural raw material, it can be used to make various chili products, such as chili sauce and chili oil.",0,item-icon-76,76, Acı Biber,0,1,93,1,0,1,3,1,4,3,1
"794,1","1,3,4",1,"You can obtain this type of material through planting.
It can be used to craft equipment or items.
-------
This hard fruit is a high-yield agricultural raw material that can be used to make various foods and medicines. It has a hard texture and rich nutritional components, making it an indispensable part of agricultural production.",0,item-icon-77,77, Sert Meyve,0,1,94,1,0,1,3,1,4,3,1
"794,1","1,3,4",1,"You can obtain this type of material through planting.
It can be used to craft equipment or items.
-------
This blue mushroom is a premium mushroom species that is typically produced in the agricultural sector. It is a highly valuable raw material that can be used for making medicines and gourmet food.",0,item-icon-78,78,Mavi Mantar,0,1,95,1,0,1,3,1,4,3,1
"792,1",0,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Make your crops less prone to withering
-------
This is a tool for farming that can help you easily till the soil and weed. It is suitable for beginners to use.",0,item-icon-79,79, Ahşap Çapa,1440,1,180,0,0,1,999,0,1,0,1
"792,1",0,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Make your crops less prone to withering
-------
The Iron Hoe is a durable farming tool made of sturdy iron. It is essential for tilling soil and cultivating crops efficiently in the game.",0,item-icon-80,80, Demir Çapa,1440,1,187,1,0,1,999,0,1,1,1
"793,1",0,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Make your crops less prone to withering
-------
This hoe can help farmers cultivate the land more easily, but at the same time it also brings some mysterious curses.",0,item-icon-81,81, Lanetli Çapa,1440,"1,2",190,1,0,1,999,0,1,2,1
"794,1",0,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Make your crops less prone to withering
-------
The Blessing Hoe is a powerful tool that enhances farming efficiency and increases crop yields. It radiates a divine aura, imbuing each strike with blessings that promote healthy growth and bountiful harvests. With this enchanted hoe in hand, players can cultivate their land with ease and experience the joy of reaping the rewards of their hard work.",0,item-icon-82,82, Kutsal Çapa,1440,"1,2,3",198,1,0,1,999,0,1,3,1
"792,1",0,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Make your crops less prone to withering
-------
This wooden water pot is a piece of equipment suitable for agricultural use, which can be used to hold clean water or irrigation water.",0,item-icon-83,83, Ahşap Su Kazanı,1440,1,181,0,0,1,999,0,1,0,1
"792,1",0,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Make your crops less prone to withering
-------
A sturdy and reliable cooking utensil made of durable iron. It heats up quickly and evenly, allowing for efficient cooking. Its ergonomic handle ensures a comfortable grip while pouring.",0,item-icon-84,84, Demir Su Kazanı,1440,1,188,1,0,1,999,0,1,1,1
"793,1",0,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Make your crops less prone to withering
-------
A mysterious kettle that brings misfortune to those who possess it, causing chaos and despair. Its dark aura emanates an eerie presence, tempting fate with every brew. Be cautious, for its cursed power can turn even the most fortunate into victims of their own demise.",0,item-icon-85,85, Lanetli Su Kazanı,1440,"1,2",191,1,0,1,999,0,1,2,1
"794,1",0,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Make your crops less prone to withering
-------
A sacred artifact that brings blessings and good fortune to its owner, enhancing their luck and granting them unexpected opportunities. This mystical kettle is said to radiate positive energy, attracting prosperity and happiness wherever it goes. A cherished possession for those seeking a touch of divine intervention in their lives.",0,item-icon-86,86, Kutsal Su Kazanı,1440,"1,2,3",199,1,0,1,999,0,1,3,1
"792,1",0,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase the drop probability of collecting higher-level resources
-------
A sturdy tool made of wood, perfect for mining and gathering resources efficiently. Its durability ensures it won't break easily, making it a reliable choice for any adventurer.",0,item-icon-87,87, Ahşap Kazma,1440,1,331,0,0,3,999,0,1,0,1
"792,1",0,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase the drop probability of collecting higher-level resources
-------
A sturdy tool made of iron, perfect for mining and excavating valuable resources. Its sharp edge and durable construction make it an essential item for any adventurer. With this pickaxe in hand, you'll be able to dig deeper and uncover hidden treasures.",0,item-icon-88,88, Demir Kazma,1440,1,339,1,0,3,999,0,1,1,1
"793,1",0,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase the drop probability of collecting higher-level resources
-------
This cursed pickaxe can help you gather trees and ores faster. It is a level 2 equipment with powerful gathering abilities.",0,item-icon-89,89, Lanetli Kazma,1440,"1,2",341,1,0,3,999,0,1,2,1
"794,1",0,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase the drop probability of collecting higher-level resources
-------
The Blessing Pickaxe, a sacred tool bestowed with divine power, effortlessly cleaves through the toughest of rocks, leaving behind a trail of shimmering fragments. Its enchanted blade glows with a radiant light, guiding miners towards hidden treasures deep within the earth. With each swing, it grants blessings of fortune and prosperity, making it an essential companion for any adventurer.",0,item-icon-90,90, Kutsal Kazma,1440,"1,2,3",349,1,0,3,999,0,1,3,1
"792,1",0,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase the drop probability of collecting higher-level resources
-------
This axe is a wooden tool, suitable for outdoor gathering work. It is a type of equipment that can help you complete gathering tasks more efficiently.",0,item-icon-91,91, Ahşap Balta,1440,1,330,0,0,3,999,0,1,0,1
"792,1",0,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase the drop probability of collecting higher-level resources
-------
This iron axe can be used to fell trees and is an essential tool for gathering wood. It can also be used as equipment to increase combat effectiveness.",0,item-icon-92,92, Demir Balta,1440,1,338,1,0,3,999,0,1,1,1
"793,1",0,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase the drop probability of collecting higher-level resources
-------
The sharpness of this axe has reached level 2, making it easy to gather trees. However, it has also been cursed, so caution is required when using it.",0,item-icon-93,93, Lanetli Balta,1440,"1,2",340,1,0,3,999,0,1,2,1
"794,1",0,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase the drop probability of collecting higher-level resources
-------
A powerful weapon bestowed with divine blessings, capable of cleaving through any obstacle with ease. Its razor-sharp blade glimmers with a holy light, instilling fear in the hearts of enemies. The Blessed Axe is a true symbol of strength and righteousness on the battlefield.",0,item-icon-94,94, Kutsal Balta,1440,"1,2,3",348,1,0,3,999,0,1,3,1
"792,1",4,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Make your crops less prone to withering
-------
This stylish hat brings good luck to its wearer, adding a touch of charm to any outfit. Its vibrant colors and intricate design make it a must-have accessory for fashion-forward players. Wear it and let the luck be on your side!",0,item-icon-98,98, Şanslı Yonca Şapka,1440,1,189,1,0,1,999,0,1,1,1
"793,1",4,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Make your crops less prone to withering
-------
This stylish hat is made of soft and comfortable cotton, bringing luck to its wearer. Its vibrant colors and intricate design make it a fashionable accessory for any outfit. With this hat, you'll feel confident and ready to take on any adventure.",0,item-icon-99,99, Şanslı Pamuk Şapka,1440,"1,2",197,1,0,1,999,0,1,2,1
"794,1",4,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Make your crops less prone to withering
-------
This sturdy hard hat brings good luck to its wearer, providing extra protection and increasing their chances of finding valuable treasures. Its vibrant colors and durable construction make it a favorite among adventurous players.",0,item-icon-100,100, Şanslı Sert Şapka,1440,"1,2,3",205,1,0,1,999,0,1,3,1
"792,1",4,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Make your crops less prone to withering
-------
A stylish jacket perfect for outdoor adventures, providing warmth and protection against the elements. Its durable material and practical design make it a must-have for any adventurer. Stay comfortable and stylish with this Harvest Jacket.",0,item-icon-101,101, Tarım Ceketi,1440,1,184,1,0,1,999,0,1,1,1
"793,1",4,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Make your crops less prone to withering
-------
A durable jacket designed for farmers, providing protection against the elements and rugged terrain. Its reinforced stitching and sturdy fabric make it ideal for outdoor work. Stay comfortable and focused on your tasks with this reliable piece of clothing.",0,item-icon-102,102, Tarım Ceketi,1440,"1,2",193,1,0,1,999,0,1,2,1
"794,1",4,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Make your crops less prone to withering
-------
This jacket is specially designed for people who work in agriculture. It features protection, breathability, and durability, making your work in the fields more comfortable and safe.",0,item-icon-103,103, Tarım Ceketi,1440,"1,2,3",202,1,0,1,999,0,1,3,1
"792,1",4,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Make your crops less prone to withering
-------
These pants are designed for farmers, providing comfort and durability for long hours of work in the fields. Made from high-quality materials, they offer excellent protection against dirt and stains. With their practical design and adjustable fit, these pants are a must-have for any dedicated farmer.",0,item-icon-104,104, Tarım Pantolonu,1440,1,185,1,0,1,999,0,1,1,1
"793,1",4,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Make your crops less prone to withering
-------
This agricultural pants are specifically designed for agricultural work, with features such as waterproof and abrasion resistance, making your field work more comfortable and safe.",0,item-icon-105,105, Tarım Pantolonu,1440,"1,2",194,1,0,1,999,0,1,2,1
"794,1",4,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Make your crops less prone to withering
-------
This pair of pants is designed specifically for agricultural workers, made with high-quality materials that are comfortable and durable. It features functions such as waterproofing, stain resistance, and puncture resistance, effectively protecting the worker's body and clothes. Additionally, it has multiple pockets and detailed designs to facilitate carrying tools and improve work efficiency.",0,item-icon-106,106, Tarım Pantolonu,1440,"1,2,3",203,1,0,1,999,0,1,3,1
"792,1",4,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Make your crops less prone to withering
-------
This glove is suitable for use in the fields, and can protect hands from thorns, dirt and other sharp objects. It also has anti-slip function, making you more stable on wet soil.",0,item-icon-107,107, Tarım Eldiveni,1440,1,183,1,0,1,999,0,1,1,1
"793,1",4,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Make your crops less prone to withering
-------
These gloves are designed specifically for farming tasks, providing excellent grip and protection against thorns and rough surfaces. They are made with durable materials to withstand long hours of work in the fields. With these gloves, you can handle any farming job with ease and comfort.",0,item-icon-108,108, Tarım Eldiveni,1440,"1,2",192,1,0,1,999,0,1,2,1
"794,1",4,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Make your crops less prone to withering
-------
This glove is suitable for agricultural work, providing comfortable grip and protection to help farmers complete various farming activities.",0,item-icon-109,109, Tarım Eldiveni,1440,"1,2,3",201,1,0,1,999,0,1,3,1
"792,1",4,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase the drop probability of collecting higher-level resources
-------
These collection shoes are specially designed for collection. Wearing them can make you more agile when walking in the forest, and easily collect the resources you need.",0,item-icon-113,113, Toplama Ayakkabısı,1440,1,337,1,0,3,999,0,1,1,1
"793,1",4,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase the drop probability of collecting higher-level resources
-------
These collection shoes are specially designed for collection. They can help you collect resources faster and more efficiently, making your collection journey smoother.",0,item-icon-114,114, Toplama Ayakkabısı,1440,"1,2",346,1,0,3,999,0,1,2,1
"794,1",4,1,"You can obtain this item through synthesis.
When equipped, it can enhance attributes. Increase the drop probability of collecting higher-level resources
-------
These shoes are designed for avid gatherers, providing enhanced agility and comfort during long expeditions. With their durable yet lightweight construction, they allow players to effortlessly traverse various terrains and gather resources with ease. The shoes also feature a specialized grip that ensures stability, preventing slips and falls even in treacherous environments.",0,item-icon-115,115, Toplama Ayakkabısı,1440,"1,2,3",355,1,0,3,999,0,1,3,1
"792,1","1,3,4",1,"You can obtain this item through synthesis.
Using it can trigger special effects.
-------
Boost your crops' growth with this potent formula, ensuring a bountiful harvest in no time. Enhance your farming efficiency and watch your plants thrive with this powerful fertilizer.",98,item-icon-128,128,"Hızlandırılmış Gübre
Verim Artırıcı Gübre
Nemlendirici Gübre
Gelişmiş Hızlandırılmış Gübre
Gelişmiş Verim Artırıcı Gübre
Gelişmiş Nemlendirici Gübre
İkincil İyileştirme İksiri
İkincil Saldırı İksiri
İkincil Hız İksiri
İkincil Kritik Vuruş İksiri
İkincil Can İksiri
İkincil Savunma İksiri
Tedavi İksiri
Saldırı İksiri
Hız İksiri
Kritik Vuruş İksiri
Can İksiri
Savunma İksiri
Bambu Tohumu
Yonca Tohumu
Havuç Tohumu
Cüce Sundew Tohumu
Pamuk Tohumu
Kaktüs Tohumu
Patlayıcı Acı Biber Tohumu
Sert Kabuklu Meyve Tohumu
Mavi Mantar Tohumu
Bilet #1
Bilet #2
Bilet #3
Solmuş Bitki
Çürümekte Olan Mahsul
Dışkı
Kaktüs Filizi
Vida
Kabak Filizi
Mavi Kristal Taşı
Çimen Canavarı Yaprağı
Bal
Gölge Tüyü
Katılaşmış Lava
Buz Parçası
Tarım Deneyimi
Savaş Deneyimi
Toplama Deneyimi
Kristalleşmiş İyileştirme İksiri
Kristalleşmiş Saldırı İksiri
Kristalleşmiş Hız İksiri
Kristalleşmiş Kritik İksiri
Kristalleşmiş Can İksiri",0,1,,1,0,1,999,0,3,0,1
