canInvest-bool,extraDropPool-int,id-int,isRanking-bool,level-int[],loadingBg-string,refreshRatio-int[],reputationRequaireScore-int,respawnTimes-int,rewardFrequency-int,sceneName-string,sceneSubtype-int,sceneType-int,talentType-int,worldDropProbability-int,functionModule-int[],baseScore-int[],bossCovers-int[],challengeMode-int[],chapterBaseReward-int[],chapterEvents-int[][],chapterLuckyReward-int[],chapterProgress-int[],chapterPunish-int[][],chapterTimeLimit-int[],chapters-string[],desc-string,dropRewardShow-int[],name-string,punishDesc-string,randomSeeds-string[][],releaseTime-int[][],tickets-int[][],campLimit-int[],seedMaxLimit-int[],uniqueSeed-int[]
1,0,22002,0,"5,7",PVPDungeonSceneLoading_4_6.jpg,,0,1,5,PVPDungeonSceneSoloLv4-6,2,3,2,10000,"1,2","0,10000","37,39,38",1,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging","## Récompenses
- **Vaincre des monstres ou collecter**: Les joueurs recevront des **récompenses Token** investies par les totems.
- **Éliminer d'autres joueurs**: Les joueurs peuvent réclamer les **récompenses LUASUD** non réglées de leurs adversaires vaincus.
- **Vaincre des boss**: Les joueurs peuvent obtenir des **matériaux spéciaux mystérieux** essentiels à la progression du jeu.
## Aperçu des règles
- **Structure des niveaux**: Le donjon se compose de **3 niveaux chaotiques**, chacun présentant ses propres défis.
- **Zones de sécurité**: Il y a des **zones de sécurité** à l'intérieur des niveaux, qui **rétrécissent avec le temps**, obligeant les joueurs à se confronter.
- **Trois types de portes**:
  - **Porte de défi**: Pour les courageux, cette porte mène au niveau suivant de l'aventure.
  - **Porte de sortie**: Quittez le donjon et renoncez à toutes les **récompenses Token** non réglées.
  - **Porte de règlement**: Règlez et collectez les **récompenses Token** selon un certain ratio.
",173,Arène Solo Intermédiaire,"Lorsque vous mourrez, il y a une chance de laisser tomber les objets de votre sac à dos.
",0;0,"0,0","660,1","3,24",,
1,0,22003,0,"8,9",PVPDungeonSceneLoading_4_6.jpg,,0,1,5,PVPDungeonSceneSoloLv7-9,2,3,2,10000,"1,2","0,10000","61,71,66",1,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging","## Récompenses
- **Vaincre des monstres ou collecter**: Les joueurs recevront des **récompenses Token** investies par les totems.
- **Éliminer d'autres joueurs**: Les joueurs peuvent réclamer les **récompenses LUASUD** non réglées de leurs adversaires vaincus.
- **Vaincre des boss**: Les joueurs peuvent obtenir des **matériaux spéciaux mystérieux** essentiels à la progression du jeu.
## Aperçu des règles
- **Structure des niveaux**: Le donjon se compose de **3 niveaux chaotiques**, chacun présentant ses propres défis.
- **Zones de sécurité**: Il y a des **zones de sécurité** à l'intérieur des niveaux, qui **rétrécissent avec le temps**, obligeant les joueurs à se confronter.
- **Trois types de portes**:
  - **Porte de défi**: Pour les courageux, cette porte mène au niveau suivant de l'aventure.
  - **Porte de sortie**: Quittez le donjon et renoncez à toutes les **récompenses Token** non réglées.
  - **Porte de règlement**: Règlez et collectez les **récompenses Token** selon un certain ratio.",174,Arène Solo Avancée,"Lorsque vous mourrez, il y a une chance de laisser tomber les objets de votre sac à dos.",0;0,"0,0","661,1","3,24",,
0,0,23001,0,"2,4",DungeonSceneLoading_7_9.jpg,,0,1,0,PVPDungeonSceneLv1-3,2,3,2,10000,"1,2","0,10000","55,0,54",2,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging",,172,Junior Arena - Mini ,"Lorsque vous mourrez, il y a une chance de laisser tomber les objets de votre sac à dos.",0;0,"0,0","934,1","8,24",,
0,0,23002,0,"5,7",PVPDungeonSceneLoading_4_6.jpg,,0,1,0,PVPDungeonSceneLv4-6,2,3,2,10000,"1,2","0,10000","37,39,38",2,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging",,173, Intermediate Arena - Mini ,"Lorsque vous mourrez, il y a une chance de laisser tomber les objets de votre sac à dos.",0;0,"0,0","935,1","8,24",,
0,0,23003,0,"8,9",PVPDungeonSceneLoading_4_6.jpg,,0,1,0,PVPDungeonSceneLv7-9,2,3,2,10000,"1,2","0,10000","61,71,66",2,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging",,174, Advanced Arena - Mini,"Lorsque vous mourrez, il y a une chance de laisser tomber les objets de votre sac à dos.",0;0,"0,0","936,1","8,24",,
0,0,30001,0,"1,9",DungeonSceneLoading_1_3.jpg,,100000,0,1,DailyDungeon,1,3,2,10000,1,"10000,20000,30000,40000,50000,60000,70000,80000,90000","6,7,8",1,"102,103,104,105,106,107,108,109,110",;;;;;;;;,"120,121,122,123,124,125,126,127,128","6,12,24,48,96,192,384,768,1536","0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0","120,90,90,90,90,90,90,90,90","Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8,Level 9",Défi quotidien,,Défi quotidien,Pas de peine de mort,0;0;0;0;0;0;0;0;0,"0,1440","733,1",,,
0,0,30002,0,"1,9",PVPDungeonSceneLoading_4_6.jpg,,0,1,1,PVPTrainingDungeon,2,3,2,2500,"1,2","0,10000","55,0,54",1,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging","Terrain d'entraînement PVEP - Soutient des batailles de 12 à 24 joueurs, la mort n'entraînera aucune perte, tickets obtenus à partir des missions quotidiennes.",,Terrain d'entraînement, Pas de peine de mort,0;0,"0,1440","733,1","8,24",,
0,160,40001,1,"0,3",HomeSceneLoading.jpg,,100,0,3,GatherDungeon1-3,1,3,3,10000,1,"10000,20000,30000","123,122,121",2,"159,160,161","22,18,19;18,19;18,19","178,179,180","28,56,112","0,0;0,0;0,0","120,190,400","Gather Challenge Chapter 1/3,Gather Challenge Chapter 2/3,Gather Challenge Chapter 3/3"," Les challengers qui réussissent le défi auront l'opportunité de recevoir une récompense en médaille.
Dans le défi de collecte, la défense des ressources sera augmentée. En conséquence, les joueurs recevront un bonus qui convertit la compétence de collecte en attaque de collecte.
",188, Défi de collecte junior, Pas de peine de mort,0;0;0,"0,1440","775,1",,,
0,40,40002,1,"4,6",HomeSceneLoading.jpg,,160,0,3,GatherDungeon4-6,1,3,3,10000,1,"10000,20000,30000","123,122,121",2,"162,163,164","22,18,19;18,19;18,19","181,182,183","224,448,896","0,0;0,0;0,0","470,500,770","Gather Challenge Chapter 1/3,Gather Challenge Chapter 2/3,Gather Challenge Chapter 3/3"," Les challengers qui réussissent le défi auront l'opportunité de recevoir une récompense en médaille.
Dans le défi de collecte, la défense des ressources sera augmentée. En conséquence, les joueurs recevront un bonus qui convertit la compétence de collecte en attaque de collecte.
",189, Défi de collecte intermédiaire, Pas de peine de mort,0;0;0,"0,1440","776,1",,,
0,10,40003,1,"7,9",HomeSceneLoading.jpg,,640,0,3,GatherDungeon7-9,1,3,3,10000,1,"10000,20000,30000","123,122,121",2,"165,166,167","22,18,19;18,19;18,19","184,185,186","1792,3584,7168","0,0;0,0;0,0","470,500,760","Gather Challenge Chapter 1/3,Gather Challenge Chapter 2/3,Gather Challenge Chapter 3/3"," Les challengers qui réussissent le défi auront l'opportunité de recevoir une récompense en médaille.
Dans le défi de collecte, la défense des ressources sera augmentée. En conséquence, les joueurs recevront un bonus qui convertit la compétence de collecte en attaque de collecte.
",190, Défi de collecte avancé, Pas de peine de mort,0;0;0,"0,1440","777,1",,,
0,160,50001,1,"0,3",HomeSceneLoading.jpg,,24,0,3,FarmingDungeon1-3,1,3,1,10000,"1,3","10000,20000,30000","123,122,121",1,"168,169,170",21;21;21,"187,188,189","8,16,32","0,0;0,0;0,0","120,200,630","Farm Challenge Chapter 1/3,Farm Challenge Chapter 2/3,Farm Challenge Chapter 3/3"," Les challengers qui réussissent le défi auront l'opportunité de recevoir une récompense en médaille.
",191, Défi agricole junior, Pas de peine de mort,"146#1000,147#1000,148#1000;149#1000,150#1000,151#1000;152#1000,153#1000,154#1000","0,1440","778,1",,"4,4,4","824,825,826"
0,40,50002,1,"4,6",HomeSceneLoading.jpg,,64,0,3,FarmingDungeon4-6,1,3,1,10000,"1,3","10000,20000,30000","123,122,121",1,"171,172,173",21;21;21,"190,191,192","64,128,256","0,0;0,0;0,0","510,550,1330","Farm Challenge Chapter 1/3,Farm Challenge Chapter 2/3,Farm Challenge Chapter 3/3"," Les challengers qui réussissent le défi auront l'opportunité de recevoir une récompense en médaille.
",192, Défi agricole intermédiaire, Pas de peine de mort,"413#1000,414#1000,415#1000;416#1000,417#1000,418#1000;419#1000,420#1000,421#1000","0,1440","779,1",,"4,4,4","827,828,829"
0,10,50003,1,"7,9",HomeSceneLoading.jpg,,512,0,3,FarmingDungeon7-9,1,3,1,10000,"1,3","10000,20000,30000","123,122,121",1,"174,175,176",21;21;21,"193,194,195","512,1024,2048","0,0;0,0;0,0","750,980,1990","Farm Challenge Chapter 1/3,Farm Challenge Chapter 2/3,Farm Challenge Chapter 3/3", Les challengers qui réussissent le défi auront l'opportunité de recevoir une récompense en médaille.,193, Défi agricole avancé, Pas de peine de mort,"614#1000,615#1000,616#1000;617#1000,618#1000,619#1000;620#1000,621#1000,622#1000","0,1440","780,1",,"4,4,4","830,831,832"
