canInvest-bool,extraDropPool-int,id-int,isRanking-bool,level-int[],loadingBg-string,refreshRatio-int[],reputationRequaireScore-int,respawnTimes-int,rewardFrequency-int,sceneName-string,sceneSubtype-int,sceneType-int,talentType-int,worldDropProbability-int,functionModule-int[],baseScore-int[],bossCovers-int[],challengeMode-int[],chapterBaseReward-int[],chapterEvents-int[][],chapterLuckyReward-int[],chapterProgress-int[],chapterPunish-int[][],chapterTimeLimit-int[],chapters-string[],desc-string,dropRewardShow-int[],name-string,punishDesc-string,randomSeeds-string[][],releaseTime-int[][],tickets-int[][],campLimit-int[],seedMaxLimit-int[],uniqueSeed-int[]
1,0,22002,0,"5,7",PVPDungeonSceneLoading_4_6.jpg,,0,1,5,PVPDungeonSceneSoloLv4-6,2,3,2,10000,"1,2","0,10000","37,39,38",1,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging","##  Phần thưởng
- **Đánh bại Quái vật hoặc Thu thập**: Người chơi sẽ nhận được phần thưởng **Token** được đầu tư bởi các tượng thần.
- **Tiêu diệt Người chơi khác**: Người chơi có thể nhận phần thưởng chưa được giải quyết **LUASUD** của những đối thủ bị đánh bại.
- **Đánh bại Boss**: Người chơi có thể thu được **vật liệu đặc biệt bí ẩn** quan trọng cho tiến trình trò chơi.
##  Tổng quan quy tắc
- **Cấu trúc cấp độ**: Hang động bao gồm **3 cấp độ hỗn loạn**, mỗi cấp độ đều mang đến những thách thức riêng của nó.
- **Khu vực an toàn**: Có **khu vực an toàn** trong các cấp độ, sẽ **co lại theo thời gian**, buộc người chơi phải đối đầu.
- **Ba loại Cổng**:
  - **Cổng Thách thức**: Dành cho những người dũng cảm, cổng này dẫn đến cấp độ phiêu lưu tiếp theo.
  - **Cổng Thoát**: Thoát khỏi hang động và từ bỏ bất kỳ phần thưởng chưa được giải quyết **Token**.
  - **Cổng Định cư**: Định cư và thu thập phần thưởng **Token** theo tỷ lệ nhất định. 
",173,"Đấu trường đơn hạng trung
","Khi bạn chết, có một khả năng rơi ra các vật phẩm trong balo của bạn.
",0;0,"0,0","660,1","3,24",,
1,0,22003,0,"8,9",PVPDungeonSceneLoading_4_6.jpg,,0,1,5,PVPDungeonSceneSoloLv7-9,2,3,2,10000,"1,2","0,10000","61,71,66",1,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging","##  Phần thưởng
- **Đánh bại Quái vật hoặc Thu thập**: Người chơi sẽ nhận được phần thưởng **Token** được đầu tư bởi các tượng thần.
- **Tiêu diệt Người chơi khác**: Người chơi có thể nhận phần thưởng chưa được giải quyết **LUASUD** của những đối thủ bị đánh bại.
- **Đánh bại Boss**: Người chơi có thể thu được **vật liệu đặc biệt bí ẩn** quan trọng cho tiến trình trò chơi.
##  Tổng quan quy tắc
- **Cấu trúc cấp độ**: Hang động bao gồm **3 cấp độ hỗn loạn**, mỗi cấp độ đều mang đến những thách thức riêng của nó.
- **Khu vực an toàn**: Có **khu vực an toàn** trong các cấp độ, sẽ **co lại theo thời gian**, buộc người chơi phải đối đầu.
- **Ba loại Cổng**:
  - **Cổng Thách thức**: Dành cho những người dũng cảm, cổng này dẫn đến cấp độ phiêu lưu tiếp theo.
  - **Cổng Thoát**: Thoát khỏi hang động và từ bỏ bất kỳ phần thưởng chưa được giải quyết **Token**.
  - **Cổng Định cư**: Định cư và thu thập phần thưởng **Token** theo tỷ lệ nhất định.",174,"Đấu trường đơn hạng cao
","Khi bạn chết, có một khả năng rơi ra các vật phẩm trong balo của bạn.",0;0,"0,0","661,1","3,24",,
0,0,30001,0,"1,9",DungeonSceneLoading_1_3.jpg,,0,0,1,DailyDungeon,1,3,2,10000,1,"10000,20000,30000,40000,50000,60000,70000,80000,90000","6,7,8",1,"102,103,104,105,106,107,108,109,110",;;;;;;;;,"120,121,122,123,124,125,126,127,128","6,12,24,48,96,192,384,768,1536","0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0","75,60,60,60,60,60,60,60,60","Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8,Level 9", Thử thách hàng ngày,, Thử thách hàng ngày,"Không bị phạt tử hình
",0;0;0;0;0;0;0;0;0,"0,1440","733,1",,,
0,0,30002,0,"1,9",PVPDungeonSceneLoading_4_6.jpg,,0,1,1,PVPTrainingDungeon,2,3,2,10000,"1,2","0,10000","55,0,54",1,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging","Địa điểm Huấn luyện PVEP - Hỗ trợ trận đấu 12-24 người chơi, khi chết sẽ không có bất kỳ mục rơi, vé từ nhiệm vụ hàng ngày.",,Sân tập,"Không bị phạt tử hình
",0;0,"0,0","733,1","12,24",,
0,160,40001,1,"1,3",HomeSceneLoading.jpg,,100,0,5,GatherDungeon1-3,1,3,3,10000,1,"10000,20000,30000","123,122,121",2,"159,160,161","22,18,19;18,19;18,19","178,179,180","28,56,112","0,0;0,0;0,0","120,190,400","Gather Challenge Chapter 1/3,Gather Challenge Chapter 2/3,Gather Challenge Chapter 3/3","Những người tham gia thử thách và hoàn thành nhiệm vụ sẽ có cơ hội nhận phần thưởng huy chương.
Trong Thử thách Thu thập, sự phòng thủ của Nguồn tài nguyên sẽ được tăng cường. Tương ứng, người chơi sẽ nhận được buff biến đổi trình độ thu thập thành tấn công thu thập.
",185, Thử thách thu thập cấp độ Junior,"Khi bạn chết, có khả năng rơi ra các vật phẩm trong balo của bạn.
",0;0;0,"0,1440","775,1",,,
0,40,40002,1,"4,6",HomeSceneLoading.jpg,,100,0,5,GatherDungeon4-6,1,3,3,10000,1,"10000,20000,30000","123,122,121",2,"162,163,164","22,18,19;18,19;18,19","181,182,183","224,448,896","0,0;0,0;0,0","470,500,770","Gather Challenge Chapter 1/3,Gather Challenge Chapter 2/3,Gather Challenge Chapter 3/3","Những người tham gia thử thách và hoàn thành nhiệm vụ sẽ có cơ hội nhận phần thưởng huy chương.
Trong Thử thách Thu thập, sự phòng thủ của Nguồn tài nguyên sẽ được tăng cường. Tương ứng, người chơi sẽ nhận được buff biến đổi trình độ thu thập thành tấn công thu thập.
",186, Thử thách thu thập cấp độ Trung cấp,"Khi bạn chết, có khả năng rơi ra các vật phẩm trong balo của bạn.
",0;0;0,"0,1440","776,1",,,
0,10,40003,1,"7,9",HomeSceneLoading.jpg,,100,0,5,GatherDungeon7-9,1,3,3,10000,1,"10000,20000,30000","123,122,121",2,"165,166,167","22,18,19;18,19;18,19","184,185,186","1792,3584,7168","0,0;0,0;0,0","470,500,760","Gather Challenge Chapter 1/3,Gather Challenge Chapter 2/3,Gather Challenge Chapter 3/3","Những người tham gia thử thách và hoàn thành nhiệm vụ sẽ có cơ hội nhận phần thưởng huy chương.
Trong Thử thách Thu thập, sự phòng thủ của Nguồn tài nguyên sẽ được tăng cường. Tương ứng, người chơi sẽ nhận được buff biến đổi trình độ thu thập thành tấn công thu thập.
",187, Thử thách thu thập cấp độ Nâng cao,"Khi bạn chết, có khả năng rơi ra các vật phẩm trong balo của bạn.
",0;0;0,"0,1440","777,1",,,
0,160,50001,1,"1,3",HomeSceneLoading.jpg,,100,0,5,FarmingDungeon1-3,1,3,1,10000,"1,3","10000,20000,30000","123,122,121",1,"168,169,170",21;21;21,"187,188,189","8,16,32","0,0;0,0;0,0","120,180,610","Farm Challenge Chapter 1/3,Farm Challenge Chapter 2/3,Farm Challenge Chapter 3/3","Những người tham gia thử thách và hoàn thành nhiệm vụ sẽ có cơ hội nhận phần thưởng huy chương.
",185, Thử thách trồng trọt cấp độ Junior,"Khi bạn chết, có khả năng rơi ra các vật phẩm trong balo của bạn.
","146#1000,147#1000,148#1000;149#1000,150#1000,151#1000;152#1000,153#1000,154#1000","0,1440","778,1",,"4,4,4","824,825,826"
0,40,50002,1,"4,6",HomeSceneLoading.jpg,,100,0,5,FarmingDungeon4-6,1,3,1,10000,"1,3","10000,20000,30000","123,122,121",1,"171,172,173",21;21;21,"190,191,192","64,128,256","0,0;0,0;0,0","490,530,1310","Farm Challenge Chapter 1/3,Farm Challenge Chapter 2/3,Farm Challenge Chapter 3/3","Những người tham gia thử thách và hoàn thành nhiệm vụ sẽ có cơ hội nhận phần thưởng huy chương.
",186, Thử thách trồng trọt cấp độ Trung cấp,"Khi bạn chết, có khả năng rơi ra các vật phẩm trong balo của bạn.
","413#1000,414#1000,415#1000;416#1000,417#1000,418#1000;419#1000,420#1000,421#1000","0,1440","779,1",,"4,4,4","827,828,829"
0,10,50003,1,"7,9",HomeSceneLoading.jpg,,100,0,5,FarmingDungeon7-9,1,3,1,10000,"1,3","10000,20000,30000","123,122,121",1,"174,175,176",21;21;21,"193,194,195","512,1024,2048","0,0;0,0;0,0","730,960,1970","Farm Challenge Chapter 1/3,Farm Challenge Chapter 2/3,Farm Challenge Chapter 3/3",Những người tham gia thử thách và hoàn thành nhiệm vụ sẽ có cơ hội nhận phần thưởng huy chương.,187, Thử thách trồng trọt cấp độ Nâng cao,"Khi bạn chết, có khả năng rơi ra các vật phẩm trong balo của bạn.
","614#1000,615#1000,616#1000;617#1000,618#1000,619#1000;620#1000,621#1000,622#1000","0,1440","780,1",,"4,4,4","830,831,832"
