classifyLevel-int,desc-string,displayType-int,icon-string,id-int,level-int,matItemId-int[][],name-string,productId-int[][],productTypes-int[],proficiency-int,recipesSort-int,sourceText-int,timeCost-int,timesLimit-int,type-int,unlockCondition-int,unlockType-int,useDitamin-int,useToken-int
0,Pembuatan Beliung Terkutuk Lv 2 ,2,recipe-icon-71,71,2,"210,1;213,1;217,2", Resep Beliung Terkutuk Lv 2 ,"89,1,1,6000;89,2,1,4000",1,0,50800071,1,5,-,3,0,4,0,0
0,Pembuatan Beliung yang Diberkati Lv 3 ,2,recipe-icon-72,72,3,"211,1;214,1;218,2", Resep Beliung yang Diberkati Lv 3 ,"90,1,1,10000",1,0,10700072,1,5,-,3,0,4,0,0
0,Pembuatan Kapak Besi Lv 1 ,2,recipe-icon-74,74,1,"216,2", Resep Kapak Besi Lv 1 ,"92,1,1,10000",1,0,10900074,1,5,-,3,0,4,0,0
0,Pembuatan Kapak Terkutuk Lv 2 ,2,recipe-icon-75,75,2,"210,1;213,1;217,2", Resep Kapak Terkutuk Lv 2 ,"93,1,1,6000;93,2,1,4000",1,0,50800075,1,5,-,3,0,4,0,0
0,Pembuatan Kapak yang Diberkati Lv 3 ,2,recipe-icon-76,76,3,"211,1;214,1;218,2", Resep Kapak yang Diberkati Lv 3 ,"94,1,1,10000",1,0,10700076,1,5,-,3,0,4,0,0
0,Pembuatan Pupuk Dipercepat Lv 0 ,2,recipe-icon-92,92,1,"65,1", Resep Pupuk Dipercepat Lv 0 ,"128,1,1,10000",3,0,40900092,1,5,-,1,0,4,0,0
0,Pembuatan Pupuk yang Meningkatkan Hasil Lv 0 ,2,recipe-icon-93,93,1,"61,1", Resep Pupuk yang Meningkatkan Hasil Lv 0 ,"129,1,1,10000",3,0,40900093,1,5,-,1,0,4,0,0
0,Pembuatan Pupuk Lembab Lv 0 ,2,recipe-icon-94,94,1,"69,1", Resep Pupuk yang Melembabkan Lv 0 ,"130,1,1,10000",3,0,40900094,1,5,-,1,0,4,0,0
0,Pembuatan Ramuan Penyembuhan Kecil Lv 0 ,2,recipe-icon-95,95,1,"66,5;32,5", Resep Ramuan Penyembuhan Kecil Lv 0 ,"134,1,1,5031;135,1,1,993;136,1,1,993;137,1,1,993;139,1,1,993;138,1,1,993",3,0,50900095,1,5,-,3,0,4,0,0
0,Pembuatan Ramuan Penyembuhan Lv 1 ,2,recipe-icon-96,96,2,"67,2;75,2;35,2", Resep Ramuan Penyembuhan Lv 1 ,"140,1,1,5031;142,1,1,993;141,1,1,993;143,1,1,993;145,1,1,993;144,1,1,993",3,0,50800096,1,5,-,3,0,4,0,0
0,Pembuatan Pupuk Berakselerasi Tinggi Lv 0 ,2,recipe-icon-101,101,2,"69,2;35,2", Resep Pupuk yang Melembabkan yang Lebih Maju Lv 0 ,"133,1,1,10000",3,0,40800101,1,5,-,1,0,4,0,0
0,Pembuatan Pupuk Hasil Tinggi Lv 0 ,2,recipe-icon-102,102,2,"61,2;35,2", Resep Pupuk yang Meningkatkan Hasil yang Lebih Maju Lv 0 ,"132,1,1,10000",3,0,40800102,1,5,-,1,0,4,0,0
0,Pembuatan Pupuk dengan Kelembaban Tinggi Lv 0 ,2,recipe-icon-103,103,2,"65,2;35,2", Resep Pupuk Dipercepat yang Lebih Maju Lv 0 ,"131,1,1,10000",3,0,40800103,1,5,-,1,0,4,0,0
0,Pembuatan Jimat Lv 0 ,2,recipe-icon-104,104,1,"32,20;71,40;58,40;62,40;66,40", Resep Jimat Lv 0 ,",1,1,4736;,2,1,3157;,3,1,2105",,0,50900104,1,5,-,0,0,4,0,50000
0,Pembuatan Jimat Lv 0 ,2,recipe-icon-106,106,1,"38,20;77,40;60,40;64,40;68,40", Resep Jimat Lv 0 ,",2,1,4426;,3,1,2950;,4,1,1967;,5,1,655",,0,50900106,1,5,-,0,0,4,0,100000
0,Pembuatan Topi Semanggi Keberuntungan Lv 1 ,2,recipe-icon-108,108,1,"207,2", Resep Topi Semanggi Keberuntungan Lv 1 ,"98,1,1,9310;241,5,1,344;262,5,1,344",1,0,50900108,1,5,-,1,0,4,0,0
0,Pembuatan Topi Katun Keberuntungan Lv 2 ,2,recipe-icon-109,109,2,"216,2;208,2", Resep Topi Katun Keberuntungan Lv 1 ,"99,1,1,5744;99,2,1,3829;267,5,1,212;272,5,1,212",1,0,50800109,1,5,-,1,0,4,0,0
0,Pembuatan Topi Keras Keberuntungan Lv 3 ,2,recipe-icon-110,110,3,"217,2;209,2", Resep Topi Keras Keberuntungan Lv 3 ,"100,1,1,4576;100,2,1,3050;100,3,1,2033;246,5,1,169;251,5,1,169",1,0,50700110,1,5,-,1,0,4,0,0
0,Pembuatan Topi Koleksi Lv 1 ,2,recipe-icon-111,111,1,"216,2", Resep Topi Koleksi Lv 1 ,"116,1,1,9310;241,5,1,344;262,5,1,344",1,0,50900111,1,5,-,3,0,4,0,0
0,Pembuatan Topi Koleksi Lv 2 ,2,recipe-icon-112,112,2,"210,1;213,1;217,2", Resep Topi Koleksi Lv 2 ,"117,1,1,5744;117,2,1,3829;267,5,1,212;272,5,1,212",1,0,50800112,1,5,-,3,0,4,0,0
0,Pembuatan Topi Koleksi Lv 3 ,2,recipe-icon-113,113,3,"211,1;214,1;218,2", Resep Topi Koleksi Lv 3 ,"118,1,1,4576;118,3,1,2033;118,2,1,3050;246,5,1,169;251,5,1,169",1,0,50700113,1,5,-,3,0,4,0,0
0,Pembuatan Benih Bambu Lv 1 ,2,recipe-icon-123,123,1,"70,1", Resep Benih Bambu Lv 1 ,"146,1,1,8350;150,1,1,1649",3,0,50900123,1,5,-,1,0,4,0,0
0,Pembuatan Benih Semanggi Lv 1 ,2,recipe-icon-124,124,1,"71,1", Resep Benih Semanggi Lv 1 ,"147,1,1,8350;149,1,1,1649",3,0,50900124,1,5,-,1,0,4,0,0
0,Pembuatan Benih Wortel Lv 1 ,2,recipe-icon-125,125,1,"72,1", Resep Benih Wortel Lv 1 ,"148,1,1,8350;151,1,1,1649",3,0,50900125,1,5,-,1,0,4,0,0
0,Pembuatan Benih Tanaman Pembunuh Lv 2 ,2,recipe-icon-126,126,2,"73,1", Resep Benih Tanaman Pembasmi Lalat Lv 2 ,"149,1,1,8350;154,1,1,1649",3,0,50800126,1,5,-,1,0,4,0,0
0,Pembuatan Benih Kapas Lv 2 ,2,recipe-icon-127,127,2,"74,1", Resep Benih Kapas Lv 2 ,"150,1,1,8350;152,1,1,1649",3,0,50800127,1,5,-,1,0,4,0,0
0,Pembuatan Benih Kaktus Lv 2 ,2,recipe-icon-128,128,2,"75,1", Resep Benih Kaktus Lv 2 ,"151,1,1,8350;153,1,1,1649",3,0,50800128,1,5,-,1,0,4,0,0
0,Pembuatan Benih Cabai Pedas Lv 3 ,2,recipe-icon-129,129,3,"76,1", Resep Cabai Pedas Lv 3 ,"152,1,1,8350;413,1,1,1649",3,0,50700129,1,5,-,1,0,4,0,0
0,Pembuatan Benih Buah Keras Lv 3 ,2,recipe-icon-130,130,3,"77,1", Resep Buah Keras Lv 3 ,"153,1,1,8350;414,1,1,1649",3,0,50700130,1,5,-,1,0,4,0,0
0,Pembuatan Benih Jamur Phantom Biru Lv 3 ,2,recipe-icon-131,131,3,"78,1", Resep Benih Jamur Phantom Biru Lv 3 ,"154,1,1,8350;415,1,1,1649",3,0,50700131,1,5,-,1,0,4,0,0
0,Pembuatan Ramuan Penyembuhan Kristal Lv 2 ,2,recipe-icon-132,132,3,"68,2;78,2;38,2", Resep Ramuan Penyembuhan Kristal Lv 2 ,"191,1,1,5031;192,1,1,993;194,1,1,993;195,1,1,993;196,1,1,993;197,1,1,993",3,0,50700132,1,5,-,3,0,4,0,0
0,Pembuatan Lingkaran Pecahan Kristal Lv 1 ,2,recipe-icon-133,133,1,"210,1;213,1", Resep Lingkaran Pecahan Kristal Lv 1 ,"43,1,1,9310;241,5,1,344;262,5,1,344",1,0,50900133,1,5,-,2,0,4,0,0
0,Pembuatan Topi Kristal Helm Prajurit Lv 2 ,2,recipe-icon-134,134,2,"207,2;211,1;214,1", Resep Topi Kulit Helm Prajurit Lv 2 ,"44,1,1,5744;44,2,1,3829;267,5,1,212;272,5,1,212",1,0,50800134,1,5,-,2,0,4,0,0
0,Pembuatan Helm Prajurit Helm Hedron Lv 3 ,2,recipe-icon-135,135,3,"208,2;212,1;215,1", Resep Helm Prajurit Helm Hedron Lv 3 ,"45,1,1,4576;45,2,1,3050;45,3,1,2033;246,5,1,169;251,5,1,169",1,0,50700135,1,5,-,2,0,4,0,0
0,Pembuatan Armor Anggur Pecahan Kristal Tunik Prajurit Lv 1 ,2,recipe-icon-136,136,1,"210,1;213,1", Resep Armor Anggur Pecahan Kristal Lv 1 ,"46,1,1,9310;242,5,1,344;263,5,1,344",1,0,50900136,1,5,-,2,0,4,0,0
0,Pembuatan Atasan Prajurit Atasan Kulit Kristal Lv 2 ,2,recipe-icon-137,137,2,"207,2;211,1;214,1", Resep Atasan Prajurit Atasan Kulit Kristal Lv 2 ,"47,1,1,5744;47,2,1,3829;268,5,1,212;273,5,1,212",1,0,50800137,1,5,-,2,0,4,0,0
0,Pembuatan Armor Tunik Hedron Prajurit Lv 3 ,2,recipe-icon-138,138,3,"208,2;212,1;215,1", Resep Armor Tunik Hedron Prajurit Lv 3 ,"48,1,1,4576;48,2,1,3050;48,3,1,2033;247,5,1,169;252,5,1,169",1,0,50700138,1,5,-,2,0,4,0,0
0,Pembuatan Celana Prajurit Rok Hula Pecahan Kristal Lv 1 ,2,recipe-icon-139,139,1,"210,1;213,1", Resep Celana Prajurit Rok Hula Pecahan Kristal Lv 1 ,"49,1,1,9310;265,5,1,344;244,5,1,344",1,0,50900139,1,5,-,2,0,4,0,0
0,Pembuatan Celana Prajurit Celana Kulit Kristal Lv 2 ,2,recipe-icon-140,140,2,"207,2;211,1;214,1", Resep Celana Prajurit Celana Kulit Kristal Lv 2 ,"50,1,1,5744;50,2,1,3829;270,5,1,212;275,5,1,212",1,0,50800140,1,5,-,2,0,4,0,0
0,Pembuatan Pelindung Kaki Hedron Celana Prajurit Lv 3 ,2,recipe-icon-141,141,3,"208,2;212,1;215,1", Resep Pelindung Kaki Hedron Celana Prajurit Lv 3 ,"51,1,1,4576;51,2,1,3050;51,3,1,2033;249,5,1,169;254,5,1,169",1,0,50700141,1,5,-,2,0,4,0,0
0,Pembuatan Gelang Pecahan Kristal Sarung Tangan Prajurit Lv 1 ,2,recipe-icon-142,142,1,"210,1;213,1", Resep Gelang Pecahan Kristal Lv 1 ,"55,1,1,9310;245,5,1,344;266,5,1,344",1,0,50900142,1,5,-,2,0,4,0,0
0,Pembuatan Sarung Tangan Prajurit Sarung Tangan Kulit Kristal Lv 2 ,2,recipe-icon-143,143,2,"207,2;211,1;214,1", Resep Sarung Tangan Prajurit Sarung Tangan Kulit Kristal Lv 2 ,"56,1,1,5744;56,2,1,3829;271,5,1,212;276,5,1,212",1,0,50800143,1,5,-,2,0,4,0,0
0,Pembuatan Sarung Tangan Prajurit Sarung Tangan Hedron Lv 3 ,2,recipe-icon-144,144,3,"208,2;212,1;215,1", Resep Sarung Tangan Prajurit Sarung Tangan Hedron Lv 3 ,"57,1,1,4576;57,2,1,3050;57,3,1,2033;250,5,1,169;255,5,1,169",1,0,50700144,1,5,-,2,0,4,0,0
0,Pembuatan Sandal Pecah Sepatu Prajurit Lv 1 ,2,recipe-icon-145,145,1,"210,1;213,1", Resep Sandal Pecah Sepatu Prajurit Lv 1 ,"52,1,1,9310;243,5,1,344;264,5,1,344",1,0,50900145,1,5,-,2,0,4,0,0
0,Pembuatan Sepatu Prajurit Sepatu Bot Kulit Kristal Lv 2 ,2,recipe-icon-146,146,2,"207,2;211,1;214,1", Resep Sepatu Prajurit Sepatu Bot Kulit Kristal Lv 2 ,"53,1,1,5744;53,2,1,3829;274,5,1,212;269,5,1,212",1,0,50800146,1,5,-,2,0,4,0,0
0,Pembuatan Sepatu Prajurit Sepatu Spar Hedron Lv 3 ,2,recipe-icon-147,147,3,"208,2;212,1;215,1", Resep Sepatu Prajurit Sepatu Spar Lv 3 ,"54,1,1,4655;54,2,1,3103;54,3,1,2068;253,5,1,172",1,0,50700147,1,5,-,2,0,4,0,0
0,Pembuatan Esensi Pertempuran Lv 1 ,2,recipe-icon-149,149,1,"30,5;31,5;32,5", Resep Ramuan Pertempuran Lv 1 ,"216,1,1,10000",4,0,20900149,1,5,-,2,0,4,0,0
0,Pembuatan Esensi Pertempuran Lv 2 ,2,recipe-icon-150,150,2,"33,5;35,5;34,5;216,2", Resep Ramuan Pertempuran Lv 2 ,"217,1,1,10000",4,0,20800150,1,5,-,2,0,4,0,0
0,Pembuatan Esensi Pertempuran Lv 3 ,2,recipe-icon-151,151,3,"36,5;37,5;38,5;217,2", Resep Ramuan Pertempuran Lv 3 ,"218,1,1,10000",4,0,20700151,1,5,-,2,0,4,0,100
0,Pembuatan Esensi Pertanian Lv 1 ,2,recipe-icon-152,152,1,"70,5;71,5;72,5", Resep Esensi Pertempuran Lv 1 ,"210,1,1,10000",4,0,20900152,1,5,-,1,0,4,0,0
0,Pembuatan Esensi Pertanian Lv 2 ,2,recipe-icon-153,153,2,"74,5;73,5;75,5;210,2", Resep Esensi Pertempuran Lv 2 ,"211,1,1,10000",4,0,20800153,1,5,-,1,0,4,0,0
0,Pembuatan Esensi Pertanian Lv 3 ,2,recipe-icon-154,154,3,"76,5;77,5;78,5;211,2", Resep Esensi Pertempuran Lv 3 ,"212,1,1,10000",4,0,20700154,1,5,-,1,0,4,0,100
0,Pembuatan Esensi Peternakan Pertanian Lv 1 ,2,recipe-icon-155,155,1,"178,5;179,5;177,5", Resep Esensi Penanaman Pertanian Lv 1 ,"213,1,1,10000",4,0,20900155,1,5,-,1,0,4,0,0
0,Pembuatan Esensi Peternakan Pertanian Lv 2 ,2,recipe-icon-156,156,2,"182,5;180,5;181,5;213,2", Resep Esensi Penanaman Pertanian Lv 2 ,"214,1,1,10000",4,0,20800156,1,5,-,1,0,4,0,0
0,Pembuatan Esensi Peternakan Pertanian Lv 3 ,2,recipe-icon-157,157,3,"184,5;185,5;183,5;214,2", Resep Esensi Penanaman Pertanian Lv 3 ,"215,1,1,10000",4,0,20700157,1,5,-,1,0,4,0,100
0,Pembuatan Esensi Koleksi Lv 1 ,2,recipe-icon-158,158,1,"62,5;58,5;66,5", Resep Esensi Peternakan Pertanian Lv 1 ,"207,1,1,10000",4,0,20900158,1,5,-,3,0,4,0,0
0,Pembuatan Esensi Koleksi Lv 2 ,2,recipe-icon-159,159,2,"63,5;67,5;59,5;207,2", Resep Esensi Peternakan Pertanian Lv 2 ,"208,1,1,10000",4,0,20800159,1,5,-,3,0,4,0,0
0,Pembuatan Esensi Koleksi Lv 3 ,2,recipe-icon-160,160,3,"64,5;60,5;68,5;208,2", Resep Esensi Peternakan Pertanian Lv 3 ,"209,1,1,10000",4,0,20700160,1,5,-,3,0,4,0,100
0,Pembuatan Pakaian Pertanian Lv 1 ,2,recipe-icon-165,165,1,"207,2", Resep Puncak Pertanian Lv 1 ,"101,1,1,9310;242,5,1,344;263,5,1,344",1,0,50900165,1,5,-,1,0,4,0,0
0,Pembuatan Celana Pertanian Lv 1 ,2,recipe-icon-166,166,1,"207,2", Resep Celana Pertanian Lv 1 ,"104,1,1,9310;265,5,1,344;244,5,1,344",1,0,50900166,1,5,-,1,0,4,0,0
0,Pembuatan Sarung Tangan Pertanian Lv 1 ,2,recipe-icon-167,167,1,"207,2", Resep Sarung Tangan Pertanian Lv 1 ,"107,1,1,9310;243,5,1,344;264,5,1,344",1,0,50900167,1,5,-,1,0,4,0,0
0,Pembuatan Sepatu Pertanian Lv 1 ,2,recipe-icon-168,168,1,"207,2", Resep Sepatu Pertanian Lv 1 ,"110,1,1,9310;245,5,1,344;266,5,1,344",1,0,50900168,1,5,-,1,0,4,0,0
0,Pembuatan Pakaian Pertanian Lv 2 ,2,recipe-icon-169,169,2,"216,2;208,2", Resep Puncak Pertanian Lv 2 ,"102,1,1,5744;102,2,1,3829;268,5,1,212;273,5,1,212",1,0,50800169,1,5,-,1,0,4,0,0
0,Pembuatan Celana Pertanian Lv 2 ,2,recipe-icon-170,170,2,"216,2;208,2", Resep Celana Pertanian Lv 2 ,"105,1,1,5744;105,2,1,3829;270,5,1,212;275,5,1,212",1,0,50800170,1,5,-,1,0,4,0,0
0,Pembuatan Sarung Tangan Pertanian Lv 2 ,2,recipe-icon-171,171,2,"216,2;208,2", Resep Sarung Tangan Pertanian Lv 2 ,"108,1,1,5744;108,2,1,3829;274,5,1,212;269,5,1,212",1,0,50800171,1,5,-,1,0,4,0,0
0,Pembuatan Sepatu Pertanian Lv 2 ,2,recipe-icon-172,172,2,"216,2;208,2", Resep Sepatu Pertanian Lv 2 ,"111,1,1,5744;111,2,1,3829;271,5,1,212;276,5,1,212",1,0,50800172,1,5,-,1,0,4,0,0
0,Pembuatan Pakaian Pertanian Lv 3 ,2,recipe-icon-173,173,3,"217,2;209,2", Resep Puncak Pertanian Lv 3 ,"103,1,1,4576;103,2,1,3050;103,3,1,2033;247,5,1,169;252,5,1,169",1,0,50700173,1,5,-,1,0,4,0,0
0,Pembuatan Celana Pertanian Lv 3 ,2,recipe-icon-174,174,3,"217,2;209,2", Resep Celana Pertanian Lv 3 ,"106,1,1,4576;106,3,1,2033;106,2,1,3050;249,5,1,169;254,5,1,169",1,0,50700174,1,5,-,1,0,4,0,0
0,Pembuatan Sarung Tangan Pertanian Lv 3 ,2,recipe-icon-175,175,3,"217,2;209,2", Resep Sarung Tangan Pertanian Lv 3 ,"109,2,1,3103;109,1,1,4655;109,3,1,2068;253,5,1,172",1,0,50700175,1,5,-,1,0,4,0,0
0,Pembuatan Sepatu Pertanian Lv 3 ,2,recipe-icon-176,176,3,"217,2;209,2", Resep Sepatu Pertanian Lv 3 ,"112,1,1,4576;112,3,1,2033;112,2,1,3050;250,5,1,169;255,5,1,169",1,0,50700176,1,5,-,1,0,4,0,0
0,Pembuatan Sepatu Koleksi Lv 1 ,2,recipe-icon-177,177,1,"216,2", Resep Sepatu Koleksi Lv 1 ,"113,1,1,9310;245,5,1,344;266,5,1,344",1,0,50900177,1,5,-,3,0,4,0,0
0,Pembuatan Atasan Koleksi Lv 1 ,2,recipe-icon-178,178,1,"216,2", Resep Puncak Koleksi Lv 1 ,"119,1,1,9310;242,5,1,344;263,5,1,344",1,0,50900178,1,5,-,3,0,4,0,0
0,Pembuatan Celana Koleksi Lv 1 ,2,recipe-icon-179,179,1,"216,2", Resep Celana Koleksi Lv 1 ,"122,1,1,9310;265,5,1,344;244,5,1,344",1,0,50900179,1,5,-,3,0,4,0,0
0,Pembuatan Sarung Tangan Koleksi Lv 1 ,2,recipe-icon-180,180,1,"216,2", Resep Sarung Tangan Koleksi Lv 1 ,"125,1,1,9310;243,5,1,344;264,5,1,344",1,0,50900180,1,5,-,3,0,4,0,0
0,Pembuatan Sepatu Koleksi Lv 2 ,2,recipe-icon-181,181,2,"210,1;213,1;217,2", Resep Sepatu Koleksi Lv 2 ,"114,1,1,5744;114,2,1,3829;271,5,1,212;276,5,1,212",1,0,50800181,1,5,-,3,0,4,0,0
0,Pembuatan Atasan Koleksi Lv 2 ,2,recipe-icon-182,182,2,"210,1;213,1;217,2", Resep Puncak Koleksi Lv 2 ,"120,1,1,5744;120,2,1,3829;268,5,1,212;273,5,1,212",1,0,50800182,1,5,-,3,0,4,0,0
0,Pembuatan Celana Koleksi Lv 2 ,2,recipe-icon-183,183,2,"210,1;213,1;217,2", Resep Celana Koleksi Lv 2 ,"123,1,1,5744;123,2,1,3829;270,5,1,212;275,5,1,212",1,0,50800183,1,5,-,3,0,4,0,0
0,Pembuatan Sarung Tangan Koleksi Lv 2 ,2,recipe-icon-184,184,2,"210,1;213,1;217,2", Resep Sarung Tangan Koleksi Lv 2 ,"126,1,1,5744;126,2,1,3829;274,5,1,212;269,5,1,212",1,0,50800184,1,5,-,3,0,4,0,0
0,Pembuatan Sepatu Koleksi Lv 3 ,2,recipe-icon-185,185,3,"211,1;214,1;218,2", Resep Sepatu Koleksi Lv 3 ,"115,1,1,4576;115,3,1,2033;115,2,1,3050;250,5,1,169;255,5,1,169",1,0,50700185,1,5,-,3,0,4,0,0
0,Pembuatan Atasan Koleksi Lv 3 ,2,recipe-icon-186,186,3,"211,1;214,1;218,2", Resep Puncak Koleksi Lv 3 ,"121,1,1,4576;121,3,1,2033;121,2,1,3050;247,5,1,169;252,5,1,169",1,0,50700186,1,5,-,3,0,4,0,0
0,Pembuatan Celana Koleksi Lv 3 ,2,recipe-icon-187,187,3,"211,1;214,1;218,2", Resep Celana Koleksi Lv 3 ,"124,1,1,4576;124,3,1,2033;124,2,1,3050;249,5,1,169;254,5,1,169",1,0,50700187,1,5,-,3,0,4,0,0
0,Pembuatan Sarung Tangan Koleksi Lv 3 ,2,recipe-icon-188,188,3,"211,1;214,1;218,2", Resep Sarung Tangan Koleksi Lv 3 ,"127,1,1,4655;127,2,1,3103;127,3,1,2068;253,5,1,172",1,0,50700188,1,5,-,3,0,4,0,0
0,Pembuatan Pedang Kayu Lv 0 ,2,recipe-icon-189,189,0,"842,2", Resep Esensi Mengumpulkan Lv 1 ,"39,1,1,10000",1,0,11000189,1,3,-,2,1,1,0,0
0,Pembuatan Cangkul Kayu Lv 0 ,2,recipe-icon-190,190,0,"844,1;845,1", Resep Esensi Mengumpulkan Lv 2 ,"79,1,1,10000",1,0,11000190,1,3,-,1,1,1,0,0
0,Pembuatan Sikat Lv 0 ,2,recipe-icon-191,191,0,"844,1;845,1", Resep Esensi Mengumpulkan Lv 3 ,"95,1,1,10000",1,0,11000191,1,3,-,1,1,1,0,0
0,Pembuatan Alat Pemotong Rambut Lv 0 ,2,recipe-icon-192,192,0,"844,1;845,1", Resep Pedang Kayu Lv 0 ,"96,1,1,10000",1,0,11000192,1,3,-,1,1,1,0,0
0,Pembuatan Mesin Pemerah Susu Lv 0 ,2,recipe-icon-193,193,0,"844,1;845,1", Resep Cangkul Kayu Lv 0 ,"97,1,1,10000",1,0,11000193,1,3,-,1,1,1,0,0
0,Pembuatan Botol Air Kayu Lv 0 ,2,recipe-icon-194,194,0,"844,1;845,1", Resep Sikat Lv 0 ,"83,1,1,10000",1,0,11000194,1,3,-,1,1,1,0,0
0,Pembuatan Kapak Kayu Lv 0 ,2,recipe-icon-195,195,0,"843,2", Resep Alat Pemotong Rambut Lv 0 ,"91,1,1,10000",1,0,11000195,1,3,-,3,1,1,0,0
0,Pembuatan Beliung Kayu Lv 0 ,2,recipe-icon-196,196,0,"843,2", Resep Mesin Pemerah Susu Lv 0 ,"87,1,1,10000",1,0,11000196,1,3,-,3,1,1,0,0
0,Pembuatan Pupuk Berakselerasi Tinggi Lv 0 ,2,recipe-icon-197,197,2,"69,2;35,2", Resep Pupuk Dipercepat yang Lebih Baik Lv 0 ,"219,1,1,10000",3,0,40800197,1,5,-,1,0,4,0,0
0,Pembuatan Pupuk Hasil Tinggi Lv 0 ,2,recipe-icon-198,198,2,"61,2;35,2", Resep Pupuk yang Meningkatkan Hasil yang Lebih Baik Lv 0 ,"220,1,1,10000",3,0,40800198,1,5,-,1,0,4,0,0
0,Pembuatan Pupuk dengan Kelembaban Tinggi Lv 0 ,2,recipe-icon-199,199,2,"65,2;35,2", Resep Pupuk yang Melembabkan yang Lebih Baik Lv 0 ,"221,1,1,10000",3,0,40800199,1,5,-,1,0,4,0,0
0,Pembuatan Sabit Batu Lv 1 ,2,recipe-icon-201,201,1,"216,2", Resep Sabit Batu Lv 1 ,"226,1,1,10000",1,0,10900201,1,5,-,3,0,4,0,0
0,Pembuatan Sabit Tembaga Lv 2 ,2,recipe-icon-203,203,2,"217,2;210,1;213,1", Resep Sabit Tembaga Lv 2 ,"227,1,1,10000",1,0,10800203,1,5,-,3,0,4,0,0
0,Pembuatan Sabit Besi Lv 3 ,2,recipe-icon-204,204,3,"211,1;214,1;218,2", Resep Sabit Besi Lv 3 ,"228,1,1,10000",1,0,10700204,1,5,-,3,0,4,0,0
0,Pembuatan Pakan Kecil Lv 0 ,2,recipe-icon-205,205,1,"482,1", Resep Ketel Kayu Lv 0 ,"28,1,1,10000",3,0,40900205,1,5,-,1,0,4,0,0
0,Pembuatan Pakan Besar Lv 0 ,2,recipe-icon-206,206,2,"483,1", Resep Kapak Kayu Lv 0 ,"29,1,1,10000",3,0,40800206,1,5,-,1,0,4,0,0
0,Pembuatan Busur Kayu Lv 0 ,2,recipe-icon-207,207,0,"842,2", Resep Beliung Kayu Lv 0 ,"223,1,1,10000",1,0,11000207,1,3,-,2,1,1,0,0
0,Pembuatan Palu Batu Lv 0 ,2,recipe-icon-208,208,0,"842,2", Resep Pakan Kecil Lv 0 ,"222,1,1,10000",1,0,11000208,1,3,-,2,1,1,0,0
0,Kosong,2,recipe-icon-212,212,0,"62,3", Resep Pakan Besar Lv 0 ,"232,1,1,10000",3,0,41000212,1,5,-,3,0,4,0,0
0,Kosong,2,recipe-icon-213,213,0,"58,3", Resep Busur Kayu Lv 0 ,"233,1,1,10000",3,0,41000213,1,5,-,3,0,4,0,0
0,Kosong,2,recipe-icon-214,214,0,"66,3", Resep Palu Batu Lv 0 ,"234,1,1,10000",3,0,41000214,1,5,-,3,0,4,0,0
